type,name,geometry
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9262196:1,"MULTIPOLYGON (((96.605 30.2, 96.605 30.1, 95.565 30.1, 95.565 30.2, 96.605 30.2)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9262225:1,"MULTIPOLYGON (((95.55 33.705, 95.45 33.705, 95.45 34.745, 95.55 34.745, 95.55 33.705)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_150mm:9233511:1,"MULTIPOLYGON (((111.95 48.53, 112.1 48.53, 112.1 47.49, 111.95 47.49, 111.95 48.53)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9233536:1,"MULTIPOLYGON (((115.11 48.7, 115.11 48.6, 114.07 48.6, 114.07 48.7, 115.11 48.7)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_schacht_840x2370(700x2300)mm_100mm:9233539:1,"MULTIPOLYGON (((111.95 49.595, 112.05 49.595, 112.05 48.755, 111.95 48.755, 111.95 49.595)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9233534:1,"MULTIPOLYGON (((115.15 48.6, 115.25 48.6, 115.25 47.56, 115.15 47.56, 115.15 48.6)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9230976:1,"MULTIPOLYGON (((114.07 36.6, 114.07 36.7, 115.11 36.7, 115.11 36.6, 114.07 36.6)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_schacht_840x2370(700x2300)mm_100mm:9230979:1,"MULTIPOLYGON (((111.95 36.545, 112.05 36.545, 112.05 35.705, 111.95 35.705, 111.95 36.545)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_100mm:9230974:1,"MULTIPOLYGON (((115.15 37.74, 115.25 37.74, 115.25 36.7, 115.15 36.7, 115.15 37.74)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_150mm:9230948:1,"MULTIPOLYGON (((111.95 37.81, 112.1 37.81, 112.1 36.77, 111.95 36.77, 111.95 37.81)))"
IfcOpeningElement,K_32_Deur_enkel:DO.xxxx_1040x2370(900x2300)mm_150mm:9133918:1,"MULTIPOLYGON (((98.25 33.705, 98.1 33.705, 98.1 34.745, 98.25 34.745, 98.25 33.705)))"
