type,name,geometry
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2600mm:4983221:1,"MULTIPOLYGON (((24.45 26.07, 24.55 26.07, 24.55 25.03, 24.45 25.03, 24.45 26.07)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2735x2270mm:4542427:1,"MULTIPOLYGON (((31.605 31.585, 31.605 31.205, 28.995 31.205, 28.995 31.585, 31.605 31.585)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2735x2270mm:3561537:1,"MULTIPOLYGON (((23.395 31.205, 23.395 31.585, 26.005 31.585, 26.005 31.205, 23.395 31.205)))"
IfcOpeningElement,K_66_DO_WB_Elevator door:DO.xxxx_elevator door_2300x1800mm:4008651:1,"MULTIPOLYGON (((31.92 24.27, 31.82 24.27, 31.82 25.17, 31.92 25.17, 31.92 24.27)))"
IfcOpeningElement,K_66_DO_WB_Elevator door:DO.xxxx_elevator door_2300x1800mm:3303588:1,"MULTIPOLYGON (((29.25 26.32, 29.25 26.22, 28.35 26.22, 28.35 26.32, 29.25 26.32)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1235x2880mm:3299123:1,"MULTIPOLYGON (((20.72 29.585, 20.6 29.585, 20.6 30.82, 20.72 30.82, 20.72 29.585)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2541639:1,"MULTIPOLYGON (((34.595 31.485, 34.595 31.585, 37.205 31.585, 37.205 31.485, 34.595 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2541676:1,"MULTIPOLYGON (((31.795 31.485, 31.795 31.585, 34.405 31.585, 34.405 31.485, 31.795 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2541784:1,"MULTIPOLYGON (((9.395 31.485, 9.395 31.585, 12.005 31.585, 12.005 31.485, 9.395 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2541573:1,"MULTIPOLYGON (((37.395 31.485, 37.395 31.585, 40.005 31.585, 40.005 31.485, 37.395 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2480129:1,"MULTIPOLYGON (((40.195 31.485, 40.195 31.585, 42.805 31.585, 42.805 31.485, 40.195 31.485)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1500x2620mm:2089600:1,"MULTIPOLYGON (((29.4 20.5, 29.4 20.28, 27.9 20.28, 27.9 20.5, 29.4 20.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1500x2620mm:1840088:1,"MULTIPOLYGON (((24.3 20.5, 24.3 20.28, 22.8 20.28, 22.8 20.5, 24.3 20.5)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776777:1,"MULTIPOLYGON (((17.605 9.515, 17.605 9.415, 14.995 9.415, 14.995 9.515, 17.605 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2541786:1,"MULTIPOLYGON (((14.995 31.485, 14.995 31.585, 17.605 31.585, 17.605 31.485, 14.995 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Sliding door_2 pane_same side:WI.xxxx_2580x2880mm:2541827:1,"MULTIPOLYGON (((17.795 31.485, 17.795 31.585, 20.405 31.585, 20.405 31.485, 17.795 31.485)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1676746:1,"MULTIPOLYGON (((12.005 9.515, 12.005 9.415, 9.395 9.415, 9.395 9.515, 12.005 9.515)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2580x2880mm:3066965:1,"MULTIPOLYGON (((28.805 9.515, 28.805 9.415, 26.195 9.415, 26.195 9.515, 28.805 9.515)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2580x2880mm:3067062:1,"MULTIPOLYGON (((20.595 9.415, 20.595 9.515, 23.205 9.515, 23.205 9.415, 20.595 9.415)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776844:1,"MULTIPOLYGON (((34.405 9.515, 34.405 9.415, 31.795 9.415, 31.795 9.515, 34.405 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776869:1,"MULTIPOLYGON (((42.805 9.515, 42.805 9.415, 40.195 9.415, 40.195 9.515, 42.805 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776857:1,"MULTIPOLYGON (((40.005 9.515, 40.005 9.415, 37.395 9.415, 37.395 9.515, 40.005 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776830:1,"MULTIPOLYGON (((31.605 9.515, 31.605 9.415, 28.995 9.415, 28.995 9.515, 31.605 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776793:1,"MULTIPOLYGON (((26.005 9.515, 26.005 9.415, 23.395 9.415, 23.395 9.515, 26.005 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:1776817:1,"MULTIPOLYGON (((37.205 9.515, 37.205 9.415, 34.595 9.415, 34.595 9.515, 37.205 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_2580x2880mm:2540712:1,"MULTIPOLYGON (((9.515 20.595, 9.415 20.595, 9.415 23.205, 9.515 23.205, 9.515 20.595)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2580x2880mm:3067106:1,"MULTIPOLYGON (((9.415 14.805, 9.515 14.805, 9.515 12.195, 9.415 12.195, 9.415 14.805)))"
IfcOpeningElement,K_32_DO_WB_Double:DO.xxxx_2580x2880mm:3067246:1,"MULTIPOLYGON (((9.415 28.805, 9.515 28.805, 9.515 26.195, 9.415 26.195, 9.415 28.805)))"
