type,name,geometry
IfcOpeningElement,K_66_DO_WB_Elevator door:DO.xxxx_elevator door_2300x1800mm:3303677:1,"MULTIPOLYGON (((31.925 24.27, 31.825 24.27, 31.825 25.17, 31.925 25.17, 31.925 24.27)))"
IfcOpeningElement,Basic Wall:K_22_WA_Brickwork_250mm:3300791,"MULTIPOLYGON (((32.005 28.22, 32.005 30.82, 31.67 30.82, 31.67 29.52, 31.795 29.52, 31.795 28.22, 32.005 28.22)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2857791:1,"MULTIPOLYGON (((30.0675 21.625, 29.9675 21.625, 29.9675 22.645, 30.0675 22.645, 30.0675 21.625)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2857789:1,"MULTIPOLYGON (((30.0675 20.5, 29.9675 20.5, 29.9675 21.52, 30.0675 21.52, 30.0675 20.5)))"
IfcOpeningElement,Basic Wall:K_22_WA_Brickwork_220mm:2480019,"MULTIPOLYGON (((26.295 17.465, 26.295 20.065, 25.99 20.065, 25.99 18.765, 26.1 18.765, 26.1 17.465, 26.295 17.465)))"
IfcOpeningElement,Basic Wall:K_22_WA_Brickwork_220mm:2480019,"MULTIPOLYGON (((25.905 17.905, 25.905 15.305, 26.21 15.305, 26.21 16.605, 26.1 16.605, 26.1 17.905, 25.905 17.905)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:1789996:1,"MULTIPOLYGON (((22.1325 22.645, 22.2325 22.645, 22.2325 21.625, 22.1325 21.625, 22.1325 22.645)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_1050x2300mm:2851442:1,"MULTIPOLYGON (((29.705 20.5, 29.705 20.28, 28.645 20.28, 28.645 20.5, 29.705 20.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_1050x2300mm:2851434:1,"MULTIPOLYGON (((23.555 20.5, 23.555 20.28, 22.495 20.28, 22.495 20.5, 23.555 20.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:1789994:1,"MULTIPOLYGON (((22.1325 21.52, 22.2325 21.52, 22.2325 20.5, 22.1325 20.5, 22.1325 21.52)))"
IfcOpeningElement,Basic Wall:K_22_WA_Concrete_250mm:1789785,"MULTIPOLYGON (((30.146 25.22, 33.194 25.22, 33.194 24.22, 30.146 24.22, 30.146 25.22)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_1050x2300mm:2851436:1,"MULTIPOLYGON (((27.655 20.5, 27.655 20.28, 26.595 20.28, 26.595 20.5, 27.655 20.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_1050x2300mm:2851432:1,"MULTIPOLYGON (((25.605 20.5, 25.605 20.28, 24.545 20.28, 24.545 20.5, 25.605 20.5)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1675083:1,"MULTIPOLYGON (((40.005 9.51, 40.005 9.41, 38.795 9.41, 38.795 9.51, 40.005 9.51)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1675084:1,"MULTIPOLYGON (((41.405 9.51, 41.405 9.41, 40.195 9.41, 40.195 9.51, 41.405 9.51)))"
