type,name,geometry
IfcOpeningElement,K_66_DO_WB_Elevator door:DO.xxxx_elevator door_2300x1800mm:3307961:1,"MULTIPOLYGON (((31.92 24.27, 31.82 24.27, 31.82 25.17, 31.92 25.17, 31.92 24.27)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2858305:1,"MULTIPOLYGON (((30.0675 20.5, 29.9675 20.5, 29.9675 21.52, 30.0675 21.52, 30.0675 20.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2858307:1,"MULTIPOLYGON (((30.0675 21.625, 29.9675 21.625, 29.9675 22.645, 30.0675 22.645, 30.0675 21.625)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2858154:1,"MULTIPOLYGON (((22.1325 21.52, 22.2325 21.52, 22.2325 20.5, 22.1325 20.5, 22.1325 21.52)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1020x2160mm:2858156:1,"MULTIPOLYGON (((22.1325 22.645, 22.2325 22.645, 22.2325 21.625, 22.1325 21.625, 22.1325 22.645)))"
IfcOpeningElement,Basic Wall:K_22_WA_Brickwork_220mm:2534954,"MULTIPOLYGON (((26.295 17.465, 26.295 20.065, 25.99 20.065, 25.99 18.765, 26.1 18.765, 26.1 17.465, 26.295 17.465)))"
IfcOpeningElement,Basic Wall:K_22_WA_Brickwork_220mm:2534954,"MULTIPOLYGON (((25.905 17.905, 25.905 15.305, 26.21 15.305, 26.21 16.605, 26.1 16.605, 26.1 17.905, 25.905 17.905)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784983:1,"MULTIPOLYGON (((41.405 9.515, 41.405 9.415, 40.195 9.415, 40.195 9.515, 41.405 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784984:1,"MULTIPOLYGON (((42.805 9.515, 42.805 9.415, 41.595 9.415, 41.595 9.515, 42.805 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1785020:1,"MULTIPOLYGON (((12.005 9.515, 12.005 9.415, 10.795 9.415, 10.795 9.515, 12.005 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784980:1,"MULTIPOLYGON (((37.205 9.515, 37.205 9.415, 35.995 9.415, 35.995 9.515, 37.205 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784981:1,"MULTIPOLYGON (((38.605 9.515, 38.605 9.415, 37.395 9.415, 37.395 9.515, 38.605 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784982:1,"MULTIPOLYGON (((40.005 9.515, 40.005 9.415, 38.795 9.415, 38.795 9.515, 40.005 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784977:1,"MULTIPOLYGON (((33.005 9.515, 33.005 9.415, 31.795 9.415, 31.795 9.515, 33.005 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784978:1,"MULTIPOLYGON (((34.405 9.515, 34.405 9.415, 33.195 9.415, 33.195 9.515, 34.405 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Tilt_openable:WI.xxxx_1180x2400mm:1784979:1,"MULTIPOLYGON (((35.805 9.515, 35.805 9.415, 34.595 9.415, 34.595 9.515, 35.805 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784973:1,"MULTIPOLYGON (((27.405 9.515, 27.405 9.415, 26.195 9.415, 26.195 9.515, 27.405 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784974:1,"MULTIPOLYGON (((28.805 9.515, 28.805 9.415, 27.595 9.415, 27.595 9.515, 28.805 9.515)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1180x2400mm:1784975:1,"MULTIPOLYGON (((30.205 9.515, 30.205 9.415, 28.995 9.415, 28.995 9.515, 30.205 9.515)))"
