type,name,geometry
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945301:1,"MULTIPOLYGON (((14.035 10.19, 13.935 10.19, 13.935 11.23, 14.035 11.23, 14.035 10.19)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945567:1,"MULTIPOLYGON (((37.11 12.76, 37.11 12.86, 38.15 12.86, 38.15 12.76, 37.11 12.76)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945576:1,"MULTIPOLYGON (((38.165 11.23, 38.265 11.23, 38.265 10.19, 38.165 10.19, 38.165 11.23)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945292:1,"MULTIPOLYGON (((14.05 12.76, 14.05 12.86, 15.09 12.86, 15.09 12.76, 14.05 12.76)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410428:1,"MULTIPOLYGON (((31.115 18.755, 31.495 18.755, 31.495 18.055, 31.115 18.055, 31.115 18.755)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410426:1,"MULTIPOLYGON (((31.495 15.6, 31.115 15.6, 31.115 16.66, 31.495 16.66, 31.495 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410424:1,"MULTIPOLYGON (((31.495 13.14, 31.115 13.14, 31.115 14.2, 31.495 14.2, 31.495 13.14)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410431:1,"MULTIPOLYGON (((31.115 12.455, 31.495 12.455, 31.495 11.755, 31.115 11.755, 31.115 12.455)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410430:1,"MULTIPOLYGON (((31.115 11.405, 31.495 11.405, 31.495 10.705, 31.115 10.705, 31.115 11.405)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410429:1,"MULTIPOLYGON (((31.115 19.805, 31.495 19.805, 31.495 19.105, 31.115 19.105, 31.115 19.805)))"
IfcOpeningElement,Basic Wall:K_21_WA_HSB_330mm:4410410,"MULTIPOLYGON (((29.25 23.894, 29.25 20.846, 28.35 20.846, 28.35 23.894, 29.25 23.894)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410433:1,"MULTIPOLYGON (((30.05 22.37, 30.05 22.7, 31.11 22.7, 31.11 22.37, 30.05 22.37)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1050x2350mm:4410432:1,"MULTIPOLYGON (((31.115 21.905, 31.495 21.905, 31.495 20.855, 31.115 20.855, 31.115 21.905)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410411:1,"MULTIPOLYGON (((20.705 14.2, 21.085 14.2, 21.085 13.14, 20.705 13.14, 20.705 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410405:1,"MULTIPOLYGON (((21.09 22.37, 21.09 22.7, 22.15 22.7, 22.15 22.37, 21.09 22.37)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410407:1,"MULTIPOLYGON (((22.595 22.37, 22.595 22.7, 23.655 22.7, 23.655 22.37, 22.595 22.37)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410418:1,"MULTIPOLYGON (((21.085 10.705, 20.705 10.705, 20.705 11.405, 21.085 11.405, 21.085 10.705)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410417:1,"MULTIPOLYGON (((21.085 19.105, 20.705 19.105, 20.705 19.805, 21.085 19.805, 21.085 19.105)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410416:1,"MULTIPOLYGON (((21.085 18.055, 20.705 18.055, 20.705 18.755, 21.085 18.755, 21.085 18.055)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410414:1,"MULTIPOLYGON (((20.705 16.66, 21.085 16.66, 21.085 15.6, 20.705 15.6, 20.705 16.66)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1050x2350mm:4410420:1,"MULTIPOLYGON (((21.085 20.855, 20.705 20.855, 20.705 21.905, 21.085 21.905, 21.085 20.855)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410419:1,"MULTIPOLYGON (((21.085 11.755, 20.705 11.755, 20.705 12.455, 21.085 12.455, 21.085 11.755)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156568:1,"MULTIPOLYGON (((33.86 14.3, 33.86 14.2, 32.9 14.2, 32.9 14.3, 33.86 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156552:1,"MULTIPOLYGON (((19.41 14.2, 19.41 14.3, 20.22 14.3, 20.22 14.2, 19.41 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156554:1,"MULTIPOLYGON (((19.3 14.3, 19.3 14.2, 18.34 14.2, 18.34 14.3, 19.3 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156566:1,"MULTIPOLYGON (((31.98 14.2, 31.98 14.3, 32.79 14.3, 32.79 14.2, 31.98 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155928:1,"MULTIPOLYGON (((32.9 15.5, 32.9 15.6, 33.86 15.6, 33.86 15.5, 32.9 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155912:1,"MULTIPOLYGON (((20.22 15.6, 20.22 15.5, 19.41 15.5, 19.41 15.6, 20.22 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155914:1,"MULTIPOLYGON (((18.34 15.5, 18.34 15.6, 19.3 15.6, 19.3 15.5, 18.34 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155926:1,"MULTIPOLYGON (((32.79 15.6, 32.79 15.5, 31.98 15.5, 31.98 15.6, 32.79 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4154462:1,"MULTIPOLYGON (((19.37 25.4, 19.37 25.5, 20.18 25.5, 20.18 25.4, 19.37 25.4)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4154464:1,"MULTIPOLYGON (((19.26 25.5, 19.26 25.4, 18.3 25.4, 18.3 25.5, 19.26 25.5)))"
