type,name,geometry
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945017:1,"MULTIPOLYGON (((37.11 12.76, 37.11 12.86, 38.15 12.86, 38.15 12.76, 37.11 12.76)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945026:1,"MULTIPOLYGON (((38.165 11.23, 38.265 11.23, 38.265 10.19, 38.165 10.19, 38.165 11.23)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4944742:1,"MULTIPOLYGON (((14.05 12.76, 14.05 12.86, 15.09 12.86, 15.09 12.76, 14.05 12.76)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4944751:1,"MULTIPOLYGON (((14.035 10.19, 13.935 10.19, 13.935 11.23, 14.035 11.23, 14.035 10.19)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410310:1,"MULTIPOLYGON (((31.115 18.75, 31.495 18.75, 31.495 18.05, 31.115 18.05, 31.115 18.75)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410313:1,"MULTIPOLYGON (((31.115 12.45, 31.495 12.45, 31.495 11.75, 31.115 11.75, 31.115 12.45)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410312:1,"MULTIPOLYGON (((31.115 11.4, 31.495 11.4, 31.495 10.7, 31.115 10.7, 31.115 11.4)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410311:1,"MULTIPOLYGON (((31.115 19.8, 31.495 19.8, 31.495 19.1, 31.115 19.1, 31.115 19.8)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410306:1,"MULTIPOLYGON (((31.495 13.145, 31.115 13.145, 31.115 14.205, 31.495 14.205, 31.495 13.145)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410308:1,"MULTIPOLYGON (((31.495 15.595, 31.115 15.595, 31.115 16.655, 31.495 16.655, 31.495 15.595)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1050x2350mm:4410314:1,"MULTIPOLYGON (((31.115 21.9, 31.495 21.9, 31.495 20.85, 31.115 20.85, 31.115 21.9)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410289:1,"MULTIPOLYGON (((22.595 22.365, 22.595 22.695, 23.655 22.695, 23.655 22.365, 22.595 22.365)))"
IfcOpeningElement,Basic Wall:K_21_WA_HSB_330mm:4410292,"MULTIPOLYGON (((29.25 23.889, 29.25 20.841, 28.35 20.841, 28.35 23.889, 29.25 23.889)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410315:1,"MULTIPOLYGON (((30.06 22.365, 30.06 22.695, 31.12 22.695, 31.12 22.365, 30.06 22.365)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410296:1,"MULTIPOLYGON (((20.705 16.655, 21.085 16.655, 21.085 15.595, 20.705 15.595, 20.705 16.655)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4410293:1,"MULTIPOLYGON (((20.705 14.205, 21.085 14.205, 21.085 13.145, 20.705 13.145, 20.705 14.205)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1050x2300mm:4410287:1,"MULTIPOLYGON (((21.08 22.365, 21.08 22.695, 22.14 22.695, 22.14 22.365, 21.08 22.365)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410301:1,"MULTIPOLYGON (((21.085 11.75, 20.705 11.75, 20.705 12.45, 21.085 12.45, 21.085 11.75)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410300:1,"MULTIPOLYGON (((21.085 10.7, 20.705 10.7, 20.705 11.4, 21.085 11.4, 21.085 10.7)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410299:1,"MULTIPOLYGON (((21.085 19.1, 20.705 19.1, 20.705 19.8, 21.085 19.8, 21.085 19.1)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4410298:1,"MULTIPOLYGON (((21.085 18.05, 20.705 18.05, 20.705 18.75, 21.085 18.75, 21.085 18.05)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1050x2350mm:4410302:1,"MULTIPOLYGON (((21.085 20.85, 20.705 20.85, 20.705 21.9, 21.085 21.9, 21.085 20.85)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156526:1,"MULTIPOLYGON (((19.3 14.3, 19.3 14.2, 18.34 14.2, 18.34 14.3, 19.3 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156538:1,"MULTIPOLYGON (((31.98 14.2, 31.98 14.3, 32.79 14.3, 32.79 14.2, 31.98 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156540:1,"MULTIPOLYGON (((33.86 14.3, 33.86 14.2, 32.9 14.2, 32.9 14.3, 33.86 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156524:1,"MULTIPOLYGON (((19.41 14.2, 19.41 14.3, 20.22 14.3, 20.22 14.2, 19.41 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155886:1,"MULTIPOLYGON (((18.34 15.5, 18.34 15.6, 19.3 15.6, 19.3 15.5, 18.34 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155898:1,"MULTIPOLYGON (((32.79 15.6, 32.79 15.5, 31.98 15.5, 31.98 15.6, 32.79 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155900:1,"MULTIPOLYGON (((32.9 15.5, 32.9 15.6, 33.86 15.6, 33.86 15.5, 32.9 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155884:1,"MULTIPOLYGON (((20.22 15.6, 20.22 15.5, 19.41 15.5, 19.41 15.6, 20.22 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4154438:1,"MULTIPOLYGON (((19.26 25.5, 19.26 25.4, 18.3 25.4, 18.3 25.5, 19.26 25.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4154449:1,"MULTIPOLYGON (((32.02 25.4, 32.02 25.5, 32.83 25.5, 32.83 25.4, 32.02 25.4)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4154451:1,"MULTIPOLYGON (((33.9 25.5, 33.9 25.4, 32.94 25.4, 32.94 25.5, 33.9 25.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4154436:1,"MULTIPOLYGON (((19.37 25.4, 19.37 25.5, 20.18 25.5, 20.18 25.4, 19.37 25.4)))"
