type,name,geometry
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945851:1,"MULTIPOLYGON (((14.035 10.19, 13.935 10.19, 13.935 11.23, 14.035 11.23, 14.035 10.19)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4946117:1,"MULTIPOLYGON (((37.11 12.76, 37.11 12.86, 38.15 12.86, 38.15 12.76, 37.11 12.76)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4946126:1,"MULTIPOLYGON (((38.165 11.23, 38.265 11.23, 38.265 10.19, 38.165 10.19, 38.165 11.23)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_1040x2160mm:4945842:1,"MULTIPOLYGON (((14.05 12.76, 14.05 12.86, 15.09 12.86, 15.09 12.76, 14.05 12.76)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4402186:1,"MULTIPOLYGON (((31.115 11.4, 31.495 11.4, 31.495 10.7, 31.115 10.7, 31.115 11.4)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4402185:1,"MULTIPOLYGON (((31.115 19.8, 31.495 19.8, 31.495 19.1, 31.115 19.1, 31.115 19.8)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4402184:1,"MULTIPOLYGON (((31.115 18.75, 31.495 18.75, 31.495 18.05, 31.115 18.05, 31.115 18.75)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4402182:1,"MULTIPOLYGON (((31.495 15.595, 31.115 15.595, 31.115 16.655, 31.495 16.655, 31.495 15.595)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_1050x2350mm:4402188:1,"MULTIPOLYGON (((31.115 21.9, 31.495 21.9, 31.495 20.85, 31.115 20.85, 31.115 21.9)))"
IfcOpeningElement,K_31_WIN_WB_Aluminum_Regular_fixed:WI.xxxx_700x2350mm:4402187:1,"MULTIPOLYGON (((31.115 12.45, 31.495 12.45, 31.495 11.75, 31.115 11.75, 31.115 12.45)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156594:1,"MULTIPOLYGON (((31.98 14.2, 31.98 14.3, 32.79 14.3, 32.79 14.2, 31.98 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156596:1,"MULTIPOLYGON (((33.86 14.3, 33.86 14.2, 32.9 14.2, 32.9 14.3, 33.86 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single door_wood:DO.xxxx_1050x2300mm:4402180:1,"MULTIPOLYGON (((31.495 13.145, 31.115 13.145, 31.115 14.205, 31.495 14.205, 31.495 13.145)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4156580:1,"MULTIPOLYGON (((19.41 14.2, 19.41 14.3, 20.22 14.3, 20.22 14.2, 19.41 14.2)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4156582:1,"MULTIPOLYGON (((19.3 14.3, 19.3 14.2, 18.34 14.2, 18.34 14.3, 19.3 14.3)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155954:1,"MULTIPOLYGON (((32.79 15.6, 32.79 15.5, 31.98 15.5, 31.98 15.6, 32.79 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155956:1,"MULTIPOLYGON (((32.9 15.5, 32.9 15.6, 33.86 15.6, 33.86 15.5, 32.9 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4155940:1,"MULTIPOLYGON (((20.22 15.6, 20.22 15.5, 19.41 15.5, 19.41 15.6, 20.22 15.6)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4155942:1,"MULTIPOLYGON (((18.34 15.5, 18.34 15.6, 19.3 15.6, 19.3 15.5, 18.34 15.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4154503:1,"MULTIPOLYGON (((33.9 25.5, 33.9 25.4, 32.94 25.4, 32.94 25.5, 33.9 25.5)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_820x2300mm:4154488:1,"MULTIPOLYGON (((19.37 25.4, 19.37 25.5, 20.18 25.5, 20.18 25.4, 19.37 25.4)))"
IfcOpeningElement,K_32_DO_WB_Single:DO.xxxx_wood_960x2300mm:4154490:1,"MULTIPOLYGON (((19.26 25.5, 19.26 25.4, 18.3 25.4, 18.3 25.5, 19.26 25.5)))"
