type,name,geometry
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38574918:1,"MULTIPOLYGON (((70.753691 79.057516, 70.753691 79.127516, 71.728691 79.127516, 71.728691 79.057516, 70.753691 79.057516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38574931:1,"MULTIPOLYGON (((69.858691 79.057516, 69.858691 79.127516, 70.633691 79.127516, 70.633691 79.057516, 69.858691 79.057516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38574897:1,"MULTIPOLYGON (((71.728691 80.727516, 71.728691 80.657516, 70.953691 80.657516, 70.953691 80.727516, 71.728691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38574888:1,"MULTIPOLYGON (((68.606191 82.317516, 68.506191 82.317516, 68.506191 83.292516, 68.606191 83.292516, 68.606191 82.317516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38574890:1,"MULTIPOLYGON (((69.821191 79.610016, 69.751191 79.610016, 69.751191 80.585016, 69.821191 80.585016, 69.821191 79.610016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38574607:1,"MULTIPOLYGON (((70.633691 75.947516, 70.633691 75.877516, 69.858691 75.877516, 69.858691 75.947516, 70.633691 75.947516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38574889:1,"MULTIPOLYGON (((69.678691 80.727516, 69.678691 80.657516, 68.703691 80.657516, 68.703691 80.727516, 69.678691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38574896:1,"MULTIPOLYGON (((70.633691 80.727516, 70.633691 80.657516, 69.858691 80.657516, 69.858691 80.727516, 70.633691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38574573:1,"MULTIPOLYGON (((70.953691 74.277516, 70.953691 74.347516, 71.728691 74.347516, 71.728691 74.277516, 70.953691 74.277516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38574564:1,"MULTIPOLYGON (((68.606191 71.712516, 68.506191 71.712516, 68.506191 72.687516, 68.606191 72.687516, 68.606191 71.712516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38574566:1,"MULTIPOLYGON (((69.821191 74.420016, 69.751191 74.420016, 69.751191 75.395016, 69.821191 75.395016, 69.821191 74.420016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38574594:1,"MULTIPOLYGON (((71.728691 75.947516, 71.728691 75.877516, 70.753691 75.877516, 70.753691 75.947516, 71.728691 75.947516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38572459:1,"MULTIPOLYGON (((67.528691 83.967516, 67.528691 84.037516, 68.303691 84.037516, 68.303691 83.967516, 67.528691 83.967516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38574565:1,"MULTIPOLYGON (((68.703691 74.277516, 68.703691 74.347516, 69.678691 74.347516, 69.678691 74.277516, 68.703691 74.277516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38574572:1,"MULTIPOLYGON (((69.858691 74.277516, 69.858691 74.347516, 70.633691 74.347516, 70.633691 74.277516, 69.858691 74.277516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38572450:1,"MULTIPOLYGON (((67.976191 85.307516, 67.976191 85.237516, 67.001191 85.237516, 67.001191 85.307516, 67.976191 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38572472:1,"MULTIPOLYGON (((69.688691 85.307516, 69.688691 85.237516, 68.913691 85.237516, 68.913691 85.307516, 69.688691 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_750x2620_berging/techniek deur:38572478:1,"MULTIPOLYGON (((68.858691 85.307516, 68.858691 85.237516, 68.133691 85.237516, 68.133691 85.307516, 68.858691 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38572469:1,"MULTIPOLYGON (((66.978691 86.980016, 66.908691 86.980016, 66.908691 87.955016, 66.978691 87.955016, 66.978691 86.980016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572429:1,"MULTIPOLYGON (((66.908691 89.755016, 66.978691 89.755016, 66.978691 88.780016, 66.908691 88.780016, 66.908691 89.755016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38572473:1,"MULTIPOLYGON (((68.713691 87.982516, 68.713691 88.082516, 69.688691 88.082516, 69.688691 87.982516, 68.713691 87.982516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38572237:1,"MULTIPOLYGON (((74.661191 84.705016, 74.591191 84.705016, 74.591191 85.480016, 74.661191 85.480016, 74.661191 84.705016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_750x2620_berging/techniek deur:38572238:1,"MULTIPOLYGON (((74.661191 83.600016, 74.591191 83.600016, 74.591191 84.325016, 74.661191 84.325016, 74.661191 83.600016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572430:1,"MULTIPOLYGON (((66.978691 84.225016, 66.908691 84.225016, 66.908691 85.200016, 66.978691 85.200016, 66.978691 84.225016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572213:1,"MULTIPOLYGON (((73.238691 85.517516, 73.238691 85.587516, 74.213691 85.587516, 74.213691 85.517516, 73.238691 85.517516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38572199:1,"MULTIPOLYGON (((73.096191 85.480016, 73.166191 85.480016, 73.166191 84.705016, 73.096191 84.705016, 73.096191 85.480016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38572214:1,"MULTIPOLYGON (((73.096191 84.575016, 73.166191 84.575016, 73.166191 83.600016, 73.096191 83.600016, 73.096191 84.575016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38572228:1,"MULTIPOLYGON (((72.561191 86.635016, 72.631191 86.635016, 72.631191 85.660016, 72.561191 85.660016, 72.561191 86.635016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_750x2620_berging/techniek deur:38572077:1,"MULTIPOLYGON (((76.911191 84.325016, 76.981191 84.325016, 76.981191 83.600016, 76.911191 83.600016, 76.911191 84.325016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572212:1,"MULTIPOLYGON (((72.631191 88.300016, 72.561191 88.300016, 72.561191 89.275016, 72.631191 89.275016, 72.631191 88.300016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38572211:1,"MULTIPOLYGON (((69.983691 86.952516, 69.983691 87.052516, 70.958691 87.052516, 70.958691 86.952516, 69.983691 86.952516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38572054:1,"MULTIPOLYGON (((78.476191 83.600016, 78.406191 83.600016, 78.406191 84.575016, 78.476191 84.575016, 78.476191 83.600016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38572069:1,"MULTIPOLYGON (((79.011191 85.660016, 78.941191 85.660016, 78.941191 86.635016, 79.011191 86.635016, 79.011191 85.660016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38572076:1,"MULTIPOLYGON (((76.911191 85.480016, 76.981191 85.480016, 76.981191 84.705016, 76.911191 84.705016, 76.911191 85.480016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38572051:1,"MULTIPOLYGON (((80.613691 86.952516, 80.613691 87.052516, 81.588691 87.052516, 81.588691 86.952516, 80.613691 86.952516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572053:1,"MULTIPOLYGON (((77.358691 85.517516, 77.358691 85.587516, 78.333691 85.587516, 78.333691 85.517516, 77.358691 85.517516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38572039:1,"MULTIPOLYGON (((78.476191 84.705016, 78.406191 84.705016, 78.406191 85.480016, 78.476191 85.480016, 78.476191 84.705016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_750x2620_berging/techniek deur:38571908:1,"MULTIPOLYGON (((83.438691 85.307516, 83.438691 85.237516, 82.713691 85.237516, 82.713691 85.307516, 83.438691 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38571904:1,"MULTIPOLYGON (((83.263691 83.967516, 83.263691 84.037516, 84.038691 84.037516, 84.038691 83.967516, 83.263691 83.967516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38572052:1,"MULTIPOLYGON (((78.941191 89.275016, 79.011191 89.275016, 79.011191 88.300016, 78.941191 88.300016, 78.941191 89.275016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38571855:1,"MULTIPOLYGON (((84.663691 88.780016, 84.593691 88.780016, 84.593691 89.755016, 84.663691 89.755016, 84.663691 88.780016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38571900:1,"MULTIPOLYGON (((81.883691 87.982516, 81.883691 88.082516, 82.858691 88.082516, 82.858691 87.982516, 81.883691 87.982516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38571878:1,"MULTIPOLYGON (((84.571191 85.307516, 84.571191 85.237516, 83.596191 85.237516, 83.596191 85.307516, 84.571191 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38571899:1,"MULTIPOLYGON (((82.658691 85.307516, 82.658691 85.237516, 81.883691 85.237516, 81.883691 85.307516, 82.658691 85.307516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38571666:1,"MULTIPOLYGON (((80.938691 79.057516, 80.938691 79.127516, 81.713691 79.127516, 81.713691 79.057516, 80.938691 79.057516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38571856:1,"MULTIPOLYGON (((84.593691 85.185016, 84.663691 85.185016, 84.663691 84.210016, 84.593691 84.210016, 84.593691 85.185016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38571896:1,"MULTIPOLYGON (((84.593691 87.955016, 84.663691 87.955016, 84.663691 86.980016, 84.593691 86.980016, 84.593691 87.955016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_badkamerdeur:38571622:1,"MULTIPOLYGON (((82.966191 83.292516, 83.066191 83.292516, 83.066191 82.317516, 82.966191 82.317516, 82.966191 83.292516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38571624:1,"MULTIPOLYGON (((81.751191 80.585016, 81.821191 80.585016, 81.821191 79.610016, 81.751191 79.610016, 81.751191 80.585016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38571653:1,"MULTIPOLYGON (((79.843691 79.057516, 79.843691 79.127516, 80.818691 79.127516, 80.818691 79.057516, 79.843691 79.057516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_berging/techniek deur:38571623:1,"MULTIPOLYGON (((82.868691 80.727516, 82.868691 80.657516, 81.893691 80.657516, 81.893691 80.727516, 82.868691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_meterkast:38571630:1,"MULTIPOLYGON (((81.713691 80.727516, 81.713691 80.657516, 80.938691 80.657516, 80.938691 80.727516, 81.713691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_800x2620_berging/techniek deur:38571631:1,"MULTIPOLYGON (((80.618691 80.727516, 80.618691 80.657516, 79.843691 80.657516, 79.843691 80.727516, 80.618691 80.727516)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_woningbinnendeur:38571466:1,"MULTIPOLYGON (((81.751191 75.395016, 81.821191 75.395016, 81.821191 74.420016, 81.751191 74.420016, 81.751191 75.395016)))"
IfcOpeningElement,32_DO_WB_binnen kozijn staal:DO_1000x2620_toiletdeur:38571494:1,"MULTIPOLYGON (((80.818691 75.947516, 80.818691 75.877516, 79.843691 75.877516, 79.843691 75.947516, 80.818691 75.947516)))"
