type,name,geometry
IfcRailing,34_GM_RAI_stairs railing_cut:34_GM_RAI_stairs railing_cut:33661637,"MULTIPOLYGON (((21.626191 76.897516, 21.576191 76.897516, 21.576191 76.907516, 21.626191 76.907516, 21.626191 76.897516)), ((21.626191 76.997516, 21.576191 76.997516, 21.576191 77.007516, 21.626191 77.007516, 21.626191 76.997516)), ((21.626191 77.097516, 21.576191 77.097516, 21.576191 77.107516, 21.626191 77.107516, 21.626191 77.097516)), ((21.626191 77.197516, 21.576191 77.197516, 21.576191 77.207516, 21.626191 77.207516, 21.626191 77.197516)), ((21.626191 77.297516, 21.576191 77.297516, 21.576191 77.307516, 21.626191 77.307516, 21.626191 77.297516)), ((21.626191 77.397516, 21.576191 77.397516, 21.576191 77.407516, 21.626191 77.407516, 21.626191 77.397516)), ((21.626191 77.497516, 21.576191 77.497516, 21.576191 77.507516, 21.626191 77.507516, 21.626191 77.497516)), ((21.626191 77.597516, 21.576191 77.597516, 21.576191 77.607516, 21.626191 77.607516, 21.626191 77.597516)), ((21.626191 77.697516, 21.576191 77.697516, 21.576191 77.707516, 21.626191 77.707516, 21.626191 77.697516)), ((21.626191 77.797516, 21.576191 77.797516, 21.576191 77.807516, 21.626191 77.807516, 21.626191 77.797516)), ((21.626191 77.897516, 21.576191 77.897516, 21.576191 77.907516, 21.626191 77.907516, 21.626191 77.897516)), ((21.626191 77.997516, 21.576191 77.997516, 21.576191 78.007516, 21.626191 78.007516, 21.626191 77.997516)), ((21.576191 78.050919, 21.626191 78.050919, 21.626191 78.035435, 21.576191 78.035435, 21.576191 78.050919)), ((21.626191 76.797516, 21.576191 76.797516, 21.576191 76.807516, 21.626191 76.807516, 21.626191 76.797516)))"
IfcRailing,34_RAI_TLB_stairs railing_no landing_ver top_h=1020mm:34_RAI_TLB_stairs railing_no landing_ver top_h=1020mm:33323504,"MULTIPOLYGON (((53.701191 89.572516, 53.751191 89.572516, 53.751191 89.562516, 53.701191 89.562516, 53.701191 89.572516)), ((53.701191 89.672516, 53.751191 89.672516, 53.751191 89.662516, 53.701191 89.662516, 53.701191 89.672516)), ((53.701191 89.772516, 53.751191 89.772516, 53.751191 89.762516, 53.701191 89.762516, 53.701191 89.772516)), ((53.701191 89.872516, 53.751191 89.872516, 53.751191 89.862516, 53.701191 89.862516, 53.701191 89.872516)), ((53.701191 89.972516, 53.751191 89.972516, 53.751191 89.962516, 53.701191 89.962516, 53.701191 89.972516)), ((53.701191 90.072516, 53.751191 90.072516, 53.751191 90.062516, 53.701191 90.062516, 53.701191 90.072516)), ((53.701191 90.172516, 53.751191 90.172516, 53.751191 90.162516, 53.701191 90.162516, 53.701191 90.172516)), ((53.701191 90.272516, 53.751191 90.272516, 53.751191 90.262516, 53.701191 90.262516, 53.701191 90.272516)), ((53.701191 90.372516, 53.751191 90.372516, 53.751191 90.362516, 53.701191 90.362516, 53.701191 90.372516)), ((53.701191 90.472516, 53.751191 90.472516, 53.751191 90.462516, 53.701191 90.462516, 53.701191 90.472516)), ((53.701191 90.572516, 53.751191 90.572516, 53.751191 90.562516, 53.701191 90.562516, 53.701191 90.572516)), ((53.701191 90.672516, 53.751191 90.672516, 53.751191 90.662516, 53.701191 90.662516, 53.701191 90.672516)), ((53.751191 89.462516, 53.701191 89.462516, 53.701191 89.472516, 53.751191 89.472516, 53.751191 89.462516)), ((53.701191 90.715677, 53.751191 90.715677, 53.751191 90.700194, 53.701191 90.700194, 53.701191 90.715677)))"
IfcRailing,34_RAI_TLB_stairs railing_no landing_ver top_h=1020mm:34_RAI_TLB_stairs railing_no landing_ver top_h=1020mm:33318017,"MULTIPOLYGON (((53.901191 89.402516, 53.851191 89.402516, 53.851191 89.412516, 53.901191 89.412516, 53.901191 89.402516)), ((53.851191 89.503776, 53.901191 89.503776, 53.901191 89.488293, 53.851191 89.488293, 53.851191 89.503776)))"
IfcRailing,Railing:NLRS_44_RAI_buisleuning hoog 900_gen_KLA:31971778,"MULTIPOLYGON (((76.856167 77.848054, 76.866167 77.874861, 76.856167 77.901668, 76.836167 77.901668, 76.826167 77.874861, 76.836167 77.848054, 76.856167 77.848054)))"
IfcRailing,Railing:NLRS_44_RAI_buisleuning hoog 900_gen_KLA:31947361,"MULTIPOLYGON (((41.639654 55.777516, 41.612847 55.787516, 41.58604 55.777516, 41.58604 55.757516, 41.612847 55.747516, 41.639654 55.757516, 41.639654 55.777516)))"
IfcRailing,Railing:NLRS_44_RAI_buisleuning hoog 900_gen_KLA:31847067,"MULTIPOLYGON (((16.506191 85.25181, 16.496191 85.225003, 16.506191 85.198196, 16.526191 85.198196, 16.536191 85.225003, 16.526191 85.25181, 16.506191 85.25181)))"
IfcWall,Basic Wall:22_WA_MS 100/2.75 voorzetwand:33718289,"MULTIPOLYGON (((24.938691 75.477516, 24.926191 75.477516, 24.926191 76.952516, 24.938691 76.952516, 24.938691 75.477516, 24.951191 75.477516, 25.026191 75.477516, 25.026191 76.952516, 24.951191 76.952516, 24.938691 75.477516)))"
IfcWall,Basic Wall:22_WA_MS 200/100 75.2.A geisoleerde voorzetwand:33717036,"MULTIPOLYGON (((25.326191 75.327516, 25.226191 75.327516, 25.226191 78.192516, 25.326191 78.192516, 25.326191 75.327516, 25.326191 75.227516, 25.401191 75.227516, 25.401191 78.192516, 25.326191 75.327516)), ((25.401191 78.192516, 25.413691 78.192516, 25.426191 78.192516, 25.426191 75.140016, 25.413691 75.140016, 25.413691 75.152516, 25.401191 75.152516, 25.401191 78.192516)))"
IfcWall,Basic Wall:22_WA_kalkzandsteen gen_100mm:33700874,"MULTIPOLYGON (((73.406167 72.847125, 73.406167 73.547516, 73.506167 73.547516, 73.506167 72.847125, 73.406167 72.847125)))"
IfcWall,Basic Wall:22_WA_kalkzandsteen gen_100mm:33700954,"MULTIPOLYGON (((75.436167 73.547516, 75.436167 72.94732, 75.336167 72.94732, 75.336167 73.547516, 75.436167 73.547516)))"
