type,name,geometry
IfcSpace,Area:21922835,"MULTIPOLYGON (((51.801191 46.877516, 55.946191 46.877516, 55.946191 42.502516, 51.801191 42.502516, 51.801191 46.877516)))"
IfcSpace,Area:21922764,"MULTIPOLYGON (((25.276191 99.302516, 25.276191 90.512516, 10.876191 90.512516, 10.876191 80.192516, 5.876191 80.192516, 5.876191 99.302516, 25.276191 99.302516)))"
IfcSpace,Area:21922770,"MULTIPOLYGON (((63.886191 81.332516, 73.496167 81.332516, 73.496167 78.652516, 75.361167 78.652516, 75.361167 76.352516, 73.496167 76.352516, 73.496167 74.747516, 63.886191 74.747516, 63.886191 81.332516)))"
IfcSpace,Area:21684668,"MULTIPOLYGON (((25.276191 90.512516, 25.276191 99.302516, 92.576191 99.302516, 92.576191 58.402516, 55.946191 58.402516, 55.946191 46.877516, 51.801191 46.877516, 51.801191 42.502516, 3.676191 42.502516, 3.676191 70.952516, 5.876191 70.952516, 5.876191 80.192516, 10.876191 80.192516, 10.876191 90.512516, 25.276191 90.512516)), ((73.496167 81.332516, 63.886191 81.332516, 63.886191 74.747516, 73.496167 74.747516, 73.496167 76.352516, 75.361167 76.352516, 75.361167 78.652516, 73.496167 78.652516, 73.496167 81.332516)))"
IfcSpace,parkeergarage,"MULTIPOLYGON (((92.276191 99.002516, 92.276191 71.802516, 92.276191 58.702516, 55.646191 58.702516, 55.646191 46.952516, 51.726191 46.952516, 51.726191 42.802516, 3.976191 42.802516, 3.976191 70.652516, 6.176191 70.652516, 6.176191 72.652516, 6.276191 72.652516, 6.276191 73.152516, 6.176191 73.152516, 6.176191 77.952516, 6.276191 77.952516, 6.276191 78.952516, 6.176191 78.952516, 6.176191 80.042516, 10.726191 80.042516, 10.726191 78.192516, 11.026191 78.192516, 11.026191 80.042516, 16.726191 80.042516, 16.726191 79.842516, 17.926191 79.842516, 17.926191 78.192516, 18.226191 78.192516, 18.226191 79.842516, 25.026191 79.842516, 25.026191 78.827016, 25.126191 78.827016, 25.126191 78.192516, 25.426191 78.192516, 25.426191 78.827016, 25.526191 78.827016, 25.526191 80.777016, 25.426191 80.777016, 25.426191 96.202516, 25.501191 96.202516, 25.501191 97.702516, 25.426191 97.702516, 25.426191 99.002516, 30.121191 99.002516, 30.121191 98.947516, 30.991191 98.947516, 30.991191 99.002516, 35.511191 99.002516, 35.511191 98.947516, 36.381191 98.947516, 36.381191 99.002516, 40.901191 99.002516, 40.901191 98.947516, 41.771191 98.947516, 41.771191 99.002516, 46.291191 99.002516, 46.291191 98.947516, 47.161191 98.947516, 47.161191 99.002516, 51.681191 99.002516, 51.681191 98.947516, 52.551191 98.947516, 52.551191 99.002516, 57.071191 99.002516, 57.071191 98.947516, 57.941191 98.947516, 57.941191 99.002516, 62.626191 99.002516, 62.626191 98.687516, 62.926191 98.687516, 62.926191 99.002516, 92.276191 99.002516)), ((87.261191 86.427516, 87.861191 86.427516, 87.861191 87.027516, 87.261191 87.027516, 87.261191 86.427516)), ((87.261191 92.977516, 87.861191 92.977516, 87.861191 93.577516, 87.261191 93.577516, 87.261191 92.977516)), ((63.761191 74.824111, 63.761191 74.672516, 64.012787 74.672516, 73.206167 74.672516, 73.206167 73.637516, 73.206167 73.547516, 73.206167 72.647516, 75.666167 72.647516, 75.666167 73.547516, 75.666167 73.637516, 75.666167 74.697516, 78.366167 74.697516, 78.366167 81.657712, 72.181167 81.657712, 72.181167 81.457516, 64.011191 81.457516, 64.011191 81.707516, 63.061191 81.707516, 63.061191 81.307516, 63.761191 81.307516, 63.761191 77.802516, 63.761191 77.202516, 63.761191 74.824111)), ((81.586191 84.599516, 81.886191 84.599516, 81.886191 85.199516, 81.586191 85.199516, 81.586191 84.599516)), ((75.636191 84.599516, 75.936191 84.599516, 75.936191 85.199516, 75.636191 85.199516, 75.636191 84.599516)), ((75.511191 83.177516, 76.061191 83.177516, 76.061191 83.727516, 75.511191 83.727516, 75.511191 83.177516)), ((69.561191 83.177516, 70.111191 83.177516, 70.111191 83.727516, 69.561191 83.727516, 69.561191 83.177516)), ((57.756191 81.257516, 57.756191 81.757516, 57.256191 81.757516, 57.256191 81.257516, 57.756191 81.257516)), ((69.686191 84.599516, 69.986191 84.599516, 69.986191 85.199516, 69.686191 85.199516, 69.686191 84.599516)), ((81.461191 83.177516, 82.011191 83.177516, 82.011191 83.727516, 81.461191 83.727516, 81.461191 83.177516)), ((30.376191 82.402516, 29.876191 82.402516, 29.876191 81.402516, 30.376191 81.402516, 30.376191 82.402516)), ((63.886182 83.177516, 64.136182 83.177516, 64.136182 85.099516, 63.886182 85.099516, 63.886182 83.177516)), ((37.101191 49.727516, 45.051191 49.727516, 45.051191 57.627516, 37.101191 57.627516, 37.101191 49.727516)), ((51.751191 87.662516, 57.751191 87.662516, 57.751191 92.942516, 51.751191 92.942516, 51.751191 87.662516)), ((35.696191 71.302516, 36.196191 71.302516, 36.196191 71.802516, 35.696191 71.802516, 35.696191 71.302516)), ((41.086191 71.302516, 41.586191 71.302516, 41.586191 71.802516, 41.086191 71.802516, 41.086191 71.302516)), ((46.476191 71.302516, 46.976191 71.302516, 46.976191 71.802516, 46.476191 71.802516, 46.476191 71.302516)), ((10.626191 68.327516, 11.126191 68.327516, 11.126191 68.827516, 10.626191 68.827516, 10.626191 68.327516)), ((17.826191 68.327516, 18.326191 68.327516, 18.326191 68.827516, 17.826191 68.827516, 17.826191 68.327516)), ((25.026191 68.327516, 25.526191 68.327516, 25.526191 68.827516, 25.026191 68.827516, 25.026191 68.327516)), ((29.876191 68.327516, 30.376191 68.327516, 30.376191 68.827516, 29.876191 68.827516, 29.876191 68.327516)), ((30.376191 96.402516, 29.876191 96.402516, 29.876191 95.202516, 30.376191 95.202516, 30.376191 96.402516)), ((30.376191 89.302516, 29.876191 89.302516, 29.876191 88.302516, 30.376191 88.302516, 30.376191 89.302516)), ((30.376191 75.502516, 29.876191 75.502516, 29.876191 74.502516, 30.376191 74.502516, 30.376191 75.502516)), ((11.101191 74.002516, 10.651191 74.002516, 10.651191 72.502516, 11.101191 72.502516, 11.101191 74.002516)), ((18.301191 74.002516, 17.851191 74.002516, 17.851191 72.502516, 18.301191 72.502516, 18.301191 74.002516)), ((25.501191 74.002516, 25.051191 74.002516, 25.051191 72.502516, 25.501191 72.502516, 25.501191 74.002516)), ((46.476191 90.052516, 46.976191 90.052516, 46.976191 90.552516, 46.476191 90.552516, 46.476191 90.052516)), ((55.211191 62.702516, 55.711191 62.702516, 55.711191 63.202516, 55.211191 63.202516, 55.211191 62.702516)), ((35.696191 90.052516, 36.196191 90.052516, 36.196191 90.552516, 35.696191 90.552516, 35.696191 90.052516)), ((8.001191 44.902516, 8.501191 44.902516, 8.501191 45.402516, 8.001191 45.402516, 8.001191 44.902516)), ((51.866191 71.302516, 52.366191 71.302516, 52.366191 71.802516, 51.866191 71.802516, 51.866191 71.302516)), ((44.426191 44.852516, 45.026191 44.852516, 45.026191 45.452516, 44.426191 45.452516, 44.426191 44.852516)), ((44.426191 61.902516, 45.026191 61.902516, 45.026191 62.502516, 44.426191 62.502516, 44.426191 61.902516)), ((57.256191 71.302516, 57.756191 71.302516, 57.756191 71.802516, 57.256191 71.802516, 57.256191 71.302516)), ((52.366191 81.257516, 52.366191 81.757516, 51.866191 81.757516, 51.866191 81.257516, 52.366191 81.257516)), ((41.086191 90.052516, 41.586191 90.052516, 41.586191 90.552516, 41.086191 90.552516, 41.086191 90.052516)), ((36.196191 81.257516, 36.196191 81.757516, 35.696191 81.757516, 35.696191 81.257516, 36.196191 81.257516)), ((41.586191 81.257516, 41.586191 81.757516, 41.086191 81.757516, 41.086191 81.257516, 41.586191 81.257516)), ((46.976191 81.257516, 46.976191 81.757516, 46.476191 81.757516, 46.476191 81.257516, 46.976191 81.257516)), ((87.261191 89.702516, 87.861191 89.702516, 87.861191 90.302516, 87.261191 90.302516, 87.261191 89.702516)), ((87.136191 77.202516, 87.736191 77.202516, 87.736191 77.802516, 87.136191 77.802516, 87.136191 77.202516)), ((87.261191 83.152516, 87.861191 83.152516, 87.861191 83.752516, 87.261191 83.752516, 87.261191 83.152516)), ((87.136191 71.252516, 87.736191 71.252516, 87.736191 71.852516, 87.136191 71.852516, 87.136191 71.252516)), ((87.286191 62.857516, 87.836191 62.857516, 87.836191 63.457516, 87.286191 63.457516, 87.286191 62.857516)), ((81.436191 91.572516, 82.036191 91.572516, 82.036191 92.172516, 81.436191 92.172516, 81.436191 91.572516)), ((81.436191 77.202516, 82.036191 77.202516, 82.036191 77.802516, 81.436191 77.802516, 81.436191 77.202516)), ((81.436191 71.252516, 82.036191 71.252516, 82.036191 71.852516, 81.436191 71.852516, 81.436191 71.252516)), ((81.461191 62.857516, 82.011191 62.857516, 82.011191 63.457516, 81.461191 63.457516, 81.461191 62.857516)), ((75.486191 91.572516, 76.086191 91.572516, 76.086191 92.172516, 75.486191 92.172516, 75.486191 91.572516)), ((75.486191 71.252516, 76.086191 71.252516, 76.086191 71.852516, 75.486191 71.852516, 75.486191 71.252516)), ((75.511191 62.857516, 76.061191 62.857516, 76.061191 63.457516, 75.511191 63.457516, 75.511191 62.857516)), ((69.536191 91.572516, 70.136191 91.572516, 70.136191 92.172516, 69.536191 92.172516, 69.536191 91.572516)), ((69.536191 71.252516, 70.136191 71.252516, 70.136191 71.852516, 69.536191 71.852516, 69.536191 71.252516)), ((69.561191 62.857516, 70.111191 62.857516, 70.111191 63.457516, 69.561191 63.457516, 69.561191 62.857516)), ((63.441191 91.552516, 64.136191 91.552516, 64.136191 92.152516, 63.441191 92.152516, 63.441191 91.552516)), ((63.836191 71.252516, 64.436191 71.252516, 64.436191 71.852516, 63.836191 71.852516, 63.836191 71.252516)), ((63.736191 62.857516, 64.286191 62.857516, 64.286191 63.457516, 63.736191 63.457516, 63.736191 62.857516)), ((37.126191 44.852516, 37.726191 44.852516, 37.726191 45.452516, 37.126191 45.452516, 37.126191 44.852516)), ((37.126191 61.902516, 37.726191 61.902516, 37.726191 62.502516, 37.126191 62.502516, 37.126191 61.902516)), ((51.726191 50.452516, 52.326191 50.452516, 52.326191 51.052516, 51.726191 51.052516, 51.726191 50.452516)), ((52.326191 56.302516, 52.326191 56.902516, 51.726191 56.902516, 51.726191 56.302516, 52.326191 56.302516)), ((52.326191 61.902516, 52.326191 62.502516, 51.726191 62.502516, 51.726191 61.902516, 52.326191 61.902516)), ((29.826191 50.452516, 30.426191 50.452516, 30.426191 51.052516, 29.826191 51.052516, 29.826191 50.452516)), ((29.826191 56.302516, 30.426191 56.302516, 30.426191 56.902516, 29.826191 56.902516, 29.826191 56.302516)), ((29.826191 44.852516, 30.426191 44.852516, 30.426191 45.452516, 29.826191 45.452516, 29.826191 44.852516)), ((29.826191 61.902516, 30.426191 61.902516, 30.426191 62.502516, 29.826191 62.502516, 29.826191 61.902516)), ((22.526191 44.852516, 23.126191 44.852516, 23.126191 45.452516, 22.526191 45.452516, 22.526191 44.852516)), ((22.526191 50.452516, 23.126191 50.452516, 23.126191 51.052516, 22.526191 51.052516, 22.526191 50.452516)), ((22.526191 56.302516, 23.126191 56.302516, 23.126191 56.902516, 22.526191 56.902516, 22.526191 56.302516)), ((22.526191 61.902516, 23.126191 61.902516, 23.126191 62.502516, 22.526191 62.502516, 22.526191 61.902516)), ((15.276191 44.902516, 15.776191 44.902516, 15.776191 45.402516, 15.276191 45.402516, 15.276191 44.902516)), ((15.276191 50.502516, 15.776191 50.502516, 15.776191 51.002516, 15.276191 51.002516, 15.276191 50.502516)), ((15.276191 56.352516, 15.776191 56.352516, 15.776191 56.852516, 15.276191 56.852516, 15.276191 56.352516)), ((15.276191 61.952516, 15.776191 61.952516, 15.776191 62.452516, 15.276191 62.452516, 15.276191 61.952516)), ((8.001191 61.952516, 8.501191 61.952516, 8.501191 62.452516, 8.001191 62.452516, 8.001191 61.952516)), ((8.001191 50.502516, 8.501191 50.502516, 8.501191 51.002516, 8.001191 51.002516, 8.001191 50.502516)), ((8.001191 56.352516, 8.501191 56.352516, 8.501191 56.852516, 8.001191 56.852516, 8.001191 56.352516)))"
IfcSpace,LKPG -2.1,"MULTIPOLYGON (((25.126191 83.777016, 25.126191 80.777016, 25.026191 80.777016, 24.526191 80.777016, 24.526191 83.777016, 25.126191 83.777016)))"
IfcSpace,gang,"MULTIPOLYGON (((18.226191 80.342516, 18.226191 81.722516, 20.126191 81.722516, 20.126191 80.342516, 18.226191 80.342516)))"
IfcSpace,schacht HWA / SPR / VWA,"MULTIPOLYGON (((20.326191 82.402516, 20.926191 82.402516, 20.926191 80.342516, 20.226191 80.342516, 20.226191 81.720921, 20.226191 81.722516, 20.326191 81.722516, 20.326191 81.824112, 20.326191 82.402516)))"
IfcSpace,loze ruimte onder lift,"MULTIPOLYGON (((21.126191 82.402516, 22.876191 82.402516, 22.876191 80.342516, 21.126191 80.342516, 21.126191 82.402516)))"
IfcSpace,berging A1,"MULTIPOLYGON (((18.226191 89.182516, 18.226191 90.362516, 25.126191 90.362516, 25.126191 83.777016, 24.526191 83.777016, 24.526191 80.777016, 25.026191 80.777016, 25.026191 80.342516, 23.326175 80.342516, 23.326175 88.202516, 23.326175 88.302516, 23.326175 89.182516, 18.226191 89.182516)))"
