type,name,geometry
IfcSpace,Area:23512526,"MULTIPOLYGON (((18.076191 80.192516, 18.076191 79.752516, 15.166191 79.752516, 15.166191 80.192516, 18.076191 80.192516)))"
IfcSpace,Area:23512535,"MULTIPOLYGON (((18.076191 90.952516, 18.076191 90.512516, 15.166191 90.512516, 15.166191 90.952516, 18.076191 90.952516)))"
IfcSpace,Area:22734227,"MULTIPOLYGON (((87.026191 63.512516, 88.126191 63.512516, 88.126191 62.422516, 87.026191 62.422516, 87.026191 63.512516)))"
IfcSpace,Area:22734218,"MULTIPOLYGON (((69.286191 63.512516, 70.386191 63.512516, 70.386191 62.422516, 69.286191 62.422516, 69.286191 63.512516)))"
IfcSpace,Area:22734221,"MULTIPOLYGON (((75.236191 63.512516, 76.336191 63.512516, 76.336191 62.422516, 75.236191 62.422516, 75.236191 63.512516)))"
IfcSpace,Area:22734224,"MULTIPOLYGON (((81.186191 63.512516, 82.286191 63.512516, 82.286191 62.422516, 81.186191 62.422516, 81.186191 63.512516)))"
IfcSpace,Area:22734200,"MULTIPOLYGON (((22.176191 45.642516, 23.376191 45.642516, 23.376191 44.442516, 22.176191 44.442516, 22.176191 45.642516)))"
IfcSpace,Area:22734215,"MULTIPOLYGON (((63.446191 63.512516, 64.546191 63.512516, 64.546191 62.422516, 63.446191 62.422516, 63.446191 63.512516)))"
IfcSpace,Area:22734191,"MULTIPOLYGON (((51.546191 45.642516, 52.746191 45.642516, 52.746191 44.442516, 51.546191 44.442516, 51.546191 45.642516)))"
IfcSpace,Area:22734194,"MULTIPOLYGON (((44.176191 45.642516, 45.376191 45.642516, 45.376191 44.442516, 44.176191 44.442516, 44.176191 45.642516)))"
IfcSpace,Area:22734197,"MULTIPOLYGON (((36.806191 45.642516, 38.006191 45.642516, 38.006191 44.442516, 36.806191 44.442516, 36.806191 45.642516)))"
IfcSpace,Area:22734182,"MULTIPOLYGON (((51.546191 62.912516, 52.746191 62.912516, 52.746191 61.712516, 51.546191 61.712516, 51.546191 62.912516)))"
IfcSpace,Area:22734185,"MULTIPOLYGON (((51.546191 57.192516, 52.746191 57.192516, 52.746191 55.992516, 51.546191 55.992516, 51.546191 57.192516)))"
IfcSpace,Area:22734188,"MULTIPOLYGON (((51.546191 51.362516, 52.746191 51.362516, 52.746191 50.162516, 51.546191 50.162516, 51.546191 51.362516)))"
IfcSpace,Area:22734176,"MULTIPOLYGON (((36.806191 62.912516, 38.006191 62.912516, 38.006191 61.712516, 36.806191 61.712516, 36.806191 62.912516)))"
IfcSpace,Area:22734179,"MULTIPOLYGON (((44.176191 62.912516, 45.376191 62.912516, 45.376191 61.712516, 44.176191 61.712516, 44.176191 62.912516)))"
IfcSpace,Area:22605878,"MULTIPOLYGON (((63.886191 90.625016, 63.886191 89.000016, 62.795691 89.000016, 62.795691 90.625016, 63.886191 90.625016)))"
IfcSpace,Area:20842971,"MULTIPOLYGON (((22.826191 53.677516, 15.098691 53.677516, 15.098691 61.712516, 14.806191 61.712516, 14.806191 62.912516, 16.006191 62.912516, 16.006191 62.639566, 29.546191 62.639566, 29.546191 62.912516, 30.746191 62.912516, 30.746191 61.712516, 30.470691 61.712516, 30.470691 56.6275, 25.501191 56.6275, 25.501191 54.977516, 22.826191 54.977516, 22.826191 53.677516)), ((15.381191 57.147816, 19.481191 57.147816, 19.481191 61.652516, 29.999941 61.652516, 29.999941 62.357516, 15.381191 62.357516, 15.381191 57.147816)))"
IfcSpace,Area:20842981,"MULTIPOLYGON (((15.098691 53.677516, 22.826191 53.677516, 22.826191 54.977516, 25.501191 54.977516, 25.501191 56.6275, 30.470691 56.6275, 30.470691 56.506016, 36.636191 56.506016, 36.636191 57.689016, 45.128191 57.689016, 45.128191 49.666016, 36.633191 49.666016, 36.633191 50.849016, 30.470691 50.849016, 30.470691 45.642516, 30.746191 45.642516, 30.746191 44.442516, 29.546191 44.442516, 29.546191 44.753016, 25.916191 44.753016, 25.916191 46.487516, 19.636191 46.487516, 19.636191 44.753016, 16.006191 44.753016, 16.006191 44.442516, 14.806191 44.442516, 14.806191 45.642516, 15.098691 45.642516, 15.098691 53.677516)), ((36.636191 56.196016, 30.251191 56.196016, 30.251191 51.159016, 36.636191 51.159016, 36.636191 56.196016)))"
IfcSpace,Area:20839693,"MULTIPOLYGON (((30.125721 99.462516, 62.461191 99.462516, 62.461191 99.757516, 63.331191 99.757516, 63.331191 98.227516, 63.024741 98.227516, 63.024741 95.467516, 63.331191 95.467516, 63.331191 92.443016, 63.541191 92.443016, 63.541191 92.292516, 63.886191 92.292516, 63.886191 90.625016, 62.795691 90.625016, 62.795691 89.000016, 63.886191 89.000016, 63.886191 81.142516, 63.736191 81.142516, 30.696191 81.142516, 30.696191 80.782516, 30.125721 80.782516, 30.125721 99.462516)), ((57.426191 92.617516, 52.076191 92.617516, 52.076191 87.987516, 57.426191 87.987516, 57.426191 92.617516)))"
IfcSpace,Area:20839699,"MULTIPOLYGON (((52.076191 92.617516, 57.426191 92.617516, 57.426191 87.987516, 52.076191 87.987516, 52.076191 92.617516)))"
IfcSpace,Area:20840167,"MULTIPOLYGON (((63.736191 81.142516, 63.886191 81.142516, 63.886191 89.000016, 63.886191 90.625016, 63.886191 92.292516, 87.836191 92.292516, 87.836191 71.112516, 63.736191 71.112516, 63.736191 81.142516)), ((64.046191 71.428516, 69.586191 71.428516, 69.586191 74.572516, 64.046191 74.572516, 64.046191 71.428516)))"
IfcSpace,Area:20839456,"MULTIPOLYGON (((20.226191 75.377516, 20.226191 80.192516, 21.026191 80.192516, 21.026191 82.502516, 23.001191 82.502516, 23.001191 80.105016, 23.001191 75.377516, 20.226191 75.377516)))"
IfcSpace,Area:20839686,"MULTIPOLYGON (((18.076191 90.952516, 18.076191 99.462516, 30.125721 99.462516, 30.125721 80.782516, 25.426191 80.782516, 25.426191 80.105016, 23.001191 80.105016, 23.001191 82.502516, 23.001191 88.942516, 18.076191 88.942516, 18.076191 90.512516, 18.076191 90.952516)))"
IfcSpace,Area:20839441,"MULTIPOLYGON (((3.906191 71.242466, 3.906191 99.462516, 18.076191 99.462516, 18.076191 90.952516, 15.166191 90.952516, 15.166191 90.512516, 18.076191 90.512516, 18.076191 88.942516, 18.076191 88.857516, 15.253691 88.857516, 15.253691 81.852516, 18.076191 81.852516, 18.076191 81.722516, 18.076191 80.192516, 15.166191 80.192516, 15.166191 79.752516, 18.076191 79.752516, 18.076191 71.242466, 3.906191 71.242466)), ((5.776191 92.752516, 10.651191 92.752516, 10.651191 97.552516, 17.701191 97.552516, 17.701191 99.177516, 4.200191 99.177516, 4.191191 99.177516, 4.191191 99.168516, 4.191191 85.360806, 4.191191 71.532516, 17.926191 71.527466, 17.926191 72.652516, 10.651191 72.652516, 10.651191 77.952516, 5.776191 77.952516, 5.776191 85.645103, 5.776191 92.752516)))"
IfcSpace,Area:20839447,"MULTIPOLYGON (((18.076191 88.857516, 18.076191 88.942516, 23.001191 88.942516, 23.001191 82.502516, 21.026191 82.502516, 21.026191 80.192516, 20.226191 80.192516, 20.226191 81.722516, 18.076191 81.722516, 18.076191 81.852516, 15.253691 81.852516, 15.253691 88.857516, 18.076191 88.857516)))"
IfcSpace,OM.TET3.6,"MULTIPOLYGON (((11.666191 87.722516, 11.666191 87.002516, 11.026191 87.002516, 11.026191 87.722516, 11.666191 87.722516)))"
IfcSpace,schacht VWA,"MULTIPOLYGON (((11.666191 86.922516, 11.666191 86.282516, 11.026191 86.282516, 11.026191 86.922516, 11.666191 86.922516)))"
IfcSpace,schacht VWA,"MULTIPOLYGON (((11.471191 84.422516, 11.471191 83.782516, 11.026191 83.782516, 11.026191 84.422516, 11.471191 84.422516)))"
IfcSpace,cera B2-5,"MULTIPOLYGON (((71.751191 81.177516, 71.751191 80.727516, 70.741191 80.727516, 70.741191 81.177516, 71.751191 81.177516)))"
IfcSpace,cera B2-8,"MULTIPOLYGON (((76.561191 85.517516, 76.911191 85.517516, 76.911191 84.457516, 76.561191 84.457516, 76.561191 85.517516)))"
IfcSpace,cera B2-7,"MULTIPOLYGON (((74.661191 85.517516, 75.011191 85.517516, 75.011191 84.457516, 74.661191 84.457516, 74.661191 85.517516)))"
IfcSpace,cera B2-10,"MULTIPOLYGON (((79.821191 80.727516, 79.821191 81.177517, 80.831191 81.177517, 80.831191 80.727516, 79.821191 80.727516)))"
IfcSpace,berging B2-10,"MULTIPOLYGON (((82.996191 80.727516, 81.821191 80.727516, 81.821191 81.212517, 81.821191 81.415016, 82.996191 81.415016, 82.996191 80.727516)))"
IfcSpace,berging B2-11,"MULTIPOLYGON (((80.911191 76.932516, 81.751191 76.932516, 81.751191 75.947516, 80.911191 75.947516, 80.911191 76.932516)))"
IfcSpace,cera B2-11,"MULTIPOLYGON (((80.831191 73.827516, 79.821191 73.827516, 79.821191 74.277516, 80.831191 74.277516, 80.831191 73.827516)))"
IfcSpace,esco B2-9,"MULTIPOLYGON (((82.676191 85.657516, 83.476191 85.657516, 83.476191 85.307516, 82.676191 85.307516, 82.676191 85.657516)))"
IfcSpace,esco B2-6,"MULTIPOLYGON (((68.761191 85.657516, 68.901191 85.657516, 68.901191 85.307516, 68.096191 85.307516, 68.096191 85.657516, 68.761191 85.657516)))"
IfcSpace,meterkast B2-11,"MULTIPOLYGON (((80.901191 74.277516, 81.751191 74.277516, 81.751191 73.827516, 80.901191 73.827516, 80.901191 74.277516)))"
IfcSpace,meterkast B2-10,"MULTIPOLYGON (((81.751191 80.727516, 80.901191 80.727516, 80.901191 81.177517, 81.751191 81.177517, 81.751191 80.727516)))"
IfcSpace,meterkast B2-5,"MULTIPOLYGON (((70.671191 80.727516, 69.821191 80.727516, 69.821191 81.177517, 70.671191 81.177517, 70.671191 81.175921, 70.671191 80.727516)))"
IfcSpace,cera B2-6,"MULTIPOLYGON (((68.901191 85.657516, 69.711191 85.657516, 69.711191 85.307516, 68.901191 85.307516, 68.901191 85.657516)))"
IfcSpace,meterkast B2-6,"MULTIPOLYGON (((68.331191 83.967516, 68.331191 83.577516, 67.481191 83.577516, 67.481191 83.967516, 68.331191 83.967516)))"
IfcSpace,meterkast B2-7,"MULTIPOLYGON (((73.096191 85.517516, 73.096191 84.667516, 72.631191 84.667516, 72.631191 84.902516, 72.631191 85.517516, 73.096191 85.517516)))"
IfcSpace,esco B2-7,"MULTIPOLYGON (((74.661191 83.605526, 74.661191 84.387516, 75.009596 84.387516, 75.011191 84.387516, 75.051191 84.387516, 75.391191 84.387516, 75.391191 83.577516, 74.661191 83.577516, 74.661191 83.605526)))"
IfcSpace,meterkast B2-8,"MULTIPOLYGON (((78.476191 84.667516, 78.476191 85.517516, 78.941191 85.517516, 78.941191 84.902516, 78.941191 84.667516, 78.476191 84.667516)))"
IfcSpace,esco B2-8,"MULTIPOLYGON (((76.911191 84.387516, 76.911191 83.605526, 76.911191 83.577516, 76.181191 83.577516, 76.181191 84.387516, 76.521191 84.387516, 76.561191 84.387516, 76.562787 84.387516, 76.911191 84.387516)))"
IfcSpace,meterkast B2-9,"MULTIPOLYGON (((83.241191 83.577516, 83.241191 83.967516, 84.091191 83.967516, 84.091191 83.577516, 83.241191 83.577516)))"
IfcSpace,cera B2-9,"MULTIPOLYGON (((81.861191 85.657516, 82.676191 85.657516, 82.676191 85.307516, 81.861191 85.307516, 81.861191 85.657516)))"
IfcSpace,woonkamer B2-9,"MULTIPOLYGON (((84.663691 83.577516, 84.663691 88.047516, 84.663691 91.982516, 85.151191 91.982516, 85.180204 92.214616, 86.992179 92.214616, 87.021191 91.982516, 87.436191 91.982516, 87.436191 91.497516, 87.763191 91.458276, 87.763191 89.646756, 87.436191 89.607516, 87.436191 88.747516, 87.763191 88.708276, 87.763191 86.896756, 87.436191 86.857516, 87.436191 85.997516, 87.763191 85.958276, 87.763191 84.036756, 87.436191 83.997516, 87.436191 83.577516, 84.663691 83.577516)))"
IfcSpace,woon-/slaapkamer B2-10,"MULTIPOLYGON (((81.821191 80.657516, 83.066191 80.657516, 83.066191 83.327516, 87.526191 83.327516, 87.526191 82.897516, 87.763191 82.867891, 87.763191 80.947141, 87.526191 80.917516, 87.526191 80.037516, 87.763191 80.007891, 87.763191 78.087141, 87.526191 78.057516, 87.526191 77.752516, 87.186191 77.752516, 87.186191 77.627516, 81.821191 77.627516, 81.821191 80.657516)))"
IfcSpace,hal A2-3A,"MULTIPOLYGON (((15.651191 53.575016, 18.469596 53.575016, 18.552787 53.575016, 19.027475 53.575016, 19.027475 52.382516, 19.331691 52.382516, 19.331691 51.362516, 18.321691 51.362516, 17.866691 51.362516, 17.017201 51.362516, 16.821691 51.362516, 15.651191 51.362516, 15.651191 51.377516, 15.426191 51.377516, 15.426191 51.400016, 15.366191 51.400016, 15.366191 53.200016, 15.426191 53.200016, 15.426191 53.227516, 15.651191 53.227516, 15.651191 53.575016)))"
IfcSpace,badkamer A2-3A,"MULTIPOLYGON (((20.201191 52.482516, 20.201191 52.497516, 19.142475 52.497516, 19.142475 53.560016, 21.211191 53.560016, 22.111191 53.560016, 22.111191 52.497516, 21.201191 52.497516, 21.201191 52.482516, 20.201191 52.482516)))"
IfcSpace,badkamer A2-3A,"MULTIPOLYGON (((16.886691 49.772516, 16.901691 49.772516, 16.901691 50.247516, 18.386691 50.247516, 18.386691 50.042516, 18.401691 50.042516, 18.401691 50.245921, 18.401691 50.262516, 18.401691 50.927516, 19.286691 50.927516, 19.286691 50.042516, 19.286691 48.777516, 16.886691 48.777516, 16.886691 49.772516)))"
