type,name,geometry
IfcSpace,Area:22644711,"MULTIPOLYGON (((5.579191 97.653016, 5.579191 92.573016, 3.541191 92.573016, 3.541191 97.653016, 5.579191 97.653016)))"
IfcSpace,Area:22644720,"MULTIPOLYGON (((17.756691 97.884516, 11.496691 97.884516, 11.496691 99.922516, 17.756691 99.922516, 17.756691 97.884516)))"
IfcSpace,Area:22644727,"MULTIPOLYGON (((30.341191 97.884516, 25.296191 97.884516, 25.296191 99.922516, 30.341191 99.922516, 30.341191 97.884516)))"
IfcSpace,Area:22644684,"MULTIPOLYGON (((18.396691 72.820516, 24.656691 72.820516, 24.656691 70.782516, 18.396691 70.782516, 18.396691 72.820516)))"
IfcSpace,Area:22644693,"MULTIPOLYGON (((5.812191 72.820516, 10.857191 72.820516, 10.857191 70.782516, 5.812191 70.782516, 5.812191 72.820516)))"
IfcSpace,Area:22644702,"MULTIPOLYGON (((5.579191 85.032016, 5.579191 78.772016, 3.541191 78.772016, 3.541191 85.032016, 5.579191 85.032016)))"
IfcSpace,Area:22644664,"MULTIPOLYGON (((30.573191 73.052016, 30.573191 78.132016, 32.611191 78.132016, 32.611191 73.052016, 30.573191 73.052016)))"
IfcSpace,Area:21920282,"MULTIPOLYGON (((5.579191 97.884516, 11.496691 97.884516, 17.756691 97.884516, 25.296191 97.884516, 30.341191 97.884516, 30.573191 97.884516, 30.573191 78.132016, 30.573191 73.052016, 30.573191 72.820516, 24.656691 72.820516, 18.396691 72.820516, 10.857191 72.820516, 5.812191 72.820516, 5.579191 72.820516, 5.579191 78.772016, 5.579191 85.032016, 5.579191 92.573016, 5.579191 97.653016, 5.579191 97.884516)))"
IfcSpace,esco A1-100,"MULTIPOLYGON (((22.736191 81.762516, 21.681191 81.762516, 21.681191 81.799112, 21.681191 82.132516, 22.736191 82.132516, 22.736191 81.762516)))"
IfcSpace,esco A1-105,"MULTIPOLYGON (((21.966191 88.572516, 21.966191 88.942516, 22.736191 88.942516, 22.736191 88.572516, 21.966191 88.572516)))"
IfcSpace,meterkast A1-101,"MULTIPOLYGON (((19.646191 79.222516, 19.646191 80.042516, 20.036191 80.042516, 20.036191 79.222516, 19.646191 79.222516)))"
IfcSpace,esco A1-101,"MULTIPOLYGON (((20.036191 78.382516, 19.646191 78.382516, 19.646191 79.152516, 19.923182 79.152516, 20.036191 79.152516, 20.036191 78.382516)))"
IfcSpace,technische ruimte A1-101,"MULTIPOLYGON (((15.776191 78.382516, 14.736191 78.382516, 14.736191 79.202516, 15.776191 79.202516, 15.776191 78.382516)))"
IfcSpace,esco A1-102,"MULTIPOLYGON (((12.526191 81.472516, 12.526191 81.932516, 13.346191 81.932516, 13.346191 81.472516, 12.526191 81.472516)))"
IfcSpace,meterkast A1-102,"MULTIPOLYGON (((13.806191 82.402516, 13.806191 81.472516, 13.416191 81.472516, 13.416191 81.930921, 13.416191 81.932516, 13.416191 82.014112, 13.416191 82.400921, 13.416191 82.402516, 13.417787 82.402516, 13.806191 82.402516)))"
IfcSpace,meterkast A1-100,"MULTIPOLYGON (((23.626191 81.762516, 22.806191 81.762516, 22.806191 82.132516, 23.626191 82.132516, 23.626191 81.762516)))"
IfcSpace,esco A1-103,"MULTIPOLYGON (((12.526191 89.232516, 13.346191 89.232516, 13.346191 88.772516, 12.526191 88.772516, 12.526191 89.232516)))"
IfcSpace,meterkast A1-103,"MULTIPOLYGON (((13.806191 89.232516, 13.806191 88.302516, 13.417787 88.302516, 13.416191 88.302516, 13.416191 88.304112, 13.416191 88.690921, 13.416191 88.772516, 13.416191 88.774112, 13.416191 89.232516, 13.806191 89.232516)))"
IfcSpace,meterkast A1-104,"MULTIPOLYGON (((20.036191 91.482516, 20.036191 90.662516, 19.646191 90.662516, 19.646191 91.482516, 20.036191 91.482516)))"
IfcSpace,esco A1-104,"MULTIPOLYGON (((19.646191 92.322516, 20.036191 92.322516, 20.036191 91.552516, 19.923182 91.552516, 19.646191 91.552516, 19.646191 92.322516)))"
IfcSpace,technische ruimte A1-104,"MULTIPOLYGON (((21.416191 91.502516, 20.376191 91.502516, 20.376191 92.322516, 21.416191 92.322516, 21.416191 91.502516)))"
IfcSpace,meterkast A1-105,"MULTIPOLYGON (((22.806191 88.942516, 23.626191 88.942516, 23.626191 88.572516, 22.806191 88.572516, 22.806191 88.942516)))"
