type,name,geometry
IfcSpace,Area:22644459,"MULTIPOLYGON (((30.573191 92.573016, 30.573191 97.653016, 32.611191 97.653016, 32.611191 92.573016, 30.573191 92.573016)))"
IfcSpace,Area:22644457,"MULTIPOLYGON (((10.857191 97.884516, 5.812191 97.884516, 5.812191 99.922516, 10.857191 99.922516, 10.857191 97.884516)))"
IfcSpace,Area:22644458,"MULTIPOLYGON (((24.656691 97.884516, 18.396691 97.884516, 18.396691 99.922516, 24.656691 99.922516, 24.656691 97.884516)))"
IfcSpace,Area:22644454,"MULTIPOLYGON (((11.496691 72.820516, 17.756691 72.820516, 17.756691 70.782516, 11.496691 70.782516, 11.496691 72.820516)))"
IfcSpace,Area:22644455,"MULTIPOLYGON (((5.579191 78.132016, 5.579191 73.052016, 3.541191 73.052016, 3.541191 78.132016, 5.579191 78.132016)))"
IfcSpace,Area:22644456,"MULTIPOLYGON (((5.579191 91.933016, 5.579191 85.673016, 3.541191 85.673016, 3.541191 91.933016, 5.579191 91.933016)))"
IfcSpace,Area:22644453,"MULTIPOLYGON (((25.296191 72.820516, 30.341191 72.820516, 30.341191 70.782516, 25.296191 70.782516, 25.296191 72.820516)))"
IfcSpace,Area:20857248,"MULTIPOLYGON (((5.579191 97.884516, 5.812191 97.884516, 10.857191 97.884516, 18.396691 97.884516, 24.656691 97.884516, 30.573191 97.884516, 30.573191 97.653016, 30.573191 92.573016, 30.573191 72.820516, 30.341191 72.820516, 25.296191 72.820516, 17.756691 72.820516, 11.496691 72.820516, 5.579191 72.820516, 5.579191 73.052016, 5.579191 78.132016, 5.579191 85.673016, 5.579191 91.933016, 5.579191 97.884516)))"
IfcSpace,esco A1-147,"MULTIPOLYGON (((21.966191 88.572516, 21.966191 88.942516, 22.736191 88.942516, 22.736191 88.572516, 21.966191 88.572516)))"
IfcSpace,esco A1-142,"MULTIPOLYGON (((22.736191 81.762516, 21.681191 81.762516, 21.681191 81.799112, 21.681191 82.132516, 22.736191 82.132516, 22.736191 81.762516)))"
IfcSpace,meterkast A1-143,"MULTIPOLYGON (((20.036191 80.042516, 20.036191 79.222516, 19.646191 79.222516, 19.646191 80.042516, 20.036191 80.042516)))"
IfcSpace,esco A1-143,"MULTIPOLYGON (((20.036191 78.382516, 19.646191 78.382516, 19.646191 79.152516, 19.923182 79.152516, 20.036191 79.152516, 20.036191 78.382516)))"
IfcSpace,technische ruimte A1-143,"MULTIPOLYGON (((20.376191 79.202516, 21.416191 79.202516, 21.416191 78.382516, 20.376191 78.382516, 20.376191 79.202516)))"
IfcSpace,esco A1-144,"MULTIPOLYGON (((12.526191 81.472516, 12.526191 81.932516, 13.346191 81.932516, 13.346191 81.472516, 12.526191 81.472516)))"
IfcSpace,meterkast A1-144,"MULTIPOLYGON (((13.806191 82.402516, 13.806191 81.472516, 13.416191 81.472516, 13.416191 81.930921, 13.416191 81.932516, 13.416191 82.014112, 13.416191 82.400921, 13.416191 82.402516, 13.417787 82.402516, 13.806191 82.402516)))"
IfcSpace,meterkast A1-142,"MULTIPOLYGON (((23.626191 81.762516, 22.806191 81.762516, 22.806191 82.132516, 23.626191 82.132516, 23.626191 81.762516)))"
IfcSpace,esco A1-145,"MULTIPOLYGON (((12.526191 89.232516, 13.346191 89.232516, 13.346191 88.772516, 12.526191 88.772516, 12.526191 89.232516)))"
IfcSpace,meterkast A1-145,"MULTIPOLYGON (((13.806191 89.232516, 13.806191 88.302516, 13.417787 88.302516, 13.416191 88.302516, 13.416191 88.304112, 13.416191 88.690921, 13.416191 88.772516, 13.416191 88.774112, 13.416191 89.232516, 13.806191 89.232516)))"
IfcSpace,meterkast A1-146,"MULTIPOLYGON (((19.646191 90.662516, 19.646191 91.482516, 20.036191 91.482516, 20.036191 90.662516, 19.646191 90.662516)))"
IfcSpace,esco A1-146,"MULTIPOLYGON (((19.646191 92.322516, 20.036191 92.322516, 20.036191 91.552516, 19.923182 91.552516, 19.646191 91.552516, 19.646191 92.322516)))"
IfcSpace,technische ruimte A1-146,"MULTIPOLYGON (((14.736191 92.322516, 15.776191 92.322516, 15.776191 91.502516, 14.736191 91.502516, 14.736191 92.322516)))"
IfcSpace,meterkast A1-147,"MULTIPOLYGON (((22.806191 88.942516, 23.626191 88.942516, 23.626191 88.572516, 22.806191 88.572516, 22.806191 88.942516)))"
IfcSpace,balkon A1-147,"MULTIPOLYGON (((30.573191 97.517516, 32.511191 97.517516, 32.511191 92.672516, 30.611191 92.672516, 30.581191 92.672516, 30.573191 92.672516, 30.573191 92.774747, 30.573191 95.180286, 30.573191 96.224747, 30.573191 97.44742, 30.573191 97.517516)))"
IfcSpace,balkon A1-146,"MULTIPOLYGON (((18.496191 99.822516, 24.556191 99.822516, 24.556191 97.922516, 24.556191 97.892516, 24.556191 97.884516, 24.446951 97.884516, 22.055432 97.884516, 20.996951 97.884516, 18.605432 97.884516, 18.496191 97.884516, 18.496191 97.892516, 18.496191 97.922516, 18.496191 99.822516)))"
IfcSpace,balkon A1-145,"MULTIPOLYGON (((5.911191 99.822516, 10.756191 99.822516, 10.756191 97.925026, 10.756191 97.884516, 10.646951 97.884516, 8.255432 97.884516, 7.196951 97.884516, 6.023432 97.884516, 5.911191 97.884516, 5.911191 99.822516)))"
IfcSpace,badkamer A1-143,"MULTIPOLYGON (((22.618691 78.252516, 22.633691 78.252516, 22.633691 79.827516, 23.563691 79.827516, 23.563691 80.027516, 24.129191 80.027516, 24.129191 79.142516, 24.144191 79.142516, 24.144191 80.027516, 25.111191 80.027516, 25.111191 79.142516, 25.111191 77.257516, 22.618691 77.257516, 22.618691 78.252516)))"
IfcSpace,badkamer A1-146,"MULTIPOLYGON (((13.533691 92.452516, 13.518691 92.452516, 13.518691 90.877516, 12.588691 90.877516, 12.588691 90.677516, 12.023191 90.677516, 12.023191 91.562516, 12.008191 91.562516, 12.008191 90.677516, 11.041191 90.677516, 11.041191 91.577516, 11.041191 93.447516, 13.533691 93.447516, 13.533691 92.452516)))"
IfcSpace,slaapkamer A1-146,"MULTIPOLYGON (((14.996191 97.580016, 14.996191 93.562516, 13.635287 93.562516, 13.583691 93.562516, 11.026191 93.562516, 11.026191 97.580016, 11.850596 97.580016, 11.864691 97.580016, 11.864691 97.807516, 13.937691 97.807516, 13.937691 97.580016, 13.951787 97.580016, 14.996191 97.580016)))"
IfcSpace,slaapkamer A1-143,"MULTIPOLYGON (((21.156191 73.125016, 21.156191 77.142516, 22.517096 77.142516, 22.568691 77.142516, 25.126191 77.142516, 25.126191 73.125016, 24.301787 73.125016, 24.287691 73.125016, 24.287691 72.897516, 22.214691 72.897516, 22.214691 73.125016, 22.200596 73.125016, 21.156191 73.125016)))"
IfcSpace,woonkamer A1-142,"MULTIPOLYGON (((25.426191 78.797516, 30.001191 78.797516, 30.001191 77.792119, 30.211191 77.792119, 30.211191 77.764018, 30.496191 77.764018, 30.496191 75.691018, 30.211191 75.691018, 30.211191 75.662119, 30.001191 75.662119, 30.001191 74.342119, 30.211191 74.342119, 30.211191 74.314016, 30.496191 74.314016, 30.496191 73.424018, 30.268691 73.424018, 30.268691 73.125016, 29.969691 73.125016, 29.969691 72.897516, 29.114691 72.897516, 29.114691 73.125016, 27.737691 73.125016, 27.737691 72.897516, 25.664691 72.897516, 25.664691 73.125016, 25.426191 73.125016, 25.426191 78.797516)))"
IfcSpace,woonkamer A1-143,"MULTIPOLYGON (((17.926191 73.125016, 17.926191 77.142516, 15.776191 77.142516, 15.776191 78.347516, 15.776191 79.202516, 14.666191 79.202516, 14.666191 80.042516, 11.026191 80.042516, 11.026191 73.125016, 11.850596 73.125016, 11.864691 73.125016, 11.864691 72.897516, 13.937691 72.897516, 13.937691 73.125016, 13.951787 73.125016, 15.300596 73.125016, 15.314691 73.125016, 15.314691 72.897516, 17.387691 72.897516, 17.387691 73.125016, 17.401787 73.125016, 17.926191 73.125016)))"
IfcSpace,woonkamer A1-144,"MULTIPOLYGON (((6.151191 79.042516, 9.591191 79.042516, 10.726191 79.042516, 10.726191 73.125016, 10.487691 73.125016, 10.487691 72.897516, 8.414691 72.897516, 8.414691 73.125016, 7.037691 73.125016, 7.037691 72.897516, 6.182691 72.897516, 6.182691 73.125016, 5.883691 73.125016, 5.883691 73.424018, 5.656191 73.424018, 5.656191 74.314016, 5.941191 74.314016, 5.941191 74.342119, 6.151191 74.342119, 6.151191 75.662119, 5.941191 75.662119, 5.941191 75.691018, 5.656191 75.691018, 5.656191 77.764018, 5.941191 77.764018, 5.941191 77.792119, 6.151191 77.792119, 6.151191 79.042516)))"
