type,name,geometry
IfcSpace,Area:22644886,"MULTIPOLYGON (((30.341191 97.886516, 25.296191 97.886516, 25.296191 99.922516, 30.341191 99.922516, 30.341191 97.886516)))"
IfcSpace,Area:22644884,"MULTIPOLYGON (((5.579191 97.653016, 5.579191 92.573016, 3.541191 92.573016, 3.541191 97.653016, 5.579191 97.653016)))"
IfcSpace,Area:22644885,"MULTIPOLYGON (((17.756691 97.886516, 11.496691 97.886516, 11.496691 99.922516, 17.756691 99.922516, 17.756691 97.886516)))"
IfcSpace,Area:22644881,"MULTIPOLYGON (((18.396691 72.822516, 24.656691 72.822516, 24.656691 70.782516, 18.396691 70.782516, 18.396691 72.822516)))"
IfcSpace,Area:22644882,"MULTIPOLYGON (((5.812191 72.822516, 10.857191 72.822516, 10.857191 70.782516, 5.812191 70.782516, 5.812191 72.822516)))"
IfcSpace,Area:22644883,"MULTIPOLYGON (((5.579191 85.032016, 5.579191 78.772016, 3.541191 78.772016, 3.541191 85.032016, 5.579191 85.032016)))"
IfcSpace,Area:22644880,"MULTIPOLYGON (((30.573191 73.052016, 30.573191 78.132016, 32.611191 78.132016, 32.611191 73.052016, 30.573191 73.052016)))"
IfcSpace,Area:21920933,"MULTIPOLYGON (((5.579191 97.886516, 11.496691 97.886516, 17.756691 97.886516, 25.296191 97.886516, 30.341191 97.886516, 30.573191 97.886516, 30.573191 78.132016, 30.573191 73.052016, 30.573191 72.822516, 24.665691 72.822516, 24.647691 72.822516, 18.405691 72.822516, 18.387691 72.822516, 10.866191 72.822516, 10.848191 72.822516, 5.821191 72.822516, 5.803191 72.822516, 5.579191 72.822516, 5.579191 78.772016, 5.579191 85.032016, 5.579191 92.573016, 5.579191 97.653016, 5.579191 97.886516)))"
IfcSpace,kast A1-162,"MULTIPOLYGON (((15.776191 91.502516, 14.736191 91.502516, 14.736191 92.322516, 15.776191 92.322516, 15.776191 91.502516)))"
IfcSpace,kast A1-161,"MULTIPOLYGON (((14.736191 79.202516, 15.776191 79.202516, 15.776191 78.382516, 14.736191 78.382516, 14.736191 79.202516)))"
IfcSpace,esco A1-163,"MULTIPOLYGON (((21.966191 88.942516, 22.736191 88.942516, 22.736191 88.572516, 21.966191 88.572516, 21.966191 88.942516)))"
IfcSpace,kast A1-163,"MULTIPOLYGON (((21.416191 91.502516, 20.376191 91.502516, 20.376191 92.322516, 21.416191 92.322516, 21.416191 91.502516)))"
IfcSpace,esco A1-160,"MULTIPOLYGON (((22.736191 82.132516, 22.736191 81.762516, 21.681191 81.762516, 21.681191 81.799112, 21.681191 82.132516, 22.736191 82.132516)))"
IfcSpace,technische ruimte A1-160,"MULTIPOLYGON (((21.416191 78.382516, 20.376191 78.382516, 20.376191 79.202516, 21.416191 79.202516, 21.416191 78.382516)))"
IfcSpace,esco A1-161,"MULTIPOLYGON (((12.526191 81.472516, 12.526191 81.932516, 13.346191 81.932516, 13.346191 81.472516, 12.526191 81.472516)))"
IfcSpace,meterkast A1-161,"MULTIPOLYGON (((13.417787 82.402516, 13.806191 82.402516, 13.806191 81.472516, 13.416191 81.472516, 13.416191 81.930921, 13.416191 81.932516, 13.416191 82.014112, 13.416191 82.400921, 13.416191 82.402516, 13.417787 82.402516)))"
IfcSpace,meterkast A1-160,"MULTIPOLYGON (((22.806191 81.762516, 22.806191 82.132516, 23.626191 82.132516, 23.626191 81.762516, 22.806191 81.762516)))"
IfcSpace,meterkast A1-162,"MULTIPOLYGON (((13.806191 88.302516, 13.417787 88.302516, 13.416191 88.302516, 13.416191 88.690921, 13.416191 88.772516, 13.416191 88.774112, 13.416191 89.232516, 13.806191 89.232516, 13.806191 88.302516)))"
IfcSpace,esco A1-162,"MULTIPOLYGON (((12.526191 88.772516, 12.526191 89.232516, 13.346191 89.232516, 13.346191 88.772516, 12.526191 88.772516)))"
IfcSpace,meterkast A1-163,"MULTIPOLYGON (((22.806191 88.942516, 23.626191 88.942516, 23.626191 88.572516, 22.806191 88.572516, 22.806191 88.942516)))"
IfcSpace,toilet A1-161,"MULTIPOLYGON (((13.723691 79.392516, 13.738691 79.392516, 13.738691 79.827516, 14.638691 79.827516, 14.638691 78.397516, 13.723691 78.397516, 13.723691 79.392516)))"
IfcSpace,toilet A1-163,"MULTIPOLYGON (((22.428691 91.312516, 22.413691 91.312516, 22.413691 90.877516, 21.513691 90.877516, 21.513691 92.307516, 22.428691 92.307516, 22.428691 91.312516)))"
IfcSpace,berging A1-161,"MULTIPOLYGON (((12.483691 80.042516, 12.483691 78.382516, 11.026191 78.382516, 11.026191 80.042516, 12.483691 80.042516)))"
