type,name,geometry
IfcSpace,Area:22645399,"MULTIPOLYGON (((28.573191 92.912516, 25.636191 92.912516, 25.636191 97.884516, 28.573191 97.884516, 28.573191 92.912516)))"
IfcSpace,Area:22645368,"MULTIPOLYGON (((25.636191 72.820516, 25.636191 77.792516, 28.573191 77.792516, 28.573191 72.820516, 25.636191 72.820516)))"
IfcSpace,Area:22645383,"MULTIPOLYGON (((7.579191 77.792516, 10.516191 77.792516, 10.516191 72.820516, 7.579191 72.820516, 7.579191 77.792516)))"
IfcSpace,Area:22645392,"MULTIPOLYGON (((10.516191 92.912516, 7.579191 92.912516, 7.579191 97.884516, 10.516191 97.884516, 10.516191 92.912516)))"
IfcSpace,Area:22645191,"MULTIPOLYGON (((7.579191 92.912516, 7.579191 77.792516, 7.579191 72.820516, 5.579191 72.820516, 5.579191 97.884516, 7.579191 97.884516, 7.579191 92.912516)))"
IfcSpace,Area:22645359,"MULTIPOLYGON (((28.573191 77.792516, 28.573191 92.912516, 28.573191 97.884516, 30.573191 97.884516, 30.573191 72.820516, 28.573191 72.820516, 28.573191 77.792516)))"
IfcSpace,Area:22138781,"MULTIPOLYGON (((7.579191 92.912516, 10.516191 92.912516, 10.516191 97.884516, 25.633191 97.884516, 25.636191 97.884516, 25.636191 92.912516, 28.573191 92.912516, 28.573191 77.792516, 25.636191 77.792516, 25.636191 72.820516, 10.516191 72.820516, 10.516191 77.792516, 7.579191 77.792516, 7.579191 92.912516)))"
IfcSpace,esco A1-169,"MULTIPOLYGON (((16.229201 79.152516, 16.506191 79.152516, 16.506191 78.382516, 16.116191 78.382516, 16.116191 79.152516, 16.229201 79.152516)))"
IfcSpace,esco A1-168,"MULTIPOLYGON (((19.646191 79.152516, 19.923182 79.152516, 20.036191 79.152516, 20.036191 78.382516, 19.646191 78.382516, 19.646191 79.152516)))"
IfcSpace,meterkast A1-168,"MULTIPOLYGON (((20.036191 79.222516, 19.646191 79.222516, 19.646191 80.042516, 20.036191 80.042516, 20.036191 79.222516)))"
IfcSpace,meterkast A1-169,"MULTIPOLYGON (((16.506191 79.222516, 16.116191 79.222516, 16.116191 80.042516, 16.506191 80.042516, 16.506191 79.222516)))"
