type,name,geometry
IfcSpace,Area:22645686,"MULTIPOLYGON (((28.571191 92.912516, 25.636191 92.912516, 25.636191 97.872516, 28.571191 97.872516, 28.571191 92.912516)))"
IfcSpace,Area:22645695,"MULTIPOLYGON (((25.636191 72.832516, 25.636191 77.792516, 28.571191 77.792516, 28.571191 72.832516, 25.636191 72.832516)))"
IfcSpace,Area:22645704,"MULTIPOLYGON (((7.581191 77.792516, 10.516191 77.792516, 10.516191 72.832516, 7.581191 72.832516, 7.581191 77.792516)))"
IfcSpace,Area:22645671,"MULTIPOLYGON (((10.516191 92.912516, 7.581191 92.912516, 7.581191 97.872516, 10.516191 97.872516, 10.516191 92.912516)))"
IfcSpace,Area:22138757,"MULTIPOLYGON (((7.581191 92.912516, 10.516191 92.912516, 10.516191 97.872516, 10.516191 97.884516, 25.636191 97.884516, 25.636191 97.872516, 25.636191 92.912516, 28.571191 92.912516, 28.573191 92.912516, 28.573191 77.792516, 28.571191 77.792516, 25.636191 77.792516, 25.636191 72.832516, 25.636191 72.820516, 10.516191 72.820516, 10.516191 72.832516, 10.516191 77.792516, 7.581191 77.792516, 7.579191 77.792516, 7.579191 92.912516, 7.581191 92.912516)))"
IfcSpace,esco A1-173,"MULTIPOLYGON (((16.229201 79.152516, 16.506191 79.152516, 16.506191 78.382516, 16.116191 78.382516, 16.116191 79.152516, 16.229201 79.152516)))"
IfcSpace,technische ruimte A1-174,"MULTIPOLYGON (((15.781191 91.502516, 14.736191 91.502516, 14.736191 92.322516, 15.781191 92.322516, 15.781191 91.502516)))"
IfcSpace,meterkast A1-173,"MULTIPOLYGON (((16.506191 79.222516, 16.116191 79.222516, 16.116191 80.042516, 16.506191 80.042516, 16.506191 79.222516)))"
IfcSpace,technische ruimte A1-173,"MULTIPOLYGON (((14.736191 79.202516, 15.781191 79.202516, 15.781191 78.382516, 14.736191 78.382516, 14.736191 79.202516)))"
IfcSpace,esco A1-172,"MULTIPOLYGON (((19.646191 79.152516, 19.923182 79.152516, 20.036191 79.152516, 20.036191 78.382516, 19.646191 78.382516, 19.646191 79.152516)))"
IfcSpace,meterkast A1-172,"MULTIPOLYGON (((20.036191 79.222516, 19.646191 79.222516, 19.646191 80.042516, 20.036191 80.042516, 20.036191 79.222516)))"
IfcSpace,berging A1-175,"MULTIPOLYGON (((20.281191 88.837516, 20.281191 88.864112, 20.281191 90.362516, 21.781191 90.362516, 21.781191 88.837516, 20.281191 88.837516)))"
IfcSpace,esco A1-174,"MULTIPOLYGON (((16.506191 91.552516, 16.229201 91.552516, 16.116191 91.552516, 16.116191 92.322516, 16.506191 92.322516, 16.506191 91.552516)))"
IfcSpace,meterkast A1-174,"MULTIPOLYGON (((16.116191 91.482516, 16.506191 91.482516, 16.506191 90.662516, 16.116191 90.662516, 16.116191 91.482516)))"
IfcSpace,meterkast A1-175,"MULTIPOLYGON (((19.646191 91.482516, 20.036191 91.482516, 20.036191 90.662516, 19.646191 90.662516, 19.646191 91.482516)))"
IfcSpace,esco A1-175,"MULTIPOLYGON (((19.923182 91.552516, 19.646191 91.552516, 19.646191 92.322516, 20.036191 92.322516, 20.036191 91.552516, 19.923182 91.552516)))"
IfcSpace,technische ruimte A1-175,"MULTIPOLYGON (((21.416191 91.502516, 20.376191 91.502516, 20.376191 92.322516, 21.416191 92.322516, 21.416191 91.502516)))"
IfcSpace,toilet A1-174,"MULTIPOLYGON (((13.723691 91.312516, 13.723691 92.307516, 14.638691 92.307516, 14.638691 90.877516, 13.738691 90.877516, 13.738691 91.312516, 13.723691 91.312516)))"
IfcSpace,balkon A1-172,"MULTIPOLYGON (((28.001191 77.792516, 28.248691 77.792516, 28.388191 77.792516, 28.473191 77.792516, 28.473191 72.920516, 25.636191 72.920516, 25.636191 77.792516, 25.750432 77.792516, 28.001191 77.792516)))"
IfcSpace,balkon A1-173,"MULTIPOLYGON (((7.903691 77.792516, 8.151191 77.792516, 10.401951 77.792516, 10.516191 77.792516, 10.516191 72.920516, 7.679191 72.920516, 7.679191 77.792516, 7.764191 77.792516, 7.903691 77.792516)))"
IfcSpace,balkon A1-175,"MULTIPOLYGON (((25.636191 97.784516, 28.473191 97.784516, 28.473191 92.912516, 28.388191 92.912516, 25.750432 92.912516, 25.636191 92.912516, 25.636191 97.784516)))"
IfcSpace,balkon A1-174,"MULTIPOLYGON (((7.679191 97.784516, 10.516191 97.784516, 10.516191 92.912516, 10.401951 92.912516, 7.764191 92.912516, 7.679191 92.912516, 7.679191 97.784516)))"
IfcSpace,woonkamer A1-174,"MULTIPOLYGON (((17.926191 93.562516, 12.518691 93.562516, 10.865391 93.562516, 10.865391 93.575016, 10.593191 93.575016, 10.593191 95.500016, 10.865391 95.500016, 10.865391 95.512516, 11.026191 95.512516, 11.026191 95.812516, 10.865391 95.812516, 10.865391 95.825016, 10.593191 95.825016, 10.593191 96.990016, 10.865391 96.990016, 10.865391 97.002516, 11.026191 97.002516, 11.026191 97.580016, 11.864691 97.580016, 11.864691 97.807516, 13.937691 97.807516, 13.937691 97.580016, 15.314691 97.580016, 15.314691 97.807516, 17.387691 97.807516, 17.387691 97.580016, 17.926191 97.580016, 17.926191 93.562516)))"
IfcSpace,berging A1-174,"MULTIPOLYGON (((11.026191 93.492516, 12.483691 93.492516, 12.483691 90.662516, 11.026191 90.662516, 11.026191 93.492516)))"
IfcSpace,slaapkamer A1-174,"MULTIPOLYGON (((10.726191 89.392516, 10.726191 89.342516, 10.726191 88.342516, 8.151191 88.342516, 8.151191 89.462913, 7.941191 89.462913, 7.941191 89.491018, 7.656191 89.491018, 7.656191 91.564018, 7.941191 91.564018, 7.941191 91.592913, 8.151191 91.592913, 8.151191 92.608016, 8.169691 92.608016, 8.169691 92.835516, 10.242691 92.835516, 10.242691 92.608016, 10.256787 92.608016, 10.726191 92.608016, 10.726191 90.362516, 10.726191 89.392516)))"
IfcSpace,badkamer A1-174,"MULTIPOLYGON (((14.606191 88.882516, 14.606191 88.867516, 15.110721 88.867516, 15.110721 88.844747, 15.110721 88.732516, 15.110721 86.720016, 14.311191 86.720016, 14.311191 85.470016, 12.811191 85.470016, 12.811191 86.437016, 13.696191 86.437016, 13.696191 86.452016, 12.811191 86.452016, 12.811191 87.987516, 13.611191 87.987516, 13.611191 88.882516, 14.606191 88.882516)))"
IfcSpace,slaapkamer A1-174,"MULTIPOLYGON (((10.726191 85.455016, 8.151191 85.455016, 8.151191 86.012913, 7.941191 86.012913, 7.941191 86.041018, 7.656191 86.041018, 7.656191 88.114018, 7.941191 88.114018, 7.941191 88.142913, 8.151191 88.142913, 8.151191 88.272516, 10.726191 88.272516, 11.026191 88.272516, 11.026191 88.912516, 12.696191 88.912516, 12.696191 88.252516, 12.696191 88.202516, 12.696191 85.455016, 11.026191 85.455016, 11.026191 85.502516, 10.726191 85.502516, 10.726191 85.455016)))"
IfcSpace,slaapkamer A1-173,"MULTIPOLYGON (((10.726191 85.250016, 10.726191 85.202516, 11.026191 85.202516, 11.026191 85.250016, 12.696191 85.250016, 12.696191 82.502516, 12.696191 82.452516, 12.696191 81.792516, 11.026191 81.792516, 11.026191 82.432516, 10.726191 82.432516, 8.151191 82.432516, 8.151191 82.562516, 7.941191 82.562516, 7.941191 82.591018, 7.656191 82.591018, 7.656191 84.664018, 7.941191 84.664018, 7.941191 84.692516, 8.151191 84.692516, 8.151191 85.250016, 10.726191 85.250016)))"
IfcSpace,badkamer A1-173,"MULTIPOLYGON (((14.606191 81.822516, 13.611191 81.822516, 13.611191 82.717516, 12.811191 82.717516, 12.811191 84.253016, 13.696191 84.253016, 13.696191 84.268016, 12.811191 84.268016, 12.811191 85.235016, 14.311191 85.235016, 14.311191 83.985016, 15.111191 83.985016, 15.111191 81.972516, 15.111191 81.860286, 15.111191 81.837516, 14.606191 81.837516, 14.606191 81.822516)))"
IfcSpace,hal A1-173,"MULTIPOLYGON (((11.026191 81.722516, 15.126191 81.722516, 15.126191 80.342516, 13.653691 80.342516, 13.653691 78.312516, 16.576191 78.312516, 16.576191 80.042516, 17.926191 80.042516, 17.926191 77.212516, 12.553691 77.212516, 12.553691 80.342516, 11.026191 80.342516, 11.026191 81.722516)))"
IfcSpace,slaapkamer A1-173,"MULTIPOLYGON (((10.726191 81.312516, 10.726191 80.342516, 10.726191 78.097016, 10.256787 78.097016, 10.242691 78.097016, 10.242691 77.869516, 8.169691 77.869516, 8.169691 78.097016, 8.151191 78.097016, 8.151191 79.112516, 7.941191 79.112516, 7.941191 79.141018, 7.656191 79.141018, 7.656191 81.214018, 7.941191 81.214018, 7.941191 81.242516, 8.151191 81.242516, 8.151191 82.362516, 10.726191 82.362516, 10.726191 81.362516, 10.726191 81.312516)))"
IfcSpace,toilet A1-173,"MULTIPOLYGON (((13.723691 79.392516, 13.738691 79.392516, 13.738691 79.827516, 14.638691 79.827516, 14.638691 78.397516, 13.723691 78.397516, 13.723691 79.392516)))"
IfcSpace,berging A1-173,"MULTIPOLYGON (((12.483691 77.212516, 11.026191 77.212516, 11.026191 80.042516, 12.483691 80.042516, 12.483691 77.212516)))"
IfcSpace,hal A1-175,"MULTIPOLYGON (((25.126191 90.362516, 25.126191 89.342516, 25.126191 88.837516, 21.851191 88.837516, 21.851191 90.362516, 22.498691 90.362516, 22.498691 92.392516, 19.576191 92.392516, 19.576191 90.662516, 18.226191 90.662516, 18.226191 93.492516, 23.598691 93.492516, 23.598691 90.362516, 25.126191 90.362516)))"
IfcSpace,hal A1-172,"MULTIPOLYGON (((24.026191 81.722516, 25.126191 81.722516, 25.126191 77.212516, 18.226191 77.212516, 18.226191 80.042516, 19.576191 80.042516, 19.576191 78.312516, 24.026191 78.312516, 24.026191 81.722516)))"
IfcSpace,woonkamer A1-175,"MULTIPOLYGON (((25.286991 93.562516, 18.226191 93.562516, 18.226191 97.580016, 18.764691 97.580016, 18.764691 97.807516, 20.837691 97.807516, 20.837691 97.580016, 22.214691 97.580016, 22.214691 97.807516, 24.287691 97.807516, 24.287691 97.580016, 25.126191 97.580016, 25.126191 97.002516, 25.286991 97.002516, 25.286991 96.990016, 25.559191 96.990016, 25.559191 95.825016, 25.286991 95.825016, 25.286991 95.812516, 25.126191 95.812516, 25.126191 95.512516, 25.286991 95.512516, 25.286991 95.500016, 25.559191 95.500016, 25.559191 93.575016, 25.286991 93.575016, 25.286991 93.562516)))"
IfcSpace,badkamer A1-175,"MULTIPOLYGON (((23.811191 87.987516, 23.811191 86.720016, 22.911191 86.720016, 22.911191 86.527516, 21.290691 86.527516, 21.290691 87.412516, 21.275691 87.412516, 21.275691 86.527516, 20.308691 86.527516, 20.308691 88.722516, 21.916191 88.722516, 21.916191 88.737516, 22.911191 88.737516, 22.911191 87.987516, 23.811191 87.987516)))"
IfcSpace,berging A1-172,"MULTIPOLYGON (((22.916191 80.042516, 21.486191 80.042516, 21.486191 79.202516, 20.376191 79.202516, 20.376191 78.382516, 22.916191 78.382516, 22.916191 80.042516)))"
IfcSpace,slaapkamer A1-172,"MULTIPOLYGON (((25.426191 85.250016, 28.001191 85.250016, 28.001191 84.692516, 28.211191 84.692516, 28.211191 84.664018, 28.496191 84.664018, 28.496191 82.591018, 28.211191 82.591018, 28.211191 82.562516, 28.001191 82.562516, 28.001191 82.432516, 25.426191 82.432516, 25.126191 82.432516, 25.126191 81.792516, 24.026191 81.792516, 24.026191 82.355016, 24.026191 82.675016, 23.236191 82.675016, 23.236191 84.000016, 23.926191 84.000016, 23.926191 85.250016, 25.126191 85.250016, 25.126191 85.202516, 25.426191 85.202516, 25.426191 85.250016)))"
IfcSpace,berging A1-175,"MULTIPOLYGON (((23.668691 93.492516, 25.126191 93.492516, 25.126191 90.662516, 23.668691 90.662516, 23.668691 93.492516)))"
IfcSpace,toilet A1-172,"MULTIPOLYGON (((23.956191 79.392516, 23.956191 78.397516, 23.001191 78.397516, 23.001191 79.827516, 23.941191 79.827516, 23.941191 79.392516, 23.956191 79.392516)))"
IfcSpace,toilet A1-175,"MULTIPOLYGON (((22.428691 91.312516, 22.413691 91.312516, 22.413691 90.877516, 21.513691 90.877516, 21.513691 92.307516, 22.428691 92.307516, 22.428691 91.312516)))"
IfcSpace,badkamer A1-172,"MULTIPOLYGON (((23.926191 81.352516, 23.926191 80.357516, 20.996191 80.357516, 20.996191 81.401516, 21.681191 81.401516, 21.681191 81.416516, 21.141701 81.416516, 20.796191 81.416516, 20.796191 82.277516, 21.696191 82.277516, 23.911191 82.277516, 23.911191 81.352516, 23.926191 81.352516)))"
IfcSpace,hal A1-174,"MULTIPOLYGON (((15.126191 88.982516, 14.606191 88.982516, 11.026191 88.982516, 11.026191 90.362516, 12.553691 90.362516, 12.553691 93.492516, 17.926191 93.492516, 17.926191 90.662516, 16.576191 90.662516, 16.576191 92.392516, 13.653691 92.392516, 13.653691 90.362516, 15.126191 90.362516, 15.126191 88.982516)))"
IfcSpace,berging A1-173,"MULTIPOLYGON (((16.421191 81.722516, 16.421191 80.342516, 15.196191 80.342516, 15.196191 81.720921, 15.196191 81.722516, 15.271701 81.722516, 15.376191 81.722516, 16.421191 81.722516)))"
IfcSpace,berging A1-174,"MULTIPOLYGON (((16.421191 90.362516, 16.421191 88.982516, 15.376191 88.982516, 15.27123 88.982516, 15.196191 88.982516, 15.196191 88.984112, 15.196191 90.362516, 16.421191 90.362516)))"
IfcSpace,woonkamer A1-172,"MULTIPOLYGON (((18.226191 77.142516, 25.126191 77.142516, 25.286991 77.142516, 25.286991 77.130016, 25.559191 77.130016, 25.559191 75.205016, 25.286991 75.205016, 25.286991 75.192516, 25.126191 75.192516, 25.126191 74.892516, 25.286991 74.892516, 25.286991 74.880016, 25.559191 74.880016, 25.559191 73.715016, 25.286991 73.715016, 25.286991 73.702516, 25.126191 73.702516, 25.126191 73.125016, 24.287691 73.125016, 24.287691 72.897516, 22.214691 72.897516, 22.214691 73.125016, 20.837691 73.125016, 20.837691 72.897516, 18.764691 72.897516, 18.764691 73.125016, 18.226191 73.125016, 18.226191 77.142516)))"
IfcSpace,slaapkamer A1-172,"MULTIPOLYGON (((25.426191 81.312516, 25.426191 81.362516, 25.426191 82.362516, 28.001191 82.362516, 28.001191 81.242516, 28.211191 81.242516, 28.211191 81.214018, 28.496191 81.214018, 28.496191 79.141018, 28.211191 79.141018, 28.211191 79.112516, 28.001191 79.112516, 28.001191 78.097016, 27.982691 78.097016, 27.982691 77.869516, 25.909691 77.869516, 25.909691 78.097016, 25.895596 78.097016, 25.426191 78.097016, 25.426191 80.342516, 25.426191 81.312516)))"
IfcSpace,slaapkamer A1-175,"MULTIPOLYGON (((25.426191 85.455016, 25.426191 85.502516, 25.126191 85.502516, 25.126191 85.455016, 23.926191 85.455016, 23.926191 86.665016, 23.926191 86.705016, 23.926191 88.202516, 23.926191 88.252516, 23.926191 88.767516, 25.126191 88.767516, 25.126191 88.272516, 25.426191 88.272516, 28.001191 88.272516, 28.001191 88.142913, 28.211191 88.142913, 28.211191 88.114018, 28.496191 88.114018, 28.496191 86.041018, 28.211191 86.041018, 28.211191 86.012913, 28.001191 86.012913, 28.001191 85.455016, 25.426191 85.455016)))"
IfcSpace,slaapkamer A1-175,"MULTIPOLYGON (((25.426191 89.392516, 25.426191 90.362516, 25.426191 92.608016, 25.895596 92.608016, 25.909691 92.608016, 25.909691 92.835516, 27.982691 92.835516, 27.982691 92.608016, 28.001191 92.608016, 28.001191 91.592913, 28.211191 91.592913, 28.211191 91.564018, 28.496191 91.564018, 28.496191 89.491018, 28.211191 89.491018, 28.211191 89.462913, 28.001191 89.462913, 28.001191 88.342516, 25.426191 88.342516, 25.426191 89.342516, 25.426191 89.392516)))"
IfcSpace,woonkamer A1-173,"MULTIPOLYGON (((10.865391 77.142516, 17.926191 77.142516, 17.926191 73.125016, 17.387691 73.125016, 17.387691 72.897516, 15.314691 72.897516, 15.314691 73.125016, 13.937691 73.125016, 13.937691 72.897516, 11.864691 72.897516, 11.864691 73.125016, 11.026191 73.125016, 11.026191 73.702516, 10.865391 73.702516, 10.865391 73.715016, 10.593191 73.715016, 10.593191 74.880016, 10.865391 74.880016, 10.865391 74.892516, 11.026191 74.892516, 11.026191 75.192516, 10.865391 75.192516, 10.865391 75.205016, 10.593191 75.205016, 10.593191 77.130016, 10.865391 77.130016, 10.865391 77.142516)))"
IfcSpace,schacht W,"MULTIPOLYGON (((20.116191 79.282516, 20.116191 79.340526, 20.116191 80.042516, 21.406191 80.042516, 21.406191 79.282516, 20.377787 79.282516, 20.116191 79.282516)))"
