type,name,geometry
IfcSpace,Area:22645728,"MULTIPOLYGON (((7.581191 77.792516, 10.516191 77.792516, 10.516191 72.832516, 7.581191 72.832516, 7.581191 77.792516)))"
IfcSpace,Area:22645725,"MULTIPOLYGON (((10.516191 92.912516, 7.581191 92.912516, 7.581191 97.872516, 10.516191 97.872516, 10.516191 92.912516)))"
IfcSpace,Area:22645726,"MULTIPOLYGON (((28.571191 92.912516, 25.636191 92.912516, 25.636191 97.872516, 28.571191 97.872516, 28.571191 92.912516)))"
IfcSpace,Area:22645727,"MULTIPOLYGON (((25.636191 72.832516, 25.636191 77.792516, 28.571191 77.792516, 28.571191 72.832516, 25.636191 72.832516)))"
IfcSpace,Area:22138733,"MULTIPOLYGON (((7.581191 92.912516, 10.516191 92.912516, 10.516191 97.872516, 10.516191 97.884516, 25.636191 97.884516, 25.636191 97.872516, 25.636191 92.912516, 28.571191 92.912516, 28.573191 92.912516, 28.573191 77.792516, 28.571191 77.792516, 25.636191 77.792516, 25.636191 72.832516, 25.636191 72.820516, 10.516191 72.820516, 10.516191 72.832516, 10.516191 77.792516, 7.581191 77.792516, 7.579191 77.792516, 7.579191 92.912516, 7.581191 92.912516)))"
IfcSpace,esco A1-176,"MULTIPOLYGON (((19.646191 78.382516, 19.646191 79.152516, 19.923182 79.152516, 20.036191 79.152516, 20.036191 78.382516, 19.646191 78.382516)))"
IfcSpace,meterkast A1-176,"MULTIPOLYGON (((19.646191 79.222516, 19.646191 80.042516, 20.036191 80.042516, 20.036191 79.222516, 19.646191 79.222516)))"
IfcSpace,meterkast A1-177,"MULTIPOLYGON (((19.646191 90.662516, 19.646191 91.482516, 20.036191 91.482516, 20.036191 90.662516, 19.646191 90.662516)))"
IfcSpace,esco A1-177,"MULTIPOLYGON (((19.646191 91.552516, 19.646191 92.322516, 20.036191 92.322516, 20.036191 91.552516, 19.923182 91.552516, 19.646191 91.552516)))"
IfcSpace,technische ruimte A1-177,"MULTIPOLYGON (((21.416191 91.502516, 20.376191 91.502516, 20.376191 92.322516, 21.416191 92.322516, 21.416191 91.502516)))"
IfcSpace,berging A1-176,"MULTIPOLYGON (((18.071191 81.722516, 18.071191 80.342516, 16.721191 80.342516, 15.196191 80.342516, 15.196191 81.722516, 15.263961 81.722516, 15.376191 81.722516, 16.498691 81.722516, 17.926191 81.722516, 18.071191 81.722516)))"
IfcSpace,hal A1-176,"MULTIPOLYGON (((17.925639 78.312516, 18.226191 78.312516, 18.226191 80.042516, 19.431191 80.042516, 19.576191 80.042516, 19.576191 78.312516, 23.996191 78.312516, 23.996191 80.042516, 25.126191 80.042516, 25.126191 77.212516, 14.736191 77.212516, 14.736191 79.202516, 16.016191 79.202516, 16.016191 78.312516, 17.925639 78.312516)))"
IfcSpace,berging A1-176,"MULTIPOLYGON (((22.836191 80.042516, 21.486191 80.042516, 21.486191 79.202516, 20.376191 79.202516, 20.376191 78.382516, 22.836191 78.382516, 22.836191 80.042516)))"
IfcSpace,toilet A1-176,"MULTIPOLYGON (((23.911191 78.382516, 22.921191 78.382516, 22.921191 79.827516, 23.911191 79.827516, 23.911191 78.382516)))"
IfcSpace,badkamer A1-176,"MULTIPOLYGON (((17.138691 78.412516, 16.143691 78.412516, 16.143691 80.027516, 16.929191 80.027516, 16.929191 79.142516, 16.944191 79.142516, 16.944191 80.027516, 17.911191 80.027516, 17.911191 78.450286, 17.911191 78.427516, 17.138691 78.427516, 17.138691 78.412516)))"
IfcSpace,slaapkamer A1-176,"MULTIPOLYGON (((21.561191 73.125016, 21.561191 77.142516, 25.286991 77.142516, 25.286991 77.130016, 25.559191 77.130016, 25.559191 75.205016, 25.286991 75.205016, 25.286991 75.192516, 25.126191 75.192516, 25.126191 74.892516, 25.286991 74.892516, 25.286991 74.880016, 25.559191 74.880016, 25.559191 73.715016, 25.286991 73.715016, 25.286991 73.702516, 25.126191 73.702516, 25.126191 73.125016, 24.287691 73.125016, 24.287691 72.897516, 22.214691 72.897516, 22.214691 73.125016, 21.561191 73.125016)))"
IfcSpace,slaapkamer A1-176,"MULTIPOLYGON (((21.491191 77.142516, 21.491191 73.125016, 20.851787 73.125016, 20.837691 73.125016, 20.837691 72.897516, 18.764691 72.897516, 18.764691 73.125016, 18.750596 73.125016, 18.226191 73.125016, 18.226191 77.142516, 21.491191 77.142516)))"
