type,name,geometry
IfcSpace,Area:23379379,"MULTIPOLYGON (((47.916191 46.502516, 47.916191 44.752516, 41.636191 44.752516, 41.636191 46.502516, 47.916191 46.502516)))"
IfcSpace,Area:23379380,"MULTIPOLYGON (((19.636191 44.752516, 19.636191 46.502516, 25.916191 46.502516, 25.916191 44.752516, 19.636191 44.752516)))"
IfcSpace,Area:23379377,"MULTIPOLYGON (((19.636191 60.852516, 19.636191 62.602516, 25.916191 62.602516, 25.916191 60.852516, 19.636191 60.852516)))"
IfcSpace,Area:23379378,"MULTIPOLYGON (((47.916191 62.602516, 47.916191 60.852516, 41.636191 60.852516, 41.636191 62.602516, 47.916191 62.602516)))"
IfcSpace,Area:23379374,"MULTIPOLYGON (((15.116191 45.642516, 15.116191 61.712516, 14.806191 61.712516, 14.806191 62.912516, 16.006191 62.912516, 16.006191 62.602516, 19.636191 62.602516, 19.636191 60.852516, 25.916191 60.852516, 25.916191 62.602516, 41.636191 62.602516, 41.636191 60.852516, 47.916191 60.852516, 47.916191 62.602516, 51.546191 62.602516, 51.546191 62.912516, 52.746191 62.912516, 52.746191 61.712516, 52.436191 61.712516, 52.436191 45.642516, 52.746191 45.642516, 52.746191 44.442516, 51.546191 44.442516, 51.546191 44.752516, 47.916191 44.752516, 47.916191 46.502516, 41.636191 46.502516, 41.636191 44.752516, 25.916191 44.752516, 25.916191 46.502516, 19.636191 46.502516, 19.636191 44.752516, 16.006191 44.752516, 16.006191 44.442516, 14.806191 44.442516, 14.806191 45.642516, 15.116191 45.642516)))"
IfcSpace,meterkast A2-15,"MULTIPOLYGON (((45.741191 57.357516, 46.131191 57.357516, 46.131191 56.507516, 46.036191 56.507516, 45.741191 56.507516, 45.741191 57.357516)))"
IfcSpace,esco A2-15,"MULTIPOLYGON (((46.001191 56.437516, 46.001191 55.577516, 45.551191 55.577516, 45.551191 55.579747, 45.551191 55.855286, 45.551191 56.437516, 45.706191 56.437516, 46.001191 56.437516)))"
IfcSpace,meterkast A2-16,"MULTIPOLYGON (((46.131191 49.997516, 45.741191 49.997516, 45.741191 50.847516, 46.036191 50.847516, 46.131191 50.847516, 46.131191 49.997516)))"
IfcSpace,esco A2-16,"MULTIPOLYGON (((46.001191 51.777516, 46.001191 50.917516, 45.706191 50.917516, 45.551191 50.917516, 45.551191 51.499747, 45.551191 51.775286, 45.551191 51.777516, 46.001191 51.777516)))"
IfcSpace,berging A2-9,"MULTIPOLYGON (((40.288961 52.027501, 40.801191 52.027501, 40.801191 50.587516, 40.531191 50.587516, 40.531191 49.887516, 39.071191 49.887516, 39.071191 50.552516, 39.071191 51.672501, 39.071191 52.027501, 40.013422 52.027501, 40.288961 52.027501)))"
IfcSpace,esco A2-10,"MULTIPOLYGON (((23.446191 50.982516, 22.951191 50.982516, 22.951191 51.875016, 23.446191 51.875016, 23.446191 50.982516)))"
IfcSpace,berging A2-14,"MULTIPOLYGON (((36.641191 56.507516, 36.601191 56.507516, 36.599596 56.507516, 36.481191 56.507516, 36.481191 57.357516, 37.301191 57.357516, 37.301191 57.177516, 37.301191 56.507516, 36.641191 56.507516)))"
IfcSpace,esco A2-13,"MULTIPOLYGON (((23.526191 55.637516, 23.526191 56.707516, 23.901191 56.707516, 23.901191 55.637516, 23.526191 55.637516)))"
IfcSpace,wtw A2-12,"MULTIPOLYGON (((22.126191 54.582516, 21.726191 54.582516, 21.726191 55.480016, 22.126191 55.480016, 22.126191 54.582516)))"
IfcSpace,wtw A2-11,"MULTIPOLYGON (((21.726191 52.772516, 22.126191 52.772516, 22.126191 51.875016, 21.726191 51.875016, 21.726191 52.772516)))"
IfcSpace,meterkast A2-12,"MULTIPOLYGON (((22.701191 56.452516, 22.311191 56.452516, 22.311191 56.570526, 22.311191 57.530016, 22.701191 57.530016, 22.701191 56.452516)))"
IfcSpace,esco A2-11,"MULTIPOLYGON (((21.726191 50.972516, 21.726191 51.875016, 22.126191 51.875016, 22.126191 50.972516, 22.123182 50.972516, 21.726191 50.972516)))"
IfcSpace,meterkast A2-11,"MULTIPOLYGON (((22.311191 50.902516, 22.701191 50.902516, 22.701191 49.825016, 22.311191 49.825016, 22.311191 50.784507, 22.311191 50.902516)))"
IfcSpace,esco A2-12,"MULTIPOLYGON (((21.726191 55.480016, 21.726191 56.382516, 22.123182 56.382516, 22.126191 56.382516, 22.126191 55.480016, 21.726191 55.480016)))"
IfcSpace,meterkast A2-14,"MULTIPOLYGON (((36.411191 56.507516, 36.116191 56.507516, 36.021191 56.507516, 36.021191 57.357516, 36.411191 57.357516, 36.411191 56.507516)))"
IfcSpace,esco A2-14,"MULTIPOLYGON (((36.601191 55.579747, 36.601191 55.577516, 36.151191 55.577516, 36.151191 56.437516, 36.446191 56.437516, 36.601191 56.437516, 36.601191 55.855286, 36.601191 55.579747)))"
IfcSpace,cera A2-14,"MULTIPOLYGON (((36.601191 54.582516, 36.151191 54.582516, 36.151191 55.577516, 36.601191 55.577516, 36.601191 54.582516)))"
IfcSpace,meterkast A2-13,"MULTIPOLYGON (((31.746191 57.797516, 32.146191 57.797516, 32.146191 56.917516, 31.746191 56.917516, 31.746191 57.797516)))"
IfcSpace,meterkast A2-10,"MULTIPOLYGON (((31.973691 51.922516, 31.973691 52.772516, 32.378691 52.772516, 32.378691 51.922516, 31.973691 51.922516)))"
IfcSpace,meterkast A2-9,"MULTIPOLYGON (((37.551191 52.772516, 37.941191 52.772516, 37.941191 51.707501, 37.551191 51.707501, 37.551191 52.527501, 37.551191 52.772516)))"
IfcSpace,cera A2-16,"MULTIPOLYGON (((46.001191 52.772516, 46.001191 51.777516, 45.551191 51.777516, 45.551191 52.772516, 45.651191 52.772516, 46.001191 52.772516)))"
IfcSpace,cera A2-15,"MULTIPOLYGON (((46.001191 55.577516, 46.001191 54.582516, 45.651191 54.582516, 45.551191 54.582516, 45.551191 55.577516, 46.001191 55.577516)))"
IfcSpace,loggia A2-11,"MULTIPOLYGON (((22.522191 46.552516, 22.522191 45.015016, 19.611191 45.015016, 19.611191 46.510516, 19.611191 46.552516, 22.522191 46.552516)))"
IfcSpace,toilet A2-15,"MULTIPOLYGON (((47.391191 56.132516, 47.391191 57.122516, 48.778691 57.122516, 48.778691 56.132516, 47.391191 56.132516)))"
IfcSpace,slaapkamer A2-16,"MULTIPOLYGON (((51.901191 50.217516, 49.063691 50.217516, 49.063691 51.287516, 49.063691 51.575921, 49.063691 51.647516, 49.063691 53.575016, 51.901191 53.575016, 51.901191 53.227516, 52.126191 53.227516, 52.126191 53.205016, 52.367791 53.205016, 52.367791 53.098507, 52.367791 51.506526, 52.367791 51.400016, 52.126191 51.400016, 52.126191 51.377516, 51.901191 51.377516, 51.901191 50.217516)))"
IfcSpace,berging A2-13,"MULTIPOLYGON (((23.526191 54.582516, 23.526191 55.342247, 23.526191 55.567516, 23.971191 55.567516, 23.971191 56.707516, 25.401191 56.707516, 25.401191 54.582516, 23.526191 54.582516)))"
