type,name,geometry
IfcSpace,Area:22614772,"MULTIPOLYGON (((29.693691 50.197566, 29.693691 45.634966, 27.693691 45.634966, 27.693691 50.197566, 29.693691 50.197566)))"
IfcSpace,Area:22614744,"MULTIPOLYGON (((29.693691 61.720066, 29.693691 57.157066, 27.693691 57.157066, 27.693691 61.720066, 29.693691 61.720066)))"
IfcSpace,Area:22614763,"MULTIPOLYGON (((29.693691 56.047516, 29.693691 51.307516, 27.693691 51.307516, 27.693691 56.047516, 29.693691 56.047516)))"
IfcSpace,Area:22070269,"MULTIPOLYGON (((29.693691 62.647516, 52.458691 62.647516, 52.458691 44.722516, 29.693691 44.722516, 29.693691 45.634966, 29.693691 50.197566, 29.693691 51.307516, 29.693691 56.047516, 29.693691 57.157066, 29.693691 61.720066, 29.693691 62.647516)))"
IfcSpace,cera A2-26,"MULTIPOLYGON (((36.601191 55.577516, 36.601191 54.582516, 36.151191 54.582516, 36.151191 55.577516, 36.601191 55.577516)))"
IfcSpace,esco A2-26,"MULTIPOLYGON (((36.601191 55.579747, 36.601191 55.577516, 36.151191 55.577516, 36.151191 56.437516, 36.446191 56.437516, 36.601191 56.437516, 36.601191 55.855286, 36.601191 55.579747)))"
IfcSpace,berging A2-26,"MULTIPOLYGON (((38.723691 58.627516, 40.973691 58.627516, 40.973691 57.427516, 38.723691 57.427516, 38.723691 58.627516)))"
IfcSpace,meterkast A2-29,"MULTIPOLYGON (((46.131191 50.847516, 46.131191 49.887516, 45.741191 49.887516, 45.741191 50.847516, 46.036191 50.847516, 46.131191 50.847516)))"
IfcSpace,esco A2-29,"MULTIPOLYGON (((45.551191 50.917516, 45.551191 51.499747, 45.551191 51.775286, 45.551191 51.777516, 46.001191 51.777516, 46.001191 50.917516, 45.706191 50.917516, 45.551191 50.917516)))"
IfcSpace,berging A2-25,"MULTIPOLYGON (((38.951191 52.027501, 40.013422 52.027501, 40.288961 52.027501, 40.801191 52.027501, 40.801191 50.640001, 40.561191 50.640001, 40.561191 50.342516, 38.951191 50.342516, 38.951191 51.672501, 38.951191 52.027501)))"
IfcSpace,berging A2-25,"MULTIPOLYGON (((38.881191 52.067501, 38.881191 52.027501, 38.881191 52.025906, 38.881191 51.707501, 38.011191 51.707501, 38.011191 52.772516, 38.881191 52.772516, 38.881191 52.067501)))"
IfcSpace,cera A2-27,"MULTIPOLYGON (((45.551191 54.582516, 45.551191 55.577516, 46.001191 55.577516, 46.001191 54.582516, 45.651191 54.582516, 45.551191 54.582516)))"
IfcSpace,meterkast A2-27,"MULTIPOLYGON (((46.131191 57.357516, 46.131191 56.507516, 46.036191 56.507516, 45.741191 56.507516, 45.741191 57.357516, 46.131191 57.357516)))"
IfcSpace,berging A2-28,"MULTIPOLYGON (((49.096191 55.942516, 49.096191 55.765016, 49.096191 50.015016, 47.526191 50.015016, 47.526191 48.177516, 51.901191 48.177516, 51.901191 48.532516, 52.151191 48.532516, 52.151191 50.182516, 51.901191 50.182516, 51.901191 51.412516, 52.151191 51.412516, 52.151191 53.062516, 51.901191 53.062516, 51.901191 54.292516, 52.151191 54.292516, 52.151191 55.942516, 49.096191 55.942516)))"
IfcSpace,meterkast A2-28,"MULTIPOLYGON (((49.026191 53.120016, 49.026191 52.740016, 48.236691 52.740016, 48.236691 53.120016, 49.026191 53.120016)))"
IfcSpace,meterkast A2-26,"MULTIPOLYGON (((36.411191 56.507516, 36.116191 56.507516, 36.021191 56.507516, 36.021191 57.357516, 36.411191 57.357516, 36.411191 56.507516)))"
