type,name,geometry
IfcSpace,Area:23379932,"MULTIPOLYGON (((52.471191 45.647516, 52.471191 50.187516, 54.471191 50.187516, 54.471191 45.647516, 52.471191 45.647516)))"
IfcSpace,Area:23379929,"MULTIPOLYGON (((29.681191 50.187516, 29.681191 45.647516, 27.681191 45.647516, 27.681191 50.187516, 29.681191 50.187516)))"
IfcSpace,Area:23379930,"MULTIPOLYGON (((38.016191 44.710516, 44.166191 44.710516, 44.166191 42.718016, 38.016191 42.718016, 38.016191 44.710516)))"
IfcSpace,Area:23379931,"MULTIPOLYGON (((52.471191 57.167516, 52.471191 61.707516, 54.471191 61.707516, 54.471191 57.167516, 52.471191 57.167516)))"
IfcSpace,Area:23379926,"MULTIPOLYGON (((29.681191 62.644516, 52.471191 62.644516, 52.471191 61.707516, 52.471191 57.167516, 52.471191 50.187516, 52.471191 45.647516, 52.471191 44.710516, 44.166191 44.710516, 38.016191 44.710516, 29.681191 44.710516, 29.681191 45.647516, 29.681191 50.187516, 29.681191 57.167516, 29.681191 61.707516, 29.681191 62.644516)))"
IfcSpace,Area:23379928,"MULTIPOLYGON (((29.681191 61.707516, 29.681191 57.167516, 27.681191 57.167516, 27.681191 61.707516, 29.681191 61.707516)))"
IfcSpace,meterkast A2-72,"MULTIPOLYGON (((36.411191 56.507516, 36.116191 56.507516, 36.021191 56.507516, 36.021191 57.357516, 36.411191 57.357516, 36.411191 56.507516)))"
IfcSpace,esco A2-72,"MULTIPOLYGON (((36.601191 55.579747, 36.601191 55.577516, 36.151191 55.577516, 36.151191 56.437516, 36.446191 56.437516, 36.601191 56.437516, 36.601191 55.855286, 36.601191 55.579747)))"
IfcSpace,meterkast A2-73,"MULTIPOLYGON (((46.036191 56.507516, 45.741191 56.507516, 45.741191 57.357516, 46.131191 57.357516, 46.131191 56.507516, 46.036191 56.507516)))"
IfcSpace,cera A2-73,"MULTIPOLYGON (((45.551191 54.582516, 45.551191 55.577516, 46.001191 55.577516, 46.001191 54.582516, 45.651191 54.582516, 45.551191 54.582516)))"
IfcSpace,esco A2-74,"MULTIPOLYGON (((45.551191 51.775286, 45.551191 51.777516, 46.001191 51.777516, 46.001191 50.917516, 45.706191 50.917516, 45.551191 50.917516, 45.551191 51.499747, 45.551191 51.775286)))"
IfcSpace,berging A2-70,"MULTIPOLYGON (((38.011191 51.707501, 38.011191 52.772516, 39.001191 52.772516, 39.001191 52.067501, 39.001191 52.027501, 39.001191 52.025906, 39.001191 51.707501, 38.011191 51.707501)))"
IfcSpace,esco A2-71,"MULTIPOLYGON (((33.476191 53.575016, 33.826191 53.575016, 33.826191 53.060286, 33.826191 52.805016, 33.476191 52.805016, 33.476191 53.575016)))"
IfcSpace,meterkast A2-70,"MULTIPOLYGON (((37.941191 52.772516, 37.941191 51.707501, 37.551191 51.707501, 37.551191 52.527501, 37.551191 52.772516, 37.941191 52.772516)))"
IfcSpace,meterkast A2-74,"MULTIPOLYGON (((46.036191 50.847516, 46.131191 50.847516, 46.131191 49.997516, 45.741191 49.997516, 45.741191 50.847516, 46.036191 50.847516)))"
IfcSpace,meterkast A2-71,"MULTIPOLYGON (((33.866191 51.872516, 34.506191 51.872516, 34.506191 51.482516, 33.656191 51.482516, 33.656191 51.872516, 33.824596 51.872516, 33.826191 51.872516, 33.866191 51.872516)))"
IfcSpace,technische ruimte A2-72,"MULTIPOLYGON (((36.641191 56.507516, 36.601191 56.507516, 36.599596 56.507516, 36.481191 56.507516, 36.481191 57.357516, 37.301191 57.357516, 37.301191 56.507516, 36.641191 56.507516)))"
IfcSpace,berging A2-73,"MULTIPOLYGON (((45.511191 56.507516, 44.851191 56.507516, 44.851191 57.357516, 45.671191 57.357516, 45.671191 56.507516, 45.552787 56.507516, 45.551191 56.507516, 45.511191 56.507516)))"
