type,name,geometry
IfcSpace,Area:23512633,"MULTIPOLYGON (((15.166191 90.952516, 18.076191 90.952516, 18.076191 90.512516, 15.166191 90.512516, 15.166191 90.952516)))"
IfcSpace,Area:23512632,"MULTIPOLYGON (((15.166191 80.192516, 18.076191 80.192516, 18.076191 79.752516, 15.166191 79.752516, 15.166191 80.192516)))"
IfcSpace,Area:21802105,"MULTIPOLYGON (((63.886191 92.292516, 87.836191 92.292516, 87.836191 62.712516, 63.736191 62.712516, 63.736191 81.078016, 63.886191 81.078016, 63.886191 92.292516)))"
IfcSpace,Area:20847506,"MULTIPOLYGON (((23.001191 88.920016, 23.001191 82.502516, 21.026191 82.502516, 21.026191 80.192516, 20.226191 80.192516, 20.226191 88.920016, 23.001191 88.920016)))"
IfcSpace,Area:20847508,"MULTIPOLYGON (((18.076191 81.847516, 15.251191 81.847516, 15.251191 88.857516, 18.076191 88.857516, 18.076191 81.847516)))"
IfcSpace,Area:20847413,"MULTIPOLYGON (((30.514691 81.147516, 30.514691 99.457516, 62.461191 99.457516, 62.461191 99.757516, 63.331191 99.757516, 63.331191 98.227516, 63.031191 98.227516, 63.031191 95.467516, 63.331191 95.467516, 63.331191 92.443016, 63.541191 92.443016, 63.541191 92.262516, 63.741191 92.262516, 63.741191 81.147516, 30.691191 81.147516, 30.514691 81.147516)))"
IfcSpace,Area:20847504,"MULTIPOLYGON (((30.514691 99.457516, 30.514691 81.147516, 30.691191 81.147516, 30.691191 71.247516, 3.911191 71.247516, 3.911191 99.457516, 30.514691 99.457516)), ((18.076191 80.192516, 15.166191 80.192516, 15.166191 79.752516, 18.076191 79.752516, 18.076191 80.192516)), ((18.076191 90.952516, 15.166191 90.952516, 15.166191 90.512516, 18.076191 90.512516, 18.076191 90.952516)), ((23.001191 82.502516, 23.001191 88.920016, 20.226191 88.920016, 20.226191 80.192516, 21.026191 80.192516, 21.026191 82.502516, 23.001191 82.502516)), ((15.251191 81.847516, 18.076191 81.847516, 18.076191 88.857516, 15.251191 88.857516, 15.251191 81.847516)))"
IfcSpace,berging B2-34,"MULTIPOLYGON (((68.081191 68.957516, 68.081191 69.697516, 68.811191 69.697516, 68.811191 69.460526, 68.811191 69.347516, 68.811191 69.307516, 68.811191 68.957516, 68.081191 68.957516)))"
IfcSpace,slaapkamer B2-34,"MULTIPOLYGON (((64.136191 68.742516, 66.891191 68.742516, 66.891191 65.662516, 64.136191 65.662516, 64.136191 66.247516, 63.806191 66.277516, 63.806191 68.127516, 64.136191 68.157516, 64.136191 68.742516)))"
IfcSpace,meterkast B2-28,"MULTIPOLYGON (((83.241191 83.577516, 83.241191 83.967516, 84.091191 83.967516, 84.091191 83.577516, 83.241191 83.577516)))"
