type,name,geometry
IfcSpace,Area:23377427,"MULTIPOLYGON (((63.886191 92.292516, 87.836191 92.292516, 87.836191 62.712516, 63.736191 62.712516, 63.736191 81.078016, 63.886191 81.078016, 63.886191 92.266016, 63.886191 92.284016, 63.886191 92.292516)))"
IfcSpace,Area:22643622,"MULTIPOLYGON (((30.540691 97.884516, 5.579191 97.884516, 5.579191 71.220516, 4.118691 71.220516, 4.118691 99.251016, 30.540691 99.251016, 30.540691 97.884516)))"
IfcSpace,Area:22643721,"MULTIPOLYGON (((35.511191 85.039516, 35.511191 81.242516, 30.573191 81.242516, 30.573191 85.039516, 35.511191 85.039516)))"
IfcSpace,Area:22606719,"MULTIPOLYGON (((21.026191 82.502516, 23.001191 82.502516, 23.001191 80.192516, 21.026191 80.192516, 21.026191 82.502516)))"
IfcSpace,Area:20844437,"MULTIPOLYGON (((36.381191 99.457516, 62.461191 99.457516, 62.461191 99.757516, 63.331191 99.757516, 63.331191 98.227516, 63.031191 98.227516, 63.031191 95.467516, 63.331191 95.467516, 63.331191 92.443016, 63.541191 92.443016, 63.541191 92.275016, 63.741191 92.275016, 63.741191 81.147516, 36.381191 81.147516, 36.381191 80.847516, 35.511191 80.847516, 35.511191 81.242516, 35.511191 85.039516, 35.511191 99.757516, 36.381191 99.757516, 36.381191 99.457516)), ((41.026191 92.622516, 36.171191 92.622516, 36.171191 87.982516, 41.026191 87.982516, 41.026191 92.622516)))"
IfcSpace,Area:20844486,"MULTIPOLYGON (((30.573191 71.220516, 5.579191 71.220516, 5.579191 97.884516, 30.540691 97.884516, 30.573191 97.884516, 30.573191 85.039516, 30.573191 81.242516, 30.573191 71.220516)), ((23.001191 82.502516, 21.026191 82.502516, 21.026191 80.192516, 23.001191 80.192516, 23.001191 82.502516)))"
IfcSpace,K2.SDS2.5,"MULTIPOLYGON (((35.501191 51.767516, 34.093691 51.767516, 34.093691 52.757516, 35.501191 52.757516, 35.501191 51.767516)))"
IfcSpace,meterkast A2-19,"MULTIPOLYGON (((22.311191 50.902516, 22.701191 50.902516, 22.701191 49.825016, 22.311191 49.825016, 22.311191 50.784507, 22.311191 50.902516)))"
IfcSpace,slaapkamer A1-1,"MULTIPOLYGON (((26.596191 79.112516, 26.596191 82.152516, 30.001191 82.152516, 30.001191 81.242119, 30.211191 81.242119, 30.211191 81.214018, 30.496191 81.214018, 30.496191 79.141018, 30.211191 79.141018, 30.211191 79.112119, 30.001191 79.112119, 26.596191 79.112516)))"
IfcSpace,berging B2-42,"MULTIPOLYGON (((81.751191 77.107516, 81.751191 75.947516, 80.911191 75.947516, 80.911191 77.107516, 81.751191 77.107516)))"
IfcSpace,berging B2-41,"MULTIPOLYGON (((81.751191 79.057516, 81.751191 77.897516, 80.911191 77.897516, 80.911191 79.057516, 81.751191 79.057516)))"
IfcSpace,berging B2-37,"MULTIPOLYGON (((66.978691 86.922516, 66.978691 88.012516, 67.641191 88.012516, 67.641191 86.922516, 66.978691 86.922516)))"
IfcSpace,slaapkamer B2-46,"MULTIPOLYGON (((64.136191 68.742516, 66.891191 68.742516, 66.891191 65.662516, 64.136191 65.662516, 64.136191 66.247516, 63.806191 66.277516, 63.806191 68.127516, 64.136191 68.157516, 64.136191 68.742516)))"
IfcSpace,meterkast B2-46,"MULTIPOLYGON (((68.331191 71.037516, 67.481191 71.037516, 67.481191 71.427516, 68.331191 71.427516, 68.331191 71.037516)))"
IfcSpace,berging B2-47,"MULTIPOLYGON (((70.661191 75.947516, 69.821191 75.947516, 69.821191 77.107516, 70.661191 77.107516, 70.661191 75.947516)))"
