type,name,geometry
IfcSpace,Area:22138932,"MULTIPOLYGON (((63.736191 92.292516, 87.836191 92.292516, 87.836191 62.712516, 63.736191 62.712516, 63.736191 92.292516)))"
IfcSpace,berging B2-49,"MULTIPOLYGON (((66.978691 86.922516, 66.978691 88.012516, 67.641191 88.012516, 67.641191 86.922516, 66.978691 86.922516)))"
IfcSpace,cera A2-26,"MULTIPOLYGON (((36.601191 55.577516, 36.601191 54.582516, 36.151191 54.582516, 36.151191 55.577516, 36.601191 55.577516)))"
IfcSpace,esco A2-26,"MULTIPOLYGON (((36.601191 55.579747, 36.601191 55.577516, 36.151191 55.577516, 36.151191 56.437516, 36.446191 56.437516, 36.601191 56.437516, 36.601191 55.855286, 36.601191 55.579747)))"
IfcSpace,berging A2-26,"MULTIPOLYGON (((38.723691 58.627516, 40.973691 58.627516, 40.973691 57.427516, 38.723691 57.427516, 38.723691 58.627516)))"
IfcSpace,meterkast A2-29,"MULTIPOLYGON (((46.131191 50.847516, 46.131191 49.887516, 45.741191 49.887516, 45.741191 50.847516, 46.036191 50.847516, 46.131191 50.847516)))"
IfcSpace,esco A2-29,"MULTIPOLYGON (((45.551191 50.917516, 45.551191 51.499747, 45.551191 51.775286, 45.551191 51.777516, 46.001191 51.777516, 46.001191 50.917516, 45.706191 50.917516, 45.551191 50.917516)))"
IfcSpace,berging A2-25,"MULTIPOLYGON (((38.951191 52.027501, 40.013422 52.027501, 40.288961 52.027501, 40.801191 52.027501, 40.801191 50.640001, 40.561191 50.640001, 40.561191 50.342516, 38.951191 50.342516, 38.951191 51.672501, 38.951191 52.027501)))"
IfcSpace,berging A2-25,"MULTIPOLYGON (((38.881191 52.067501, 38.881191 52.027501, 38.881191 52.025906, 38.881191 51.707501, 38.011191 51.707501, 38.011191 52.772516, 38.881191 52.772516, 38.881191 52.067501)))"
IfcSpace,berging B2-48,"MULTIPOLYGON (((69.821191 77.897516, 69.821191 79.057516, 70.661191 79.057516, 70.661191 77.897516, 69.821191 77.897516)))"
IfcSpace,berging B2-53,"MULTIPOLYGON (((81.751191 79.057516, 81.751191 77.897516, 80.911191 77.897516, 80.911191 79.057516, 81.751191 79.057516)))"
IfcSpace,berging B2-54,"MULTIPOLYGON (((81.751191 77.107516, 81.751191 75.947516, 80.911191 75.947516, 80.911191 77.107516, 81.751191 77.107516)))"
IfcSpace,berging B2-55,"MULTIPOLYGON (((84.593691 68.082516, 84.593691 66.992516, 83.931191 66.992516, 83.931191 68.082516, 84.593691 68.082516)))"
IfcSpace,berging B2-58,"MULTIPOLYGON (((66.978691 66.992516, 66.978691 68.082516, 67.641191 68.082516, 67.641191 66.992516, 66.978691 66.992516)))"
IfcSpace,berging B2-59,"MULTIPOLYGON (((69.821191 75.947516, 69.821191 77.107516, 70.661191 77.107516, 70.661191 75.947516, 69.821191 75.947516)))"
IfcSpace,cera A2-27,"MULTIPOLYGON (((45.551191 54.582516, 45.551191 55.577516, 46.001191 55.577516, 46.001191 54.582516, 45.651191 54.582516, 45.551191 54.582516)))"
IfcSpace,meterkast A2-27,"MULTIPOLYGON (((46.131191 57.357516, 46.131191 56.507516, 46.036191 56.507516, 45.741191 56.507516, 45.741191 57.357516, 46.131191 57.357516)))"
IfcSpace,berging A2-28,"MULTIPOLYGON (((49.096191 55.942516, 49.096191 55.765016, 49.096191 50.015016, 47.526191 50.015016, 47.526191 48.177516, 51.901191 48.177516, 51.901191 48.532516, 52.151191 48.532516, 52.151191 50.182516, 51.901191 50.182516, 51.901191 51.412516, 52.151191 51.412516, 52.151191 53.062516, 51.901191 53.062516, 51.901191 54.292516, 52.151191 54.292516, 52.151191 55.942516, 49.096191 55.942516)))"
IfcSpace,meterkast A2-28,"MULTIPOLYGON (((49.026191 53.120016, 49.026191 52.740016, 48.236691 52.740016, 48.236691 53.120016, 49.026191 53.120016)))"
IfcSpace,esco B2-58,"MULTIPOLYGON (((68.901191 69.347516, 68.761191 69.347516, 68.096191 69.347516, 68.096191 69.697516, 68.901191 69.697516, 68.901191 69.347516)))"
IfcSpace,esco B2-52,"MULTIPOLYGON (((82.671191 85.657516, 82.811191 85.657516, 83.476191 85.657516, 83.476191 85.307516, 82.671191 85.307516, 82.671191 85.657516)))"
IfcSpace,esco B2-49,"MULTIPOLYGON (((68.761191 85.657516, 68.901191 85.657516, 68.901191 85.307516, 68.096191 85.307516, 68.096191 85.657516, 68.761191 85.657516)))"
IfcSpace,esco B2-55,"MULTIPOLYGON (((83.476191 69.347516, 82.681191 69.347516, 82.681191 69.697516, 83.476191 69.697516, 83.476191 69.347516)))"
IfcSpace,meterkast A2-26,"MULTIPOLYGON (((36.411191 56.507516, 36.116191 56.507516, 36.021191 56.507516, 36.021191 57.357516, 36.411191 57.357516, 36.411191 56.507516)))"
IfcSpace,technische ruimte A2-25,"MULTIPOLYGON (((37.551191 51.707501, 37.551191 52.527501, 37.551191 52.772516, 37.941191 52.772516, 37.941191 51.707501, 37.551191 51.707501)))"
IfcSpace,cera A2-29,"MULTIPOLYGON (((45.551191 51.777516, 45.551191 52.772516, 45.651191 52.772516, 46.001191 52.772516, 46.001191 51.777516, 45.551191 51.777516)))"
IfcSpace,esco A2-28,"MULTIPOLYGON (((47.433691 53.120016, 48.170691 53.120016, 48.170691 52.740016, 47.527787 52.740016, 47.433691 52.740016, 47.433691 53.120016)))"
IfcSpace,technische ruimte A2-27,"MULTIPOLYGON (((45.551191 55.855286, 45.551191 56.437516, 45.706191 56.437516, 46.001191 56.437516, 46.001191 55.577516, 45.551191 55.577516, 45.551191 55.579747, 45.551191 55.855286)))"
IfcSpace,cera B2-54,"MULTIPOLYGON (((79.821191 74.277516, 80.831191 74.277516, 80.831191 73.827516, 79.821191 73.827516, 79.821191 74.277516)))"
IfcSpace,meterkast B2-54,"MULTIPOLYGON (((80.901191 74.277516, 81.751191 74.277516, 81.751191 73.827516, 80.901191 73.827516, 80.901191 74.277516)))"
