type,name,geometry
IfcSpace,Area:22613287,"MULTIPOLYGON (((63.736191 92.292516, 87.836191 92.292516, 87.836191 62.712516, 63.736191 62.712516, 63.736191 92.292516)))"
IfcSpace,meterkast A2-42,"MULTIPOLYGON (((36.411191 56.507516, 36.116191 56.507516, 36.021191 56.507516, 36.021191 57.357516, 36.411191 57.357516, 36.411191 56.507516)))"
IfcSpace,esco A2-42,"MULTIPOLYGON (((36.601191 55.579747, 36.601191 55.577516, 36.151191 55.577516, 36.151191 56.437516, 36.446191 56.437516, 36.601191 56.437516, 36.601191 55.855286, 36.601191 55.579747)))"
IfcSpace,meterkast A2-43,"MULTIPOLYGON (((46.036191 56.507516, 45.741191 56.507516, 45.741191 57.357516, 46.131191 57.357516, 46.131191 56.507516, 46.036191 56.507516)))"
IfcSpace,esco A2-43,"MULTIPOLYGON (((45.551191 55.577516, 45.551191 55.579747, 45.551191 55.855286, 45.551191 56.437516, 45.706191 56.437516, 46.001191 56.437516, 46.001191 55.577516, 45.551191 55.577516)))"
IfcSpace,cera A2-43,"MULTIPOLYGON (((45.551191 54.582516, 45.551191 55.577516, 46.001191 55.577516, 46.001191 54.582516, 45.651191 54.582516, 45.551191 54.582516)))"
IfcSpace,esco A2-44,"MULTIPOLYGON (((45.551191 51.775286, 45.551191 51.777516, 46.001191 51.777516, 46.001191 50.917516, 45.706191 50.917516, 45.551191 50.917516, 45.551191 51.499747, 45.551191 51.775286)))"
IfcSpace,esco A2-41,"MULTIPOLYGON (((33.476191 53.575016, 33.826191 53.575016, 33.826191 53.060286, 33.826191 52.805016, 33.476191 52.805016, 33.476191 53.575016)))"
IfcSpace,berging B2-95,"MULTIPOLYGON (((69.821191 75.947516, 69.821191 77.107516, 70.661191 77.107516, 70.661191 75.947516, 69.821191 75.947516)))"
IfcSpace,berging B2-84,"MULTIPOLYGON (((69.821191 77.897516, 69.821191 79.057516, 70.661191 79.057516, 70.661191 77.897516, 69.821191 77.897516)))"
IfcSpace,berging B2-85,"MULTIPOLYGON (((66.978691 86.922516, 66.978691 88.012516, 67.641191 88.012516, 67.641191 86.922516, 66.978691 86.922516)))"
IfcSpace,berging B2-89,"MULTIPOLYGON (((81.751191 79.057516, 81.751191 77.897516, 80.911191 77.897516, 80.911191 79.057516, 81.751191 79.057516)))"
IfcSpace,berging B2-90,"MULTIPOLYGON (((81.751191 77.107516, 81.751191 75.947516, 80.911191 75.947516, 80.911191 77.107516, 81.751191 77.107516)))"
IfcSpace,cera A2-44,"MULTIPOLYGON (((45.551191 51.777516, 45.551191 52.772516, 45.651191 52.772516, 46.001191 52.772516, 46.001191 51.777516, 45.551191 51.777516)))"
IfcSpace,berging A2-40,"MULTIPOLYGON (((39.071191 51.672501, 39.071191 52.027501, 40.013422 52.027501, 40.288961 52.027501, 40.801191 52.027501, 40.801191 50.637501, 40.536191 50.637501, 39.071191 50.637501, 39.071191 51.672501)))"
IfcSpace,balkon A2-43,"MULTIPOLYGON (((52.471191 61.617516, 54.381191 61.617516, 54.381191 57.257516, 52.471191 57.257516, 52.468191 57.257516, 52.458691 57.257516, 52.458691 58.955286, 52.458691 59.919747, 52.458691 61.617516, 52.468191 61.617516, 52.471191 61.617516)))"
IfcSpace,balkon A2-44,"MULTIPOLYGON (((54.381191 45.737516, 52.471191 45.737516, 52.468191 45.737516, 52.458691 45.737516, 52.458691 47.440286, 52.458691 48.394747, 52.458691 50.097516, 52.468191 50.097516, 52.471191 50.097516, 54.381191 50.097516, 54.381191 45.737516)))"
IfcSpace,balkon A2-40,"MULTIPOLYGON (((44.076191 42.808016, 38.106191 42.808016, 38.106191 44.716421, 38.106191 44.722216, 44.076191 44.722216, 44.076191 44.716421, 44.076191 42.808016)))"
