,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,Pset_DoorCommon.Reference,Qto_WallBaseQuantities.Height,Pset_RailingCommon.Reference,Qto_CoveringBaseQuantities.GROND,Pset_OpeningElementCommon.id,Qto_CoveringBaseQuantities.Width,KAAN_ILS Summary.1.1 Revit Category,Pset_SiteCommon.Reference,Pset_BuildingElementProxyCommon.id,Pset_StairCommon.NumberOfRiser,KAAN_ILS Summary.3.4 IFC Entiteit | IFC Class,Qto_DoorBaseQuantities.Height,Qto_WallBaseQuantities.Length,Qto_WindowBaseQuantities.Width,Pset_BuildingCommon.IsLandmarked,Qto_BuildingElementProxyQuantities.NetSurfaceArea,Pset_ReinforcementBarPitchOfWall.Reference,Pset_SlabCommon.PitchAngle,Pset_SlabCommon.LoadBearing,Qto_CoveringBaseQuantities.Lijm,Qto_BuildingElementProxyQuantities.id,KAAN_Qtos.Rough Height,Pset_DoorCommon.FireRating,Pset_SanitaryTerminalTypeCommon.id,KAAN_ILS Summary.4.3 Dragend | Load Bearing,Qto_RailingBaseQuantities.Length,KAAN_Qtos.Thickness,Qto_WallBaseQuantities.22_gips_beplating_wand_610mm (4),Pset_SlabCommon.Reference,Qto_CoveringBaseQuantities.40_tegels_keramisch_300x300mm,Qto_WallBaseQuantities.GrossVolume,Qto_WindowBaseQuantities.id,Qto_SlabBaseQuantities.id,KAAN_ILS Summary.id,Pset_ReinforcementBarPitchOfWall.Description,Pset_ManufacturerTypeInformation.Manufacturer,Pset_RailingCommon.id,KAAN_ILS Summary.3.3 Bouwlaag | Level,KAAN_Qtos.ClearWidth,Pset_StairFlightCommon.Reference,Pset_EnvironmentalImpactIndicators.Reference,Pset_StairCommon.Reference,Pset_WallCommon.ExtendToStructure,Pset_ManufacturerTypeInformation.id,Pset_WallCommon.Reference,Pset_CoveringCommon.id,Pset_WindowCommon.id,Pset_WindowCommon.IsExternal,Qto_OpeningElementBaseQuantities.Volume,Qto_OpeningElementBaseQuantities.Width,Qto_BuildingElementProxyQuantities.NetVolume,KAAN_ILS Summary.3.6 NL-SfB code,KAAN_Qtos.Area,Qto_WindowBaseQuantities.Area,Pset_RoofCommon.id,Pset_BuildingCommon.Reference,KAAN_ILS Summary.4.4 Uitwendig | External,Qto_WallBaseQuantities.22_metalstud_profielen,Pset_DoorCommon.SelfClosing,Pset_WindowCommon.Reference,Qto_WallBaseQuantities.22_gips_beplating_wand_610mm (2),Pset_StairCommon.IsExternal,Pset_BuildingCommon.id,Pset_StairFlightCommon.id,Pset_SlabCommon.IsExternal,Qto_OpeningElementBaseQuantities.Area,KAAN_Qtos.Volume,Pset_TransportElementCommon.id,Pset_EnvironmentalImpactIndicators.id,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_BuildingSystemCommon.Reference,KAAN_ILS Summary.3.6 NL-SfB Omschrijving | NL-SfB Description,Qto_DoorBaseQuantities.Width,Qto_WallBaseQuantities.00_gips_beplating_wand_610mm,Pset_BuildingStoreyCommon.AboveGround,Qto_CoveringBaseQuantities.00_baksteen [gevel plint + B2],Pset_TransportElementCommon.Reference,Qto_WallBaseQuantities.22_gips_beplating_wand_610mm,Pset_DoorCommon.id,Qto_CoveringBaseQuantities.20_isolatie_steenwol_130mm,KAAN_ILS Summary.1.3 Fase Gebouwd | Construction Phase,Qto_RailingBaseQuantities.id,Qto_OpeningElementBaseQuantities.id,Qto_OpeningElementBaseQuantities.Height,Pset_SlabCommon.id,KAAN_Qtos.Height,Qto_SlabBaseQuantities.NetVolume,Pset_CoveringCommon.ThermalTransmittance,Pset_BuildingCommon.NumberOfStoreys,Qto_CoveringBaseQuantities.GrossArea,Pset_RailingCommon.Height,Pset_WallCommon.id,Pset_CoveringCommon.Reference,Pset_StairFlightCommon.NumberOfTreads,Pset_BuildingElementProxyCommon.Reference,Qto_DoorBaseQuantities.Area,Pset_StairCommon.id,Qto_SlabBaseQuantities.GrossArea,Pset_SanitaryTerminalTypeCommon.Reference,KAAN_Qtos.Width,Qto_WallBaseQuantities.id,Pset_CoveringCommon.IsExternal,KAAN_ILS Summary.4.5 Brandveiligheid | Fire Rating,Pset_OpeningElementCommon.FireExit,KAAN_Qtos.Perimeter,Pset_BuildingSystemCommon.id,Pset_WallCommon.ThermalTransmittance,Pset_RoofCommon.IsExternal,Qto_OpeningElementBaseQuantities.Depth,Qto_WallBaseQuantities.22_gips_beplating_wand_610mm (3),Pset_StairCommon.NumberOfTreads,Qto_CoveringBaseQuantities.45.1 afbouwplaat,Qto_CoveringBaseQuantities.id,Pset_SiteCommon.id,Pset_WallCommon.FireRating,Pset_RailingCommon.IsExternal,Pset_StairFlightCommon.NumberOfRiser,Qto_WallBaseQuantities.20_isolatie_steenwol_150mm,Pset_BuildingStoreyCommon.Reference,Qto_WallBaseQuantities.NetSideArea,Pset_OpeningElementCommon.Reference,Qto_CoveringBaseQuantities.permavoid,Qto_WallBaseQuantities.Air,Qto_SlabBaseQuantities.Length,Qto_WallBaseQuantities.Width,Qto_WallBaseQuantities.NetVolume,Qto_WallBaseQuantities.00_gips (2),Pset_DoorCommon.IsExternal,KAAN_Qtos.id,Pset_WallCommon.LoadBearing,Pset_ReinforcementBarPitchOfWall.id,KAAN_ILS Summary.1.2 Naamgeving Element | Type Name,Qto_RoofBaseQuantities.id,Qto_SlabBaseQuantities.GrossVolume,Qto_SlabBaseQuantities.Perimeter,Pset_WallCommon.IsExternal,Pset_StairCommon.NosingLength,Pset_ReinforcementBarPitchOfSlab.id,Qto_WallBaseQuantities.00_isolatie_EPS,Qto_WallBaseQuantities.GrossFootprintArea,Qto_WallBaseQuantities.20_isolatie_steenwol_75mm,Qto_WallBaseQuantities.00_gips,Pset_BuildingStoreyCommon.id,Qto_CoveringBaseQuantities.GROND (2),KAAN_Qtos.Length,Pset_DoorCommon.FireExit,KAAN_Qtos.Rough Width,Pset_BuildingElementProxyCommon.IsExternal,KAAN_Qtos.ClearHeight,Qto_DoorBaseQuantities.id,Pset_StairFlightCommon.NosingLength,Qto_RoofBaseQuantities.ProjectedArea,Pset_RoofCommon.Reference,Qto_WindowBaseQuantities.Height,Qto_WallBaseQuantities.GrossSideArea
0,97,04hbtBq6v9wQHLWL5rLxuY,IfcBuilding,,gebouw_nummer A,,-5913.8086713060475,99292.51637243734,0.0,,,,,,,,,,,85426.0,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,85430.0,,,,,,,,,,,,,,,,,,,,,,Project Information,,,,,,,85425.0,,,,,,,,Project Information,,,,UNKNOWN,,,,,,,,,,,,,,3.0,,,,,,Project Information,,,,,,,,,,,85428.0,,,,,,,,,,,,,Project Information,,,,,,,,,,,,,,,,,,,,,,,,85427.0,,,,,False,,,,,,,
1,101,04hbtBq6v9wQHLWL6AgEv5,IfcBuildingStorey,Level:00_level+P_links_K,-2 kelder,,-5913.8086713060475,99292.51637243734,-6200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_level+P_links_K,,,,,,,,,,,,,,,,,,,,,,,,85399.0,,,,,,,,,,,,
2,105,04hbtBq6v9wQHLWL6AgEv3,IfcBuildingStorey,Level:00_level+P_links_K,-1 kelder,,-5913.8086713060475,99292.51637243734,-3350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_level+P_links_K,,,,,,,,,,,,,,,,,,,,,,,,85406.0,,,,,,,,,,,,
3,108,09itmHcsP3cfGan6sAB$nu,IfcBuildingStorey,Level:00_level+P_links_K,00 begane grond,,-5913.8086713060475,99292.51637243734,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00_level+P_links_K,,,,,,,,,,,,,,,,,,,,,,,,85413.0,,,,,,,,,,,,
4,112,04hbtBq6v9wQHLWL5rLxuX,IfcSite,,adres project A,,-5913.8086713060475,99292.51637243734,0.0,,,,,,,,,,Project Information,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,138,2jpTNE7Qz2MfovNLGeNgjL,IfcCovering,FLOORING,Floor:90_FL_bestrating maaiveld_365mm:18704545,00 begane grond,-5913.8086713060475,99292.51637243734,0.0,Floor:90_FL_bestrating maaiveld_365mm,Floor:90_FL_bestrating maaiveld_365mm,,,,"{'id': 831, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 50.0}}",,365.0,,,,,,,,,,,,,,,,,,,,,365.0,,,,,,,844.0,,,,,,,90_FL_bestrating maaiveld_365mm,,,,,837.0,,,,,,,2244.3446457524064,,,,,,,,,,,,,,819.1857956996276,,838.0,,,,,,,"{'id': 830, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 80.0}}",,,,,,,,,,,,5.124999999999999,,2221.8870357523883,,,90_FL_bestrating maaiveld_365mm,,,,,,,,,False,,,723456,,,,,,,,856.0,,,,,,,,,"{'id': 833, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 85.0}}",,,,,,,849.0,,,,,,,,,,,,,,,"{'id': 832, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 150.0}}",,,,,,,,,,,
6,874,1AgWpFCW95XexEjcHyuPwB,IfcWall,STANDARD,Basic Wall:22_WA_MS 200/2.150.2 A:19530039,-1 kelder,20226.191328693953,75477.51637243734,-3350.0,Basic Wall:22_WA_MS 200/2.150.2 A,Basic Wall:22_WA_MS 200/2.150.2 A,,2799.999999999997,,,,,,,,,,,4565.000115249908,,,,22_WA_MS 200/2.150.2 A,,,,,,,,,,,"{'id': 944, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 12.5}}",,,2.556400064539946,,,968.0,metalstud wand 200mm MS200/2.150.2.A,,,,,,22_WA_MS 200/2.150.2 A,,False,,22_WA_MS 200/2.150.2 A,,,,,,,,12.782000322699728,,,,,,,,"{'id': 941, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 12.5}}",,,,,,2.5564000645399734,,956.0,,,,,,,,,"{'id': 940, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 12.5}}",,,,,,,,,,,,,,962.0,,,,,,,,200.0,952.0,,,,,,0.22278225806451613,,,"{'id': 943, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 12.5}}",,,,,60,,,"{'id': 942, 'type': 'IfcPhysicalComplexQuantity', 'Discrimination': 'Layer', 'properties': {'Width': 150.0}}",,12.782000322699728,,,,,200.0,2.5564000645399734,,,972.0,False,958.0,,,,,False,,,,,,,,,4565.000115249908,,,,,,,,,,12.782000322699728
7,1024,1AgWpFCW95XexEjcHyuPw2,IfcWall,STANDARD,Basic Wall:22_WA_kalkzandsteen gen_100mm:19530046,-1 kelder,20326.191328693953,88932.51648769686,-3350.0,Basic Wall:22_WA_kalkzandsteen gen_100mm,00_kalkzandsteen [bouwkundig],,2799.999999999997,,,,,,,,,,,2699.529296150753,,,,22_WA_kalkzandsteen gen_100mm,,,,,,,,,,,,,,0.5175682029222127,,,1048.0,kalkzandsteen 100mm lijmblokken,,,,,,22_WA_kalkzandsteen gen_100mm,,False,,22_WA_kalkzandsteen gen_100mm,,,,,,,,5.175682029222129,,,,,,,,,,,,,,0.5175682029222074,,1038.0,,,,,,,,,,,,,,,,,,,,,,,1042.0,,,,,,,,100.0,1033.0,,,,,,8.6,,,,,,,,60,,,,,5.175682029222129,,,,,100.0,0.5175682029222074,,,1052.0,False,1040.0,,,,,False,,,,0.2699529296150724,,,,,2749.529296150746,,,,,,,,,,5.175682029222127
8,1101,1AgWpFCW95XexEjcHyuPw3,IfcWall,STANDARD,Basic Wall:22_WA_kalkzandsteen gen_100mm:19530047,-1 kelder,23075.720624832808,90362.51625719473,-3350.0,Basic Wall:22_WA_kalkzandsteen gen_100mm,00_kalkzandsteen [bouwkundig],,2800.0,,,,,,,,,,,2059.9998847582833,,,,22_WA_kalkzandsteen gen_100mm,,,,,,,,,,,,,,0.33849996773232083,,,1122.0,kalkzandsteen 100mm lijmblokken,,,,,,22_WA_kalkzandsteen gen_100mm,,False,,22_WA_kalkzandsteen gen_100mm,,,,,,,,3.384999677323207,,,,,,,,,,,,,,0.33849996773231716,,1112.0,,,,,,,,,,,,,,,,,,,,,,,1116.0,,,,,,,,100.0,1110.0,,,,,,8.6,,,,,,,,30,,,,,3.384999677323207,,,,,100.0,0.3384999677323172,,,1126.0,False,1114.0,,,,,False,,,,0.20599998847583492,,,,,2059.9998847582824,,,,,,,,,,3.384999677323208
9,1146,2b5oP2bZX6twAmc$kHRMlE,IfcWall,STANDARD,Basic Wall:22_WA_kalkzandsteen gen_150mm:19699702,-1 kelder,37726.19132869395,62427.51637243734,-3350.0,Basic Wall:22_WA_kalkzandsteen gen_150mm,00_kalkzandsteen [bouwkundig],,2564.999999999999,,,,,,,,,,,6699.999999999993,,,,22_WA_kalkzandsteen gen_150mm,,,,,,,,,,,,,,2.5778249999999967,,,1168.0,kalkzandsteen 150mm,,,,,,22_WA_kalkzandsteen gen_150mm,,False,,22_WA_kalkzandsteen gen_150mm,,,,,,,,17.185499999999976,,,,,,,,,,,,,,2.5778250000000056,,1159.0,,,,,,,,,,,,,,,,,,,,,,,1163.0,,,,,,,,150.0,1155.0,,,,,,5.7333333333333325,,,,,,,,0,,,,,17.185499999999976,,,,,150.0,2.5778250000000056,,,1172.0,False,1161.0,,,,,False,,,,1.0050000000000026,,,,,6699.999999999993,,,,,,,,,,17.185499999999976
