,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,SPOT_IFC.Inhoud,Qto_SpaceBaseQuantities.GrossVolume,Pset_BuildingSystemCommon.Reference,Pset_AirSideSystemInformation.id,Pset_SpaceCommon.id,Pset_BuildingCommon.NumberOfStoreys,Pset_SpaceCommon.IsExternal,Qto_SpaceBaseQuantities.Height,Pset_BuildingElementProxyCommon.Reference,Pset_SpaceHeaterTypeCommon.Reference,Pset_BuildingStoreyCommon.Reference,Pset_SiteCommon.id,Pset_BuildingStoreyCommon.id,Qto_SpaceBaseQuantities.NetVolume,Pset_SpaceHeaterTypeCommon.id,Pset_AirSideSystemInformation.Name,Pset_BuildingStoreyCommon.AboveGround,Pset_BuildingCommon.id,Pset_BuildingSystemCommon.id,Pset_SpaceCommon.Reference,Pset_BuildingCommon.Reference,SPOT_IFC.Oppervlakte,Pset_BuildingCommon.IsLandmarked,Pset_BuildingElementProxyCommon.id,Qto_SpaceBaseQuantities.id,Pset_BuildingElementProxyCommon.IsExternal,SPOT_IFC.id,Pset_SiteCommon.Reference
0,100,04hbtBq6v9wQHLWL5rLxuY,IfcBuilding,,gebouw_nummer A,,-5913.808671306053,99292.51637243737,0.0,,,,,Project Information,,,68.0,,,Project Information,,Project Information,,1130467.0,,,,UNKNOWN,1130465.0,1130468.0,,Project Information,,UNKNOWN,1130466.0,,False,,
1,104,04hbtBq6v9wQHLWL6AgEv5,IfcBuildingStorey,Level:00_level+P_rechts_K,-2 kelder,,-5913.808671306053,99292.51637243737,-6200.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130279.0,,,,UNKNOWN,,,,,,,,,,,
2,108,04hbtBq6v9wQHLWL6AgEv3,IfcBuildingStorey,Level:00_level+P_rechts_K,-1 kelder,,-5913.808671306053,99292.51637243737,-3350.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130281.0,,,,UNKNOWN,,,,,,,,,,,
3,112,0K5taB1EL7DR72gDncdRb6,IfcBuildingStorey,Level:00_level+P_rechts_K,A1.00a tussenverdieping,,-5913.808671306053,99292.51637243737,3500.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130284.0,,,,UNKNOWN,,,,,,,,,,,
4,128,0K5taB1EL7DR72gDncsq20,IfcBuildingStorey,Level:00_level+P_rechts_K,A2.01 eerste verdieping,,-5913.808671306053,99292.51637243737,7000.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130286.0,,,,UNKNOWN,,,,,,,,,,,
5,144,0K5taB1EL7DR72gDncsq2U,IfcBuildingStorey,Level:00_level+P_rechts_K,A2.02 tweede verdieping,,-5913.808671306053,99292.51637243737,10000.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130288.0,,,,UNKNOWN,,,,,,,,,,,
6,148,0K5taB1EL7DR72gDncsq3P,IfcBuildingStorey,Level:00_level+P_rechts_K,B1.02 tweede verdieping,,-5913.808671306053,99292.51637243737,10500.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130290.0,,,,UNKNOWN,,,,,,,,,,,
7,160,0K5taB1EL7DR72gDncsq2S,IfcBuildingStorey,Level:00_level+P_rechts_K,A2.03 derde verdieping,,-5913.808671306053,99292.51637243737,13000.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130292.0,,,,UNKNOWN,,,,,,,,,,,
8,164,0K5taB1EL7DR72gDncsq31,IfcBuildingStorey,Level:00_level+P_rechts_K,B2.03 derde verdieping,,-5913.808671306053,99292.51637243737,14000.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130294.0,,,,UNKNOWN,,,,,,,,,,,
9,176,0K5taB1EL7DR72gDncsyDO,IfcBuildingStorey,Level:00_level+P_rechts_K,A2.04 vierde verdieping,,-5913.808671306053,99292.51637243737,16000.0,,,,,,,,,,,,,00_level+P_rechts_K,,1130296.0,,,,UNKNOWN,,,,,,,,,,,
