type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2300x782:18933822:1,"MULTIPOLYGON (((76.939006 30.0615, 76.909006 30.0615, 76.909006 30.8435, 76.939006 30.8435, 76.939006 30.0615)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2300x600:18802606:1,"MULTIPOLYGON (((12.707012 31.08, 12.737012 31.08, 12.737012 30.48, 12.707012 30.48, 12.707012 31.08)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn met dubbele deur kelder:1200x2300_berging deur:18802772:1,"MULTIPOLYGON (((12.707012 30.45, 12.737012 30.45, 12.737012 29.25, 12.707012 29.25, 12.707012 30.45)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn op stellat met enkele deur brandwerend:114x90_2374x1038_R_kelder brandwerend:16859081:1,"MULTIPOLYGON (((62.280006 27.481, 62.000006 27.481, 62.000006 28.519, 62.280006 28.519, 62.280006 27.481)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn met dubbele deur:1030x2365_berging deur_zelfsluitend_B30:16802445:1,"MULTIPOLYGON (((27.645006 24.999691, 27.365006 24.999691, 27.365006 26.999691, 27.645006 26.999691, 27.645006 24.999691)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn op stellat met enkele deur brandwerend:114x90_2374x1038_R_kelder brandwerend:16858825:1,"MULTIPOLYGON (((27.365006 21.769, 27.645006 21.769, 27.645006 20.731, 27.365006 20.731, 27.365006 21.769)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn op stellat met enkele deur brandwerend:114x90_2374x1038_R_kelder brandwerend:16858890:1,"MULTIPOLYGON (((27.365006 28.519, 27.645006 28.519, 27.645006 27.481, 27.365006 27.481, 27.365006 28.519)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1200 B60:16622788:1,"MULTIPOLYGON (((26.035162 21.395, 26.035162 21.27, 24.835162 21.27, 24.835162 21.395, 26.035162 21.395)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1200:16622853:1,"MULTIPOLYGON (((63.610153 23.455, 63.610153 23.58, 64.810153 23.58, 64.810153 23.455, 63.610153 23.455)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn met dubbele deur:1030x2365_berging deur_zelfsluitend_B30:16677068:1,"MULTIPOLYGON (((27.645006 22.999691, 27.365006 22.999691, 27.365006 24.999691, 27.645006 24.999691, 27.645006 22.999691)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn muuromvattend met enkele deur:114x67_2305x900_L_berging:15591817:1,"MULTIPOLYGON (((26.677256 8.608, 26.677256 8.675, 27.691256 8.675, 27.691256 8.608, 26.677256 8.608)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn op stellat met enkele deur brandwerend:114x90_2374x1038_L_kelder brandwerend:16859332:1,"MULTIPOLYGON (((21.495006 30.419, 21.775006 30.419, 21.775006 29.381, 21.495006 29.381, 21.495006 30.419)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn muuromvattend met enkele deur:114x67_2305x900_R_berging:16881142:1,"MULTIPOLYGON (((14.953006 26.25775, 15.020006 26.25775, 15.020006 25.24375, 14.953006 25.24375, 14.953006 26.25775)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn muuromvattend met enkele deur:114x67_2305x900_R_berging:16881176:1,"MULTIPOLYGON (((14.953006 28.44625, 15.020006 28.44625, 15.020006 27.43225, 14.953006 27.43225, 14.953006 28.44625)))"
