type,name,geometry
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Zwaar 70_Gn70:19248892,"MULTIPOLYGON (((57.209012 33.525, 54.161012 33.525, 54.161012 34.495, 57.209012 34.495, 57.209012 33.525)))"
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Hydro 70_Gn70:19249207,"MULTIPOLYGON (((59.404006 31.9, 56.356006 31.9, 56.356006 32.87, 59.404006 32.87, 59.404006 31.9)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2377x486_B30:16324341:1,"MULTIPOLYGON (((66.856006 25.464, 66.856006 25.35, 66.370006 25.35, 66.370006 25.464, 66.856006 25.464)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2377x486_B30:16322117:1,"MULTIPOLYGON (((66.856006 29.06, 66.856006 28.946, 66.370006 28.946, 66.370006 29.06, 66.856006 29.06)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1044_B30:16324339:1,"MULTIPOLYGON (((66.856006 25.35, 66.856006 25.464, 67.900006 25.464, 67.900006 25.35, 66.856006 25.35)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2377x686_B30:16311169:1,"MULTIPOLYGON (((26.2163 27.265, 26.1023 27.265, 26.1023 27.951, 26.2163 27.951, 26.2163 27.265)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1200:16313404:1,"MULTIPOLYGON (((26.035162 21.145, 26.035162 21.02, 24.835162 21.02, 24.835162 21.145, 26.035162 21.145)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1044_B30:16322115:1,"MULTIPOLYGON (((67.900006 29.06, 67.900006 28.946, 66.856006 28.946, 66.856006 29.06, 67.900006 29.06)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met dubbele deur:2324x1510_binnendeur:15887279:1,"MULTIPOLYGON (((72.195008 13.43, 72.195008 13.33, 70.585008 13.33, 70.585008 13.43, 72.195008 13.43)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met dubbele deur:2324x1810_binnendeur_b60:16415357:1,"MULTIPOLYGON (((20.720006 18.71, 20.620006 18.71, 20.620006 20.62, 20.720006 20.62, 20.720006 18.71)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1044_B30:16311170:1,"MULTIPOLYGON (((26.1023 28.99, 26.2163 28.99, 26.2163 27.946, 26.1023 27.946, 26.1023 28.99)))"
IfcOpeningElement,NLRS_31.31_begane grond enkele deur met zijlicht_entree G2 Opt 2_gen:NLRS_31.31_enkele deur met zijlicht_... mm_gen:15783465:1,"MULTIPOLYGON (((66.280006 5.809887, 66.280006 5.839887, 67.890006 5.839887, 67.890006 5.809887, 66.280006 5.809887)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15592964,"MULTIPOLYGON (((69.170006 38.61, 70.255006 38.61, 70.255006 38.85, 70.300006 38.85, 70.300006 38.91, 70.280006 38.91, 70.285006 38.99, 69.140006 38.99, 69.145006 38.91, 69.125006 38.91, 69.125006 38.85, 69.170011 38.85, 69.170011 38.770678, 69.170011 38.639463, 69.170006 38.61)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15482431,"MULTIPOLYGON (((23.850006 6.140013, 22.765006 6.140013, 22.765011 6.110449, 22.765011 5.979608, 22.765011 5.900013, 22.720006 5.900013, 22.720006 5.840013, 22.740006 5.840013, 22.735006 5.760013, 23.880006 5.760013, 23.875006 5.840013, 23.895006 5.840013, 23.895006 5.900013, 23.850006 5.900013, 23.850006 6.140013)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15402187,"MULTIPOLYGON (((31.162006 6.94, 29.515006 6.94, 29.515006 6.7, 29.470006 6.7, 29.470006 6.64, 29.490006 6.64, 29.485006 6.56, 31.192006 6.56, 31.187006 6.64, 31.207006 6.64, 31.207006 6.7, 31.162006 6.7, 31.162006 6.94)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15407403,"MULTIPOLYGON (((18.540006 37.81, 19.625006 37.81, 19.625001 37.839463, 19.625001 37.970678, 19.625001 38.05, 19.670006 38.05, 19.670006 38.11, 19.650006 38.11, 19.655006 38.19, 18.510006 38.19, 18.515006 38.11, 18.495006 38.11, 18.495006 38.05, 18.540006 38.05, 18.540006 37.81)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15403280,"MULTIPOLYGON (((50.145006 37.85, 51.136006 37.85, 51.136006 38.05, 51.181006 38.05, 51.181006 38.11, 51.161006 38.11, 51.166006 38.19, 49.825006 38.19, 49.825006 35.865, 49.905006 35.87, 49.905006 35.85, 49.965006 35.85, 49.965006 35.895, 50.145006 35.895, 50.145006 37.85)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15403280,"MULTIPOLYGON (((51.151006 37.81, 53.943006 37.81, 53.943006 38.05, 53.988006 38.05, 53.988006 38.11, 53.968006 38.11, 53.973006 38.19, 51.121006 38.19, 51.126006 38.11, 51.106006 38.11, 51.106006 38.05, 51.151006 38.05, 51.151006 37.81)))"
IfcOpeningElement,NLRS_32.31_DO_WB_kozijn Daloc S43_GEN:Daloc_S43_990x2370_B30:14528723:1,"MULTIPOLYGON (((62.250006 29.375, 62.045006 29.375, 62.045006 30.381, 62.250006 30.381, 62.250006 29.375)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15402370,"MULTIPOLYGON (((77.24501 17.855, 77.24501 16.77, 77.274473 16.770005, 77.405688 16.770005, 77.48501 16.770005, 77.48501 16.725, 77.54501 16.725, 77.54501 16.745, 77.62501 16.74, 77.62501 17.885, 77.54501 17.88, 77.54501 17.9, 77.48501 17.9, 77.48501 17.855, 77.24501 17.855)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15402187,"MULTIPOLYGON (((33.974006 6.94, 32.327006 6.94, 32.327006 6.7, 32.282006 6.7, 32.282006 6.64, 32.302006 6.64, 32.297006 6.56, 34.004006 6.56, 33.999006 6.64, 34.019006 6.64, 34.019006 6.7, 33.974006 6.7, 33.974006 6.94)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12150128:1,"MULTIPOLYGON (((33.950006 13.02, 33.950006 12.99, 33.050006 12.99, 33.050006 13.02, 33.950006 13.02)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12116587:1,"MULTIPOLYGON (((26.335006 12.625, 26.365006 12.625, 26.365006 11.725, 26.335006 11.725, 26.335006 12.625)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12117079:1,"MULTIPOLYGON (((28.98391 27.115, 28.98391 27.145, 29.88391 27.145, 29.88391 27.115, 28.98391 27.115)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12115705:1,"MULTIPOLYGON (((60.660006 17.655, 60.660006 17.625, 59.760006 17.625, 59.760006 17.655, 60.660006 17.655)))"
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Standaard 70_Gn70:11752065,"MULTIPOLYGON (((59.474006 29.78, 56.426006 29.78, 56.426006 30.75, 59.474006 30.75, 59.474006 29.78)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11350508:1,"MULTIPOLYGON (((62.270006 10.055, 62.270006 10.125, 63.200006 10.125, 63.200006 10.055, 62.270006 10.055)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur_b60:16402283:1,"MULTIPOLYGON (((19.138006 18.56, 19.138006 18.66, 20.068006 18.66, 20.068006 18.56, 19.138006 18.56)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x730_L_meterkast:15391192:1,"MULTIPOLYGON (((62.65 13.995, 62.72 13.995, 62.72 13.185, 62.65 13.185, 62.65 13.995)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:9847280,"MULTIPOLYGON (((77.28501 8.855, 77.28501 6.88, 75.37001 6.88, 75.37001 6.7, 75.32501 6.7, 75.32501 6.64, 75.34501 6.64, 75.34001 6.56, 77.62501 6.56, 77.62501 8.885, 77.54501 8.88, 77.54501 8.9, 77.48501 8.9, 77.48501 8.855, 77.28501 8.855)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9620356,"MULTIPOLYGON (((74.205496 6.939844, 73.120496 6.939844, 73.120501 6.910382, 73.120501 6.779167, 73.120501 6.699844, 73.075496 6.699844, 73.075496 6.639844, 73.095496 6.639844, 73.090496 6.559844, 74.235496 6.559844, 74.230496 6.639844, 74.250496 6.639844, 74.250496 6.699844, 74.205496 6.699844, 74.205496 6.939844)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:9619864,"MULTIPOLYGON (((77.24501 12.231, 77.24501 10.583, 77.48501 10.583, 77.48501 10.538, 77.54501 10.538, 77.54501 10.558, 77.62501 10.553, 77.62501 12.261, 77.54501 12.256, 77.54501 12.276, 77.48501 12.276, 77.48501 12.231, 77.24501 12.231)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9619862,"MULTIPOLYGON (((76.84501 19.3, 77.30501 19.3, 77.30501 17.895, 77.48501 17.895, 77.48501 17.85, 77.54501 17.85, 77.54501 17.87, 77.62501 17.865, 77.62501 19.64, 76.81501 19.64, 76.82001 19.56, 76.80001 19.56, 76.80001 19.5, 76.84501 19.5, 76.84501 19.3)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9619472,"MULTIPOLYGON (((76.44501 21.792, 76.44501 19.66, 76.68501 19.66, 76.68501 19.615, 76.74501 19.615, 76.74501 19.635, 76.82501 19.63, 76.82501 21.822, 76.74501 21.817, 76.74501 21.837, 76.68501 21.837, 76.68501 21.792, 76.44501 21.792)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:9619864,"MULTIPOLYGON (((77.24501 15.0425, 77.24501 13.9575, 77.274473 13.957505, 77.405688 13.957505, 77.48501 13.957505, 77.48501 13.9125, 77.54501 13.9125, 77.54501 13.9325, 77.62501 13.9275, 77.62501 15.0725, 77.54501 15.0675, 77.54501 15.0875, 77.48501 15.0875, 77.48501 15.0425, 77.24501 15.0425)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:9619124,"MULTIPOLYGON (((76.44501 31.355, 76.44501 30.27, 76.474473 30.270005, 76.605688 30.270005, 76.68501 30.270005, 76.68501 30.225, 76.74501 30.225, 76.74501 30.245, 76.82501 30.24, 76.82501 31.385, 76.74501 31.38, 76.74501 31.4, 76.68501 31.4, 76.68501 31.355, 76.44501 31.355)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9619117,"MULTIPOLYGON (((76.44501 28.542, 76.44501 26.895, 76.68501 26.895, 76.68501 26.85, 76.74501 26.85, 76.74501 26.87, 76.82501 26.865, 76.82501 28.572, 76.74501 28.567, 76.74501 28.587, 76.68501 28.587, 76.68501 28.542, 76.44501 28.542)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9619116,"MULTIPOLYGON (((76.82501 25.76, 76.74501 25.755, 76.74501 25.775, 76.68501 25.775, 76.68501 25.73, 76.44501 25.73, 76.44501 23.52, 76.68501 23.52, 76.68501 23.475, 76.74501 23.475, 76.74501 23.495, 76.82501 23.49, 76.82501 25.76)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:9618351,"MULTIPOLYGON (((76.44501 36.98, 76.44501 35.895, 76.474473 35.895005, 76.605688 35.895005, 76.68501 35.895005, 76.68501 35.85, 76.74501 35.85, 76.74501 35.87, 76.82501 35.865, 76.82501 37.01, 76.74501 37.005, 76.74501 37.025, 76.68501 37.025, 76.68501 36.98, 76.44501 36.98)))"
