type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:17728547:1,"MULTIPOLYGON (((18.245634 10.485, 18.175634 10.485, 18.175634 11.415, 18.245634 11.415, 18.245634 10.485)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16330218:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16330391:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16329869:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15864647:1,"MULTIPOLYGON (((17.435006 31.11, 17.365006 31.11, 17.365006 32.04, 17.435006 32.04, 17.435006 31.11)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15864968:1,"MULTIPOLYGON (((17.435006 33.715, 17.365006 33.715, 17.365006 34.645, 17.435006 34.645, 17.435006 33.715)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15865234:1,"MULTIPOLYGON (((29.849855 34.805, 29.849855 34.875, 30.779855 34.875, 30.779855 34.805, 29.849855 34.805)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15862945:1,"MULTIPOLYGON (((70.354855 34.805, 70.354855 34.875, 71.284855 34.875, 71.284855 34.805, 70.354855 34.805)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15863354:1,"MULTIPOLYGON (((32.730006 10.125, 32.730006 10.055, 31.800006 10.055, 31.800006 10.125, 32.730006 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15863353:1,"MULTIPOLYGON (((31.690006 10.125, 31.690006 10.055, 30.760006 10.055, 30.760006 10.125, 31.690006 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15863850:1,"MULTIPOLYGON (((18.245634 12.970026, 18.175634 12.970026, 18.175634 13.900026, 18.245634 13.900026, 18.245634 12.970026)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15861816:1,"MULTIPOLYGON (((56.915006 34.625, 56.915006 34.695, 57.845006 34.695, 57.845006 34.625, 56.915006 34.625)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15861815:1,"MULTIPOLYGON (((57.955006 34.625, 57.955006 34.695, 58.885006 34.695, 58.885006 34.625, 57.955006 34.625)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15862480:1,"MULTIPOLYGON (((72.135006 9.945, 72.135006 9.875, 71.205006 9.875, 71.205006 9.945, 72.135006 9.945)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15723812:1,"MULTIPOLYGON (((33.960006 11.075, 34.030006 11.075, 34.030006 10.145, 33.960006 10.145, 33.960006 11.075)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15239506,"MULTIPOLYGON (((50.165006 25.43, 50.165006 26.3065, 49.965006 26.3065, 49.965006 26.3515, 49.905006 26.3515, 49.905006 26.3315, 49.825006 26.3365, 49.825006 25.11, 51.124006 25.11, 51.119006 25.19, 51.139006 25.19, 51.139006 25.25, 51.094006 25.25, 51.094006 25.43, 50.165006 25.43)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15239506,"MULTIPOLYGON (((49.965006 26.3325, 50.205006 26.3325, 50.205006 28.5425, 49.965006 28.5425, 49.965006 28.5875, 49.905006 28.5875, 49.905006 28.5675, 49.825006 28.5725, 49.825006 26.3025, 49.905006 26.3075, 49.905006 26.2875, 49.965006 26.2875, 49.965006 26.3325)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15239506,"MULTIPOLYGON (((50.205006 31.355, 49.965006 31.355, 49.965006 31.4, 49.905006 31.4, 49.905006 31.38, 49.825006 31.385, 49.825006 29.6775, 49.905006 29.6825, 49.905006 29.6625, 49.965006 29.6625, 49.965006 29.7075, 50.205006 29.7075, 50.205006 31.355)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:14894456,"MULTIPOLYGON (((34.880006 31.355, 34.640006 31.355, 34.640006 29.7075, 34.880006 29.7075, 34.880006 29.6625, 34.940006 29.6625, 34.940006 29.6825, 35.020006 29.6775, 35.020006 31.385, 34.940006 31.38, 34.940006 31.4, 34.880006 31.4, 34.880006 31.355)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15235999,"MULTIPOLYGON (((76.44501 24.082, 76.68501 24.082, 76.68501 24.037, 76.74501 24.037, 76.74501 24.057, 76.82501 24.052, 76.82501 25.197, 76.74501 25.192, 76.74501 25.212, 76.68501 25.212, 76.68501 25.167, 76.44501 25.167, 76.44501 24.082)))"
IfcOpeningElement,NLRS_32.31_DO_WB_kozijn Daloc S43_GEN:Daloc_S43_990x2370_B30:14563606:1,"MULTIPOLYGON (((21.745006 14.3695, 21.540006 14.3695, 21.540006 15.3755, 21.745006 15.3755, 21.745006 14.3695)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:12648533:1,"MULTIPOLYGON (((27.550006 11.695, 27.550006 11.625, 26.620006 11.625, 26.620006 11.695, 27.550006 11.695)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:12648529:1,"MULTIPOLYGON (((59.725006 16.49, 59.655006 16.49, 59.655006 17.42, 59.725006 17.42, 59.725006 16.49)))"
