type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:17728528:1,"MULTIPOLYGON (((18.245006 12.969627, 18.175006 12.969627, 18.175006 13.899627, 18.245006 13.899627, 18.245006 12.969627)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:17728511:1,"MULTIPOLYGON (((18.245634 10.48421, 18.175634 10.48421, 18.175634 11.41421, 18.245634 11.41421, 18.245634 10.48421)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:17228609,"MULTIPOLYGON (((77.24501 16.77, 77.48501 16.77, 77.48501 16.725, 77.54501 16.725, 77.54501 16.745, 77.62501 16.74, 77.62501 17.885, 77.54501 17.88, 77.54501 17.9, 77.48501 17.9, 77.48501 17.855, 77.24501 17.855, 77.24501 16.77)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:17228610,"MULTIPOLYGON (((77.48501 15.04225, 77.24501 15.04225, 77.24501 13.39475, 77.48501 13.39475, 77.48501 13.34975, 77.54501 13.34975, 77.54501 13.36975, 77.62501 13.36475, 77.62501 15.07225, 77.54501 15.06725, 77.54501 15.08725, 77.48501 15.08725, 77.48501 15.04225)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331403:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en bovenlicht:2680x1001_B20:16590209:1,"MULTIPOLYGON (((66.369006 15.81, 66.255006 15.81, 66.255006 16.811, 66.369006 16.811, 66.369006 15.81)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16331400:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331402:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1440_B20:16331393:1,"MULTIPOLYGON (((63.544006 15.81, 63.430006 15.81, 63.430006 17.25, 63.544006 17.25, 63.544006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15870773:1,"MULTIPOLYGON (((31.690006 10.125, 31.690006 10.055, 30.760006 10.055, 30.760006 10.125, 31.690006 10.125)))"
