type,name,geometry
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Hydro 70_Gn70:19263635,"MULTIPOLYGON (((58.446157 11.095, 61.494157 11.095, 61.494157 10.125, 58.446157 10.125, 58.446157 11.095)))"
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Standaard 70_Gn70:18275594,"MULTIPOLYGON (((57.276157 11.095, 60.324157 11.095, 60.324157 10.125, 57.276157 10.125, 57.276157 11.095)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:18198127,"MULTIPOLYGON (((77.24501 17.3325, 77.48501 17.3325, 77.48501 17.2875, 77.54501 17.2875, 77.54501 17.3075, 77.62501 17.3025, 77.62501 18.4475, 77.54501 18.4425, 77.54501 18.4625, 77.48501 18.4625, 77.48501 18.4175, 77.24501 18.4175, 77.24501 17.3325)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:17228615,"MULTIPOLYGON (((77.48501 12.23, 77.24501 12.23, 77.24501 10.5825, 77.48501 10.5825, 77.48501 10.5375, 77.54501 10.5375, 77.54501 10.5575, 77.62501 10.5525, 77.62501 12.26, 77.54501 12.255, 77.54501 12.275, 77.48501 12.275, 77.48501 12.23)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:17228615,"MULTIPOLYGON (((77.48501 15.0425, 77.24501 15.0425, 77.24501 13.395, 77.48501 13.395, 77.48501 13.35, 77.54501 13.35, 77.54501 13.37, 77.62501 13.365, 77.62501 15.0725, 77.54501 15.0675, 77.54501 15.0875, 77.48501 15.0875, 77.48501 15.0425)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16331700:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331702:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331703:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1440_B20:16331693:1,"MULTIPOLYGON (((63.544006 15.81, 63.430006 15.81, 63.430006 17.25, 63.544006 17.25, 63.544006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en bovenlicht:2680x1001_B20:16590228:1,"MULTIPOLYGON (((66.369006 15.81, 66.255006 15.81, 66.255006 16.811, 66.369006 16.811, 66.369006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15873409:1,"MULTIPOLYGON (((72.135007 9.945, 72.135007 9.875, 71.205007 9.875, 71.205007 9.945, 72.135007 9.945)))"
IfcOpeningElement,Basic Wall:NLRS_22.10_GIBO Standaard 70_Gn70:15873430,"MULTIPOLYGON (((59.815157 11.469, 59.815157 8.421, 58.845157 8.421, 58.845157 11.469, 59.815157 11.469)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15872038:1,"MULTIPOLYGON (((31.690006 10.125, 31.690006 10.055, 30.760006 10.055, 30.760006 10.125, 31.690006 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15873385:1,"MULTIPOLYGON (((57.955006 34.625, 57.955006 34.695, 58.885006 34.695, 58.885006 34.625, 57.955006 34.625)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15873391:1,"MULTIPOLYGON (((70.354855 34.805, 70.354855 34.875, 71.284855 34.875, 71.284855 34.805, 70.354855 34.805)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15871572:1,"MULTIPOLYGON (((17.435006 31.11, 17.365006 31.11, 17.365006 32.04, 17.435006 32.04, 17.435006 31.11)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15871796:1,"MULTIPOLYGON (((29.849855 34.805, 29.849855 34.875, 30.779855 34.875, 30.779855 34.805, 29.849855 34.805)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15872039:1,"MULTIPOLYGON (((32.730006 10.125, 32.730006 10.055, 31.800006 10.055, 31.800006 10.125, 32.730006 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15871089:1,"MULTIPOLYGON (((18.245634 10.484627, 18.175634 10.484627, 18.175634 11.414627, 18.245634 11.414627, 18.245634 10.484627)))"
