type,name,geometry
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331875:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16331876:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1440_B20:16331866:1,"MULTIPOLYGON (((63.544006 15.81, 63.430006 15.81, 63.430006 17.25, 63.544006 17.25, 63.544006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en bovenlicht:2680x1001_B20:16590247:1,"MULTIPOLYGON (((66.369006 15.81, 66.255006 15.81, 66.255006 16.811, 66.369006 16.811, 66.369006 15.81)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16331873:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15876266:1,"MULTIPOLYGON (((31.690012 10.125, 31.690012 10.055, 30.760012 10.055, 30.760012 10.125, 31.690012 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15875546:1,"MULTIPOLYGON (((17.435006 33.715, 17.365006 33.715, 17.365006 34.645, 17.435006 34.645, 17.435006 33.715)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15875564:1,"MULTIPOLYGON (((17.435006 31.11, 17.365006 31.11, 17.365006 32.04, 17.435006 32.04, 17.435006 31.11)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15876102:1,"MULTIPOLYGON (((29.849855 34.805, 29.849855 34.875, 30.779855 34.875, 30.779855 34.805, 29.849855 34.805)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15876267:1,"MULTIPOLYGON (((32.730012 10.125, 32.730012 10.055, 31.800012 10.055, 31.800012 10.125, 32.730012 10.125)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15874640:1,"MULTIPOLYGON (((72.135007 9.945, 72.135007 9.875, 71.205007 9.875, 71.205007 9.945, 72.135007 9.945)))"
