type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x700_R_berging:19156131:1,"MULTIPOLYGON (((29.675006 26.955, 29.745006 26.955, 29.745006 26.175, 29.675006 26.175, 29.675006 26.955)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:17226475,"MULTIPOLYGON (((75.645006 17.3325, 75.885006 17.3325, 75.885006 17.2875, 75.945006 17.2875, 75.945006 17.3075, 76.025006 17.3025, 76.025006 18.4475, 75.945006 18.4425, 75.945006 18.4625, 75.885006 18.4625, 75.885006 18.4175, 75.645006 18.4175, 75.645006 17.3325)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:17226472,"MULTIPOLYGON (((75.085006 21.792, 74.845006 21.792, 74.845006 19.66, 75.085006 19.66, 75.085006 19.615, 75.145006 19.615, 75.145006 19.635, 75.225006 19.63, 75.225006 21.822, 75.145006 21.817, 75.145006 21.837, 75.085006 21.837, 75.085006 21.792)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:17226471,"MULTIPOLYGON (((75.705006 18.4435, 75.885006 18.4435, 75.885006 18.3985, 75.945006 18.3985, 75.945006 18.4185, 76.025006 18.4135, 76.025006 19.64, 75.215006 19.64, 75.220006 19.56, 75.200006 19.56, 75.200006 19.5, 75.245006 19.5, 75.245006 19.3, 75.705006 19.3, 75.705006 18.4435)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16332069:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en bovenlicht:2680x1001_B20:16590266:1,"MULTIPOLYGON (((66.369006 15.81, 66.255006 15.81, 66.255006 16.811, 66.369006 16.811, 66.369006 15.81)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16332066:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16332068:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1440_B20:16332059:1,"MULTIPOLYGON (((63.544006 15.81, 63.430006 15.81, 63.430006 17.25, 63.544006 17.25, 63.544006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15879191:1,"MULTIPOLYGON (((59.900053 22.32, 59.900053 22.25, 58.970053 22.25, 58.970053 22.32, 59.900053 22.32)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15879511:1,"MULTIPOLYGON (((58.015006 34.805, 58.015006 34.875, 58.945006 34.875, 58.945006 34.805, 58.015006 34.805)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15326075,"MULTIPOLYGON (((12.780004 31.355, 12.540004 31.355, 12.540004 31.4, 12.480004 31.4, 12.480004 31.38, 12.400004 31.385, 12.400004 30.24, 12.480004 30.245, 12.480004 30.225, 12.540004 30.225, 12.540004 30.27, 12.780004 30.27, 12.780004 31.355)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15326075,"MULTIPOLYGON (((14.578004 36.27, 14.578004 36.45, 14.623004 36.45, 14.623004 36.51, 14.603004 36.51, 14.608004 36.59, 12.400004 36.59, 12.400004 34.877, 12.480004 34.882, 12.480004 34.862, 12.540004 34.862, 12.540004 34.907, 12.740004 34.907, 12.740004 36.27, 14.578004 36.27)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300:15326075,"MULTIPOLYGON (((12.480004 34.9275, 12.480004 34.9075, 12.400004 34.9125, 12.400004 32.8525, 12.480004 32.8575, 12.480004 32.8375, 12.540004 32.8375, 12.540004 32.8825, 12.780004 32.8825, 12.780004 34.8825, 12.540004 34.8825, 12.540004 34.9275, 12.480004 34.9275)))"
IfcOpeningElement,NLRS_32.31_DO_WB_kozijn Daloc S43_GEN:Daloc_S43_990x2370_B30:14555498:1,"MULTIPOLYGON (((67.900006 30.381, 68.105006 30.381, 68.105006 29.375, 67.900006 29.375, 67.900006 30.381)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:12605216:1,"MULTIPOLYGON (((62.095006 33.024865, 62.095006 33.094865, 63.025006 33.094865, 63.025006 33.024865, 62.095006 33.024865)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12124577:1,"MULTIPOLYGON (((20.1564 17.645, 20.1564 17.615, 19.2564 17.615, 19.2564 17.645, 20.1564 17.645)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:11895836:1,"MULTIPOLYGON (((21.835006 30.175, 21.865006 30.175, 21.865006 29.275, 21.835006 29.275, 21.835006 30.175)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11807902:1,"MULTIPOLYGON (((19.220006 20.5, 19.150006 20.5, 19.150006 21.43, 19.220006 21.43, 19.220006 20.5)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:11807901:1,"MULTIPOLYGON (((19.220006 16.41, 19.150006 16.41, 19.150006 17.34, 19.220006 17.34, 19.220006 16.41)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11731648:1,"MULTIPOLYGON (((18.870431 24.39, 18.800431 24.39, 18.800431 25.32, 18.870431 25.32, 18.870431 24.39)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:11579266:1,"MULTIPOLYGON (((63.310006 32.104865, 63.280006 32.104865, 63.280006 33.004865, 63.310006 33.004865, 63.310006 32.104865)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:11594897:1,"MULTIPOLYGON (((28.510006 28.99, 28.540006 28.99, 28.540006 28.09, 28.510006 28.09, 28.510006 28.99)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:18294071:1,"MULTIPOLYGON (((60.320006 11.43, 60.320006 11.5, 61.250006 11.5, 61.250006 11.43, 60.320006 11.43)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:9534699:1,"MULTIPOLYGON (((59.690006 12.51, 59.760006 12.51, 59.760006 11.58, 59.690006 11.58, 59.690006 12.51)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8092448,"MULTIPOLYGON (((33.900006 24.6305, 34.080006 24.6305, 34.080006 24.5855, 34.140006 24.5855, 34.140006 24.6055, 34.220006 24.6005, 34.220006 25.71, 33.410006 25.71, 33.415006 25.63, 33.395006 25.63, 33.395006 25.57, 33.440006 25.57, 33.440006 25.37, 33.900006 25.37, 33.900006 24.6305)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15301248,"MULTIPOLYGON (((16.813506 36.21, 16.813506 36.45, 16.858506 36.45, 16.858506 36.51, 16.838506 36.51, 16.843506 36.59, 14.573506 36.59, 14.578506 36.51, 14.558506 36.51, 14.558506 36.45, 14.603506 36.45, 14.603506 36.21, 16.813506 36.21)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15300709,"MULTIPOLYGON (((33.840006 23.52, 34.080006 23.52, 34.080006 23.475, 34.140006 23.475, 34.140006 23.495, 34.220006 23.49, 34.220006 24.635, 34.140006 24.63, 34.140006 24.65, 34.080006 24.65, 34.080006 24.605, 33.840006 24.605, 33.840006 23.52)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:7071862,"MULTIPOLYGON (((12.780004 27.4175, 12.540004 27.4175, 12.540004 27.4625, 12.480004 27.4625, 12.480004 27.4425, 12.400004 27.4475, 12.400004 26.3025, 12.480004 26.3075, 12.480004 26.2875, 12.540004 26.2875, 12.540004 26.3325, 12.780004 26.3325, 12.780004 27.4175)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15299837,"MULTIPOLYGON (((53.965006 26.895, 54.205006 26.895, 54.205006 27.98, 53.965006 27.98, 53.965006 28.025, 53.905006 28.025, 53.905006 28.005, 53.825006 28.01, 53.825006 26.865, 53.905006 26.87, 53.905006 26.85, 53.965006 26.85, 53.965006 26.895)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11616752:1,"MULTIPOLYGON (((65.295006 11.734982, 65.295006 11.664982, 64.365006 11.664982, 64.365006 11.734982, 65.295006 11.734982)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:3240661:1,"MULTIPOLYGON (((66.125006 33.024865, 66.125006 33.094865, 67.055006 33.094865, 67.055006 33.024865, 66.125006 33.024865)))"
