type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:18319558:1,"MULTIPOLYGON (((69.230006 33.1, 69.230006 33.17, 70.160006 33.17, 70.160006 33.1, 69.230006 33.1)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x439_B20:16589855:1,"MULTIPOLYGON (((66.255006 17.25, 66.369006 17.25, 66.369006 16.811, 66.255006 16.811, 66.255006 17.25)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16589856:1,"MULTIPOLYGON (((66.255006 18.33, 66.369006 18.33, 66.369006 17.25, 66.255006 17.25, 66.255006 18.33)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1080_B30:16589857:1,"MULTIPOLYGON (((63.544006 17.25, 63.430006 17.25, 63.430006 18.33, 63.544006 18.33, 63.544006 17.25)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1200:16379571:1,"MULTIPOLYGON (((24.835162 26.395, 24.835162 26.52, 26.035162 26.52, 26.035162 26.395, 24.835162 26.395)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x1440_B20:16589850:1,"MULTIPOLYGON (((63.544006 15.81, 63.430006 15.81, 63.430006 17.25, 63.544006 17.25, 63.544006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en dicht bovenlicht:2680x1001_B20:16589945:1,"MULTIPOLYGON (((66.369006 15.81, 66.255006 15.81, 66.255006 16.811, 66.369006 16.811, 66.369006 15.81)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15881812:1,"MULTIPOLYGON (((19.39501 22.32, 19.39501 22.25, 18.46501 22.25, 18.46501 22.32, 19.39501 22.32)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15882092:1,"MULTIPOLYGON (((20.895006 32.31, 20.825006 32.31, 20.825006 33.24, 20.895006 33.24, 20.895006 32.31)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15881578:1,"MULTIPOLYGON (((59.900006 22.32, 59.900006 22.25, 58.970006 22.25, 58.970006 22.32, 59.900006 22.32)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15881776:1,"MULTIPOLYGON (((58.015006 34.635, 58.015006 34.705, 58.945006 34.705, 58.945006 34.635, 58.015006 34.635)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:15881794:1,"MULTIPOLYGON (((21.745006 10.645, 21.675006 10.645, 21.675006 11.575, 21.745006 11.575, 21.745006 10.645)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15453614,"MULTIPOLYGON (((18.235006 8.160007, 20.505006 8.160007, 20.500006 8.240007, 20.520006 8.240007, 20.520006 8.300007, 20.475006 8.300007, 20.475006 8.540007, 18.265006 8.540007, 18.265006 8.300007, 18.220006 8.300007, 18.220006 8.240007, 18.240006 8.240007, 18.235006 8.160007)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15453619,"MULTIPOLYGON (((15.980004 12.23, 15.740004 12.23, 15.740004 12.275, 15.680004 12.275, 15.680004 12.255, 15.600004 12.26, 15.600004 9.99, 15.680004 9.995, 15.680004 9.975, 15.740004 9.975, 15.740004 10.02, 15.980004 10.02, 15.980004 12.23)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:15453611,"MULTIPOLYGON (((15.920004 9.994007, 15.740004 9.994007, 15.740004 10.039007, 15.680004 10.039007, 15.680004 10.019007, 15.600004 10.024007, 15.600004 8.160007, 17.130004 8.160007, 17.125004 8.240007, 17.145004 8.240007, 17.145004 8.300007, 17.100004 8.300007, 17.100004 8.500007, 15.920004 8.500007, 15.920004 9.994007)))"
IfcOpeningElement,NLRS_32.31_DO_WB_kozijn Daloc S43_GEN:Daloc_S43_990x2370_B30:14556925:1,"MULTIPOLYGON (((67.900006 30.381, 68.105006 30.381, 68.105006 29.375, 67.900006 29.375, 67.900006 30.381)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:12605217:1,"MULTIPOLYGON (((62.095006 33.024865, 62.095006 33.094865, 63.025006 33.094865, 63.025006 33.024865, 62.095006 33.024865)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11909017:1,"MULTIPOLYGON (((23.880006 12.942774, 23.810006 12.942774, 23.810006 13.872774, 23.880006 13.872774, 23.880006 12.942774)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_R_binnendeur:11909020:1,"MULTIPOLYGON (((26.260006 10.649135, 26.190006 10.649135, 26.190006 11.579135, 26.260006 11.579135, 26.260006 10.649135)))"
