type,name,geometry
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18326858:1,"MULTIPOLYGON (((62.3253 17.71, 62.3253 17.78, 63.2553 17.78, 63.2553 17.71, 62.3253 17.71)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18324954:1,"MULTIPOLYGON (((70.320006 15.57, 70.320006 15.5, 69.390006 15.5, 69.390006 15.57, 70.320006 15.57)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur en bovenlicht:2930x1044_B30:16333499:1,"MULTIPOLYGON (((66.846006 27.431, 66.846006 27.545, 67.890006 27.545, 67.890006 27.431, 66.846006 27.431)))"
IfcOpeningElement,NLRS_32.24_raam houten kozijn_gen:2680x486_B30:16333501:1,"MULTIPOLYGON (((66.856006 27.545, 66.856006 27.431, 66.370006 27.431, 66.370006 27.545, 66.856006 27.545)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1200:16379491:1,"MULTIPOLYGON (((64.990153 22.715977, 64.990153 22.840977, 66.190153 22.840977, 66.190153 22.715977, 64.990153 22.715977)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur:2324x850_L_binnendeur:15882243:1,"MULTIPOLYGON (((71.552611 29.07, 71.552611 29, 70.622611 29, 70.622611 29.07, 71.552611 29.07)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x730_L_penthouse:15369797:1,"MULTIPOLYGON (((68.980006 30.6, 68.980006 30.53, 68.170006 30.53, 68.170006 30.6, 68.980006 30.6)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18324527:1,"MULTIPOLYGON (((69.390006 17.915, 69.390006 17.985, 70.320006 17.985, 70.320006 17.915, 69.390006 17.915)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:12289008:1,"MULTIPOLYGON (((59.185006 25.78, 59.185006 25.85, 60.115006 25.85, 60.115006 25.78, 59.185006 25.78)))"
IfcOpeningElement,NLRS_32.31_DO_kozijn douche:930x2350 GLASS:12289531:1,"MULTIPOLYGON (((60.2503 24.865, 60.2203 24.865, 60.2203 25.765, 60.2503 25.765, 60.2503 24.865)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18326166:1,"MULTIPOLYGON (((63.25505 15.57, 63.25505 15.5, 62.32505 15.5, 62.32505 15.57, 63.25505 15.57)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:9632119:1,"MULTIPOLYGON (((69.235006 17.895, 69.305006 17.895, 69.305006 16.965, 69.235006 16.965, 69.235006 17.895)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567725,"MULTIPOLYGON (((58.204997 21.23, 57.964997 21.23, 57.964997 21.275, 57.904997 21.275, 57.904997 21.255, 57.824997 21.26, 57.824997 20.115, 57.904997 20.12, 57.904997 20.1, 57.964997 20.1, 57.964997 20.145, 58.204997 20.145, 58.204997 21.23)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567132,"MULTIPOLYGON (((56.365006 27.4575, 56.605006 27.4575, 56.605006 28.5425, 56.365006 28.5425, 56.365006 28.5875, 56.305006 28.5875, 56.305006 28.5675, 56.225006 28.5725, 56.225006 27.4275, 56.305006 27.4325, 56.305006 27.4125, 56.365006 27.4125, 56.365006 27.4575)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567132,"MULTIPOLYGON (((56.365006 26.3325, 56.605006 26.3325, 56.605006 27.4175, 56.365006 27.4175, 56.365006 27.4625, 56.305006 27.4625, 56.305006 27.4425, 56.225006 27.4475, 56.225006 26.3025, 56.305006 26.3075, 56.305006 26.2875, 56.365006 26.2875, 56.365006 26.3325)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567132,"MULTIPOLYGON (((56.694506 25.25, 56.694506 25.43, 56.565006 25.43, 56.565006 26.306, 56.365006 26.306, 56.365006 26.351, 56.305006 26.351, 56.305006 26.331, 56.225006 26.336, 56.225006 25.11, 56.724506 25.11, 56.719506 25.19, 56.739506 25.19, 56.739506 25.25, 56.694506 25.25)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8556133,"MULTIPOLYGON (((56.365006 35.329999, 56.545006 35.329999, 56.545006 36.249999, 57.318006 36.249999, 57.318006 36.449999, 57.363006 36.449999, 57.363006 36.509999, 57.343006 36.509999, 57.348006 36.589999, 56.225006 36.589999, 56.225006 35.299999, 56.305006 35.304999, 56.305006 35.284999, 56.365006 35.284999, 56.365006 35.329999)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567132,"MULTIPOLYGON (((56.365006 29.707, 56.605006 29.707, 56.605006 30.792, 56.365006 30.792, 56.365006 30.837, 56.305006 30.837, 56.305006 30.817, 56.225006 30.822, 56.225006 29.677, 56.305006 29.682, 56.305006 29.662, 56.365006 29.662, 56.365006 29.707)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8552401,"MULTIPOLYGON (((70.286506 35.649996, 70.286506 35.469996, 71.685006 35.469996, 71.685006 34.769996, 71.885006 34.769996, 71.885006 34.724996, 71.945006 34.724996, 71.945006 34.744996, 72.025006 34.739996, 72.025006 35.789996, 70.256506 35.789996, 70.261506 35.709996, 70.241506 35.709996, 70.241506 35.649996, 70.286506 35.649996)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8535510,"MULTIPOLYGON (((72.025006 31.258, 72.025006 33.635, 71.945006 33.63, 71.945006 33.65, 71.885006 33.65, 71.885006 33.605, 71.645006 33.605, 71.645006 31.288, 71.885006 31.288, 71.885006 31.243, 71.945006 31.243, 71.945006 31.263, 72.025006 31.258)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8535510,"MULTIPOLYGON (((71.685006 31.2625, 71.685006 29.707, 71.885006 29.707, 71.885006 29.662, 71.945006 29.662, 71.945006 29.682, 72.025006 29.677, 72.025006 31.2925, 71.945006 31.2875, 71.945006 31.3075, 71.885006 31.3075, 71.885006 31.2625, 71.685006 31.2625)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8533968,"MULTIPOLYGON (((72.445006 11.145, 72.685006 11.145, 72.685006 11.1, 72.745006 11.1, 72.745006 11.12, 72.825006 11.115, 72.825006 13.966, 72.745006 13.961, 72.745006 13.981, 72.685006 13.981, 72.685006 13.936, 72.445006 13.936, 72.445006 11.145)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8535510,"MULTIPOLYGON (((71.645006 26.895, 71.885006 26.895, 71.885006 26.85, 71.945006 26.85, 71.945006 26.87, 72.025006 26.865, 72.025006 28.01, 71.945006 28.005, 71.945006 28.025, 71.885006 28.025, 71.885006 27.98, 71.645006 27.98, 71.645006 26.895)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8533968,"MULTIPOLYGON (((72.445006 13.9575, 72.685006 13.9575, 72.685006 13.9125, 72.745006 13.9125, 72.745006 13.9325, 72.825006 13.9275, 72.825006 15.0725, 72.745006 15.0675, 72.745006 15.0875, 72.685006 15.0875, 72.685006 15.0425, 72.445006 15.0425, 72.445006 13.9575)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8533968,"MULTIPOLYGON (((72.445006 16.77, 72.685006 16.77, 72.685006 16.725, 72.745006 16.725, 72.745006 16.745, 72.825006 16.74, 72.825006 17.885, 72.745006 17.88, 72.745006 17.9, 72.685006 17.9, 72.685006 17.855, 72.445006 17.855, 72.445006 16.77)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8985780,"MULTIPOLYGON (((60.722506 36.589999, 58.452506 36.589999, 58.457506 36.509999, 58.437506 36.509999, 58.437506 36.449999, 58.482506 36.449999, 58.482506 36.209999, 60.692506 36.209999, 60.692506 36.449999, 60.737506 36.449999, 60.737506 36.509999, 60.717506 36.509999, 60.722506 36.589999)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:3075708,"MULTIPOLYGON (((63.818506 8.479993, 63.818506 8.299993, 63.773506 8.299993, 63.773506 8.239993, 63.793506 8.239993, 63.788506 8.159993, 66.140006 8.159993, 66.140006 8.969993, 66.060006 8.964993, 66.060006 8.984993, 66.000006 8.984993, 66.000006 8.939993, 65.800006 8.939993, 65.800006 8.479993, 63.818506 8.479993)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:3045121:1,"MULTIPOLYGON (((67.880006 30.6, 67.880006 30.53, 66.950006 30.53, 66.950006 30.6, 67.880006 30.6)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18329172:1,"MULTIPOLYGON (((62.857506 30.6, 62.857506 30.53, 61.927506 30.53, 61.927506 30.6, 62.857506 30.6)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:3045120:1,"MULTIPOLYGON (((65.670006 30.6, 65.670006 30.53, 64.740006 30.53, 64.740006 30.6, 65.670006 30.6)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:18326599:1,"MULTIPOLYGON (((63.4453 16.13, 63.3453 16.13, 63.3453 17.06, 63.4453 17.06, 63.4453 16.13)))"
IfcOpeningElement,NLRS_32.31_DO_houtenkozijn met enkele deur:2377x1130_B30:16983976:1,"MULTIPOLYGON (((66.3703 17.2, 66.2203 17.2, 66.2203 18.33, 66.3703 18.33, 66.3703 17.2)))"
IfcOpeningElement,NLRS_32.31_DO_WB_kozijn Daloc S43_GEN:Daloc_S43_990x2370_B30_zelfsluitend:2556793:1,"MULTIPOLYGON (((67.5013 17.2, 67.5013 16.95, 66.4953 16.95, 66.4953 17.2, 67.5013 17.2)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:2392856,"MULTIPOLYGON (((56.719997 25.49, 56.719997 25.25, 56.674997 25.25, 56.674997 25.19, 56.694997 25.19, 56.689997 25.11, 57.834997 25.11, 57.829997 25.19, 57.849997 25.19, 57.849997 25.25, 57.804997 25.25, 57.804997 25.49, 56.719997 25.49)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:2360554,"MULTIPOLYGON (((58.144997 20.119, 57.964997 20.119, 57.964997 20.164, 57.904997 20.164, 57.904997 20.144, 57.824997 20.149, 57.824997 18.36, 58.634997 18.36, 58.629997 18.44, 58.649997 18.44, 58.649997 18.5, 58.604997 18.5, 58.604997 18.7, 58.144997 18.7, 58.144997 20.119)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:2329918,"MULTIPOLYGON (((72.045006 19.3, 72.505006 19.3, 72.505006 17.8805, 72.685006 17.8805, 72.685006 17.8355, 72.745006 17.8355, 72.745006 17.8555, 72.825006 17.8505, 72.825006 19.64, 72.015006 19.64, 72.020006 19.56, 72.000006 19.56, 72.000006 19.5, 72.045006 19.5, 72.045006 19.3)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:2131150:1,"MULTIPOLYGON (((63.6253 14.15, 63.6253 14.22, 64.5553 14.22, 64.5553 14.15, 63.6253 14.15)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:1768887:1,"MULTIPOLYGON (((70.425216 28.195, 70.495216 28.195, 70.495216 27.265, 70.425216 27.265, 70.425216 28.195)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:2560105:1,"MULTIPOLYGON (((70.405006 16.7, 70.475006 16.7, 70.475006 15.77, 70.405006 15.77, 70.405006 16.7)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:1767733:1,"MULTIPOLYGON (((63.3253 25.345, 63.3253 25.275, 62.3953 25.275, 62.3953 25.345, 63.3253 25.345)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:9630783:1,"MULTIPOLYGON (((67.690006 12.33, 67.690006 12.26, 66.760006 12.26, 66.760006 12.33, 67.690006 12.33)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:12289086:1,"MULTIPOLYGON (((60.115006 24.85, 60.115006 24.78, 59.185006 24.78, 59.185006 24.85, 60.115006 24.85)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:12528470:1,"MULTIPOLYGON (((61.927506 33.05, 61.927506 33.12, 62.857506 33.12, 62.857506 33.05, 61.927506 33.05)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_L_penthouse:1071298:1,"MULTIPOLYGON (((62.2353 27.3, 62.1653 27.3, 62.1653 28.23, 62.2353 28.23, 62.2353 27.3)))"
IfcOpeningElement,NLRS_32.31_DO_profielstaalkozijn muuromvattend met enkele deur - hoog plafond:2840x850_R_penthouse:2553147:1,"MULTIPOLYGON (((62.1653 17.685, 62.2353 17.685, 62.2353 16.755, 62.1653 16.755, 62.1653 17.685)))"
IfcOpeningElement,Basic Wall:NLRS_21.10_Sandwich betonelement 300_reveal terras:8567725,"MULTIPOLYGON (((57.964997 22.9575, 58.204997 22.9575, 58.204997 24.605, 57.964997 24.605, 57.964997 24.65, 57.904997 24.65, 57.904997 24.63, 57.824997 24.635, 57.824997 22.9275, 57.904997 22.9325, 57.904997 22.9125, 57.964997 22.9125, 57.964997 22.9575)))"
